[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 1] But for your holy ones there was great light. Their enemies, hearing their voice but not seeing their form, counted it a happy thing that they too had suffered,
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 2] yet for that they do not hurt them, though wronged by them before, they are thankful; and because they had been at variance with them, they begged for pardon.
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 3] Therefore you provided a burning pillar of fire, to be a guide for your people’s unknown journey, and a harmless sun for their glorious exile.
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 4] For the Egyptians well deserved to be deprived of light and imprisoned by darkness, they who had imprisoned your children, through whom the incorruptible light of the law was to be given to the race of men.
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 5] After they had taken counsel to kill the babes of the holy ones, and when a single child had been abandoned and saved to convict them of their sin, you took away from them their multitude of children, and destroyed all their army together in a mighty flood.
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 6] Our fathers were made aware of that night beforehand, that, having sure knowledge, they might be cheered by the oaths which they had trusted.
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 7] Salvation of the righteous and destruction of the enemies was expected by your people.
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 8] For as you took vengeance on the adversaries, by the same means, calling us to yourself, you glorified us.
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 9] For holy children of good men offered sacrifice in secret, and with one consent they agreed to the covenant of the divine law, that they would partake alike in the same good things and the same perils, the fathers already leading the sacred songs of praise.
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 10] But the discordant cry of the enemies echoed back, and a pitiful voice of lamentation for children was spread abroad.
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 11] Both servant and master were punished with the same just doom, and the commoner suffering the same as king;
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 12] Yes, they all together, under one form of death, had corpses without number. For the living were not sufficient even to bury them, Since at a single stroke, their most cherished offspring was consumed.
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 13] For while they were disbelieving all things by reason of the enchantments, upon the destruction of the firstborn they confessed the people to be God’s children.
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 14] For while peaceful silence wrapped all things, and night in her own swiftness was half spent,
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 15] your all-powerful word leaped from heaven, from the royal throne, a stern warrior, into the midst of the doomed land,
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 16] bearing as a sharp sword your authentic commandment, and standing, it filled all things with death, and while it touched the heaven it stood upon the earth.
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 17] Then immediately apparitions in dreams terribly troubled them, and unexpected fears came upon them.
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 18] And each, one thrown here half dead, another there, made known why he was dying;
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 19] for the dreams, disturbing them, forewarned them of this, that they might not perish without knowing why they were afflicted.
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 20] The experience of death also touched the righteous, and a multitude were destroyed in the wilderness, but the wrath didn’t last long.
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 21] For a blameless man hurried to be their champion, bringing the weapon of his own ministry, prayer, and the atoning sacrifice of incense. He withstood the indignation and set an end to the calamity, showing that he was your servant.
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 22] And he overcame the anger, not by strength of body, not by force of weapons, but by his word, he subdued the avenger by bringing to remembrance oaths and covenants made with the fathers.
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 23] For when the dead had already fallen in heaps one upon another, he intervened and stopped the wrath, and cut off its way to the living.
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 24] For the whole world was pictured on his long robe, and the glories of the fathers were upon the engraving of the four rows of precious stones, and your majesty was upon the diadem on his head.
[WEB | EN | OT | Wisdom of Solomon | Chapter 18 | Verse 25] The destroyer yielded to these, and they feared; for it was enough only to test the wrath.
