[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 1] For your incorruptible spirit is in all things.
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 2] Therefore you convict little by little those who fall from the right way, and, putting them in remembrance by the things wherein they sin, you admonish them, that escaping from their wickedness they may believe in you, O Lord.
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 3] For truly the old inhabitants of your holy land,
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 4] hating them because they practiced detestable works of enchantments and unholy rites—
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 5] merciless slaughters of children and sacrificial banquets of men’s flesh and of blood—
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 6] allies in an impious fellowship, and murderers of their own helpless babes, it was your counsel to destroy by the hands of our fathers;
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 7] that the land which in your sight is most precious of all might receive a worthy colony of God’s servants.
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 8] Nevertheless you even spared these as men, and you sent hornets as forerunners of your army, to cause them to perish little by little.
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 9] Not that you were unable to subdue the ungodly under the hand of the righteous in battle, or by terrible beasts or by a stern word to make away with them at once,
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 10] but judging them little by little you gave them a chance to repent, not being ignorant that their nature by birth was evil, their wickedness inborn, and that their manner of thought would never be changed.
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 11] For they were a cursed seed from the beginning. It wasn’t through fear of any that you left them unpunished for their sins.
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 12] For who will say, “What have you done?” Or “Who will withstand your judgment?” Who will accuse you for the perishing of nations which you caused? Or who will come and stand before you as an avenger for unrighteous men?
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 13] For there isn’t any God beside you that cares for all, that you might show that you didn’t judge unrighteously.
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 14] No king or prince will be able to confront you about those whom you have punished.
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 15] But being righteous, you rule all things righteously, deeming it a thing alien from your power to condemn one who doesn’t deserve to be punished.
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 16] For your strength is the source of righteousness, and your sovereignty over all makes you to forbear all.
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 17] For when men don’t believe that you are perfect in power, you show your strength, and in dealing with those who think this, you confuse their boldness.
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 18] But you, being sovereign in strength, judge in gentleness, and with great forbearance you govern us; for the power is yours whenever you desire it.
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 19] But you taught your people by such works as these, how the righteous must be kind. You made your sons to have good hope, because you give repentance when men have sinned.
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 20] For if on those who were enemies of your servants and deserving of death, you took vengeance with so great deliberation and indulgence, giving them times and opportunities when they might escape from their wickedness,
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 21] with how great care you judged your sons, to whose fathers you gave oaths and covenants of good promises!
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 22] Therefore while you chasten us, you scourge our enemies ten thousand times more, to the intent that we may ponder your goodness when we judge, and when we are judged may look for mercy.
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 23] Therefore also the unrighteous that lived in a life of folly, you tormented through their own abominations.
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 24] For truly they went astray very far in the ways of error, Taking as gods those animals which even among their enemies were held in dishonor, deceived like foolish babes.
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 25] Therefore, as to unreasoning children, you sent your judgment to mock them.
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 26] But those who would not be admonished by mild correction will experience the deserved judgment of God.
[WEB | EN | OT | Wisdom of Solomon | Chapter 12 | Verse 27] For through the sufferings they were indignant of, being punished in these creatures which they supposed to be gods, they saw and recognized as the true God him whom they previously refused to know. Therefore also the result of extreme condemnation came upon them.
