[WEB | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 1] “O God of my ancestors and Lord of mercy, who made all things by your word;
[WEB | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 2] and by your wisdom you formed man, that he should have dominion over the creatures that were made by you,
[WEB | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 3] and rule the world in holiness and righteousness, and execute judgment in uprightness of soul,
[WEB | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 4] give me wisdom, her who sits by you on your thrones. Don’t reject me from among your servants,
[WEB | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 5] because I am your servant and the son of your handmaid, a weak and short-lived man, with little power to understand judgment and laws.
[WEB | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 6] For even if a man is perfect among the sons of men, if the wisdom that comes from you is not with him, he will count for nothing.
[WEB | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 7] You chose me to be king of your people, and a judge for your sons and daughters.
[WEB | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 8] You gave a command to build a sanctuary on your holy mountain, and an altar in the city where you live, a copy of the holy tent which you prepared from the beginning.
[WEB | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 9] Wisdom is with you and knows your works, and was present when you were making the world, and understands what is pleasing in your eyes, and what is right according to your commandments.
[WEB | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 10] Send her from the holy heavens, and ask her to come from the throne of your glory, that being present with me she may work, and I may learn what pleases you well.
[WEB | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 11] For she knows all things and understands, and she will guide me prudently in my actions. She will guard me in her glory.
[WEB | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 12] So my works will be acceptible. I will judge your people righteously, and I will be worthy of my father’s throne.
[WEB | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 13] For what man will know the counsel of God? Or who will conceive what the Lord wills?
[WEB | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 14] For the thoughts of mortals are unstable, and our plans are prone to fail.
[WEB | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 15] For a corruptible body weighs down the soul. The earthy tent burdens a mind that is full of cares.
[WEB | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 16] We can hardly guess the things that are on earth, and we find the things that are close at hand with labor; but who has traced out the things that are in the heavens?
[WEB | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 17] Who gained knowledge of your counsel, unless you gave wisdom, and sent your holy spirit from on high?
[WEB | EN | OT | Wisdom of Solomon | Chapter 9 | Verse 18] It was thus that the ways of those who are on earth were corrected, and men were taught the things that are pleasing to you. They were saved through wisdom.”
