[ASV | EN | OT | Leviticus | Chapter 6 | Verse 1] And Jehovah spake unto Moses, saying,
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 2] If anyone sin, and commit a trespass against Jehovah, and deal falsely with his neighbor in a matter of deposit, or of bargain, or of robbery, or have oppressed his neighbor,
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 3] or have found that which was lost, and deal falsely therein, and swear to a lie; in any of all these things that a man doeth, sinning therein;
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 4] then it shall be, if he hath sinned, and is guilty, that he shall restore that which he took by robbery, or the thing which he hath gotten by oppression, or the deposit which was committed to him, or the lost thing which he found,
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 5] or anything about which he hath sworn falsely; he shall even restore it in full, and shall add the fifth part more thereto: unto him to whom it appertaineth shall he give it, in the day of his being found guilty.
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 6] And he shall bring his trespass offering unto Jehovah, a ram without blemish out of the flock, according to thy estimation, for a trespass offering, unto the priest:
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 7] and the priest shall make atonement for him before Jehovah; and he shall be forgiven concerning whatsoever he doeth so as to be guilty thereby.
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 8] And Jehovah spake unto Moses, saying,
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 9] Command Aaron and his sons, saying, This is the law of the burnt offering: the burnt offering shall be on the hearth upon the altar all night unto the morning; and the fire of the altar shall be kept burning thereon.
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 10] And the priest shall put on his linen garment, and his linen breeches shall he put upon his flesh; and he shall take up the ashes whereto the fire hath consumed the burnt offering on the altar, and he shall put them beside the altar.
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 11] And he shall put off his garments, and put on other garments, and carry forth the ashes without the camp unto a clean place.
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 12] And the fire upon the altar shall be kept burning thereon, it shall not go out; and the priest shall burn wood on it every morning: and he shall lay the burnt offering in order upon it, and shall burn thereon the fat of the peace offerings.
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 13] Fire shall be kept burning upon the altar continually; it shall not go out.
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 14] And this is the law of the meal offering: the sons of Aaron shall offer it before Jehovah, before the altar.
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 15] And he shall take up therefrom his handful, of the fine flour of the meal offering, and of the oil thereof, and all the frankincense which is upon the meal offering, and shall burn it upon the altar for a sweet savor, as the memorial thereof, unto Jehovah.
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 16] And that which is left thereof shall Aaron and his sons eat: it shall be eaten without leaven in a holy place; in the court of the tent of meeting they shall eat it.
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 17] It shall not be baked with leaven. I have given it as their portion of my offerings made by fire; it is most holy, as the sin offering, and as the trespass offering.
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 18] Every male among the children of Aaron shall eat of it, as his portion forever throughout your generations, from the offerings of Jehovah made by fire: whosoever toucheth them shall be holy.
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 19] And Jehovah spake unto Moses, saying,
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 20] This is the oblation of Aaron and of his sons, which they shall offer unto Jehovah in the day when he is anointed: the tenth part of an ephah of fine flour for a meal offering perpetually, half of it in the morning, and half thereof in the evening.
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 21] On a baking pan it shall be made with oil; when it is soaked, thou shalt bring it in: in baked pieces shalt thou offer the meal offering for a sweet savor unto Jehovah.
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 22] And the anointed priest that shall be in his stead from among his sons shall offer it: by a statute forever it shall be wholly burnt unto Jehovah.
[ASV | EN | OT | Leviticus | Chapter 6 | Verse 23] And every meal offering of the priest shall be wholly burnt: it shall not be eaten.
