[ASV | EN | OT | Leviticus | Chapter 5 | Verse 1] And if anyone sin, in that he heareth the voice of adjuration, he being a witness, whether he hath seen or known, if he do not utter it, then he shall bear his iniquity.
[ASV | EN | OT | Leviticus | Chapter 5 | Verse 2] Or if anyone touch any unclean thing, whether it be the carcass of an unclean beast, or the carcass of unclean cattle, or the carcass of unclean creeping things, and it be hidden from him, and he be unclean, then he shall be guilty.
[ASV | EN | OT | Leviticus | Chapter 5 | Verse 3] Or if he touch the uncleanness of man, whatsoever his uncleanness be wherewith he is unclean, and it be hidden from him; when he knoweth of it, then he shall be guilty.
[ASV | EN | OT | Leviticus | Chapter 5 | Verse 4] Or if anyone swear rashly with his lips to do evil, or to do good, whatsoever it be that a man shall utter rashly with an oath, and it be hidden from him; when he knoweth of it, then he shall be guilty in one of these things.
[ASV | EN | OT | Leviticus | Chapter 5 | Verse 5] And it shall be, when he shall be guilty in one of these things, that he shall confess that wherein he hath sinned:
[ASV | EN | OT | Leviticus | Chapter 5 | Verse 6] and he shall bring his trespass offering unto Jehovah for his sin which he hath sinned, a female from the flock, a lamb or a goat, for a sin offering; and the priest shall make atonement for him as concerning his sin.
[ASV | EN | OT | Leviticus | Chapter 5 | Verse 7] And if his means suffice not for a lamb, then he shall bring his trespass offering for that wherein he hath sinned, two turtledoves, or two young pigeons, unto Jehovah; one for a sin offering, and the other for a burnt offering.
[ASV | EN | OT | Leviticus | Chapter 5 | Verse 8] And he shall bring them unto the priest, who shall offer that which is for the sin offering first, and wring off its head from its neck, but shall not divide it asunder:
[ASV | EN | OT | Leviticus | Chapter 5 | Verse 9] and he shall sprinkle of the blood of the sin offering upon the side of the altar; and the rest of the blood shall be drained out at the base of the altar: it is a sin offering.
[ASV | EN | OT | Leviticus | Chapter 5 | Verse 10] And he shall offer the second for a burnt offering, according to the ordinance; and the priest shall make atonement for him as concerning his sin which he hath sinned, and he shall be forgiven.
[ASV | EN | OT | Leviticus | Chapter 5 | Verse 11] But if his means suffice not for two turtledoves, or two young pigeons, then he shall bring his oblation for that wherein he hath sinned, the tenth part of an ephah of fine flour for a sin offering: he shall put no oil upon it, neither shall he put any frankincense thereon; for it is a sin offering.
[ASV | EN | OT | Leviticus | Chapter 5 | Verse 12] And he shall bring it to the priest, and the priest shall take his handful of it as the memorial thereof, and burn it on the altar, upon the offerings of Jehovah made by fire: it is a sin offering.
[ASV | EN | OT | Leviticus | Chapter 5 | Verse 13] And the priest shall make atonement for him as touching his sin that he hath sinned in any of these things, and he shall be forgiven: and the remnant shall be the priest’s, as the meal offering.
[ASV | EN | OT | Leviticus | Chapter 5 | Verse 14] And Jehovah spake unto Moses, saying,
[ASV | EN | OT | Leviticus | Chapter 5 | Verse 15] If anyone commit a trespass, and sin unwittingly, in the holy things of Jehovah; then he shall bring his trespass offering unto Jehovah, a ram without blemish out of the flock, according to thy estimation in silver by shekels, after the shekel of the sanctuary, for a trespass offering:
[ASV | EN | OT | Leviticus | Chapter 5 | Verse 16] and he shall make restitution for that which he hath done amiss in the holy thing, and shall add the fifth part thereto, and give it unto the priest; and the priest shall make atonement for him with the ram of the trespass offering, and he shall be forgiven.
[ASV | EN | OT | Leviticus | Chapter 5 | Verse 17] And if anyone sin, and do any of the things which Jehovah hath commanded not to be done; though he knew it not, yet is he guilty, and shall bear his iniquity.
[ASV | EN | OT | Leviticus | Chapter 5 | Verse 18] And he shall bring a ram without blemish out of the flock, according to thy estimation, for a trespass offering, unto the priest; and the priest shall make atonement for him concerning the thing wherein he erred unwittingly and knew it not, and he shall be forgiven.
[ASV | EN | OT | Leviticus | Chapter 5 | Verse 19] It is a trespass offering: he is certainly guilty before Jehovah.
