[ASV | EN | OT | Leviticus | Chapter 2 | Verse 1] And when anyone offereth an oblation of a meal offering unto Jehovah, his oblation shall be of fine flour; and he shall pour oil upon it, and put frankincense thereon:
[ASV | EN | OT | Leviticus | Chapter 2 | Verse 2] and he shall bring it to Aaron’s sons the priests; and he shall take thereout his handful of the fine flour thereof, and of the oil thereof, with all the frankincense thereof. And the priest shall burn it as the memorial thereof upon the altar, an offering made by fire, of a sweet savor unto Jehovah:
[ASV | EN | OT | Leviticus | Chapter 2 | Verse 3] and that which is left of the meal offering shall be Aaron’s and his sons’: it is a thing most holy of the offerings of Jehovah made by fire.
[ASV | EN | OT | Leviticus | Chapter 2 | Verse 4] And when thou offerest an oblation of a meal offering baked in the oven, it shall be unleavened cakes of fine flour mingled with oil, or unleavened wafers anointed with oil.
[ASV | EN | OT | Leviticus | Chapter 2 | Verse 5] And if thy oblation be a meal offering of the baking pan, it shall be of fine flour unleavened, mingled with oil.
[ASV | EN | OT | Leviticus | Chapter 2 | Verse 6] Thou shalt part it in pieces, and pour oil thereon: it is a meal offering.
[ASV | EN | OT | Leviticus | Chapter 2 | Verse 7] And if thy oblation be a meal offering of the frying pan, it shall be made of fine flour with oil.
[ASV | EN | OT | Leviticus | Chapter 2 | Verse 8] And thou shalt bring the meal offering that is made of these things unto Jehovah: and it shall be presented unto the priest, and he shall bring it unto the altar.
[ASV | EN | OT | Leviticus | Chapter 2 | Verse 9] And the priest shall take up from the meal offering the memorial thereof, and shall burn it upon the altar, an offering made by fire, of a sweet savor unto Jehovah.
[ASV | EN | OT | Leviticus | Chapter 2 | Verse 10] And that which is left of the meal offering shall be Aaron’s and his sons’: it is a thing most holy of the offerings of Jehovah made by fire.
[ASV | EN | OT | Leviticus | Chapter 2 | Verse 11] No meal offering, which ye shall offer unto Jehovah, shall be made with leaven; for ye shall burn no leaven, nor any honey, as an offering made by fire unto Jehovah.
[ASV | EN | OT | Leviticus | Chapter 2 | Verse 12] As an oblation of firstfruits ye shall offer them unto Jehovah: but they shall not come up for a sweet savor on the altar.
[ASV | EN | OT | Leviticus | Chapter 2 | Verse 13] And every oblation of thy meal offering shalt thou season with salt; neither shalt thou suffer the salt of the covenant of thy God to be lacking from thy meal offering: with all thine oblations thou shalt offer salt.
[ASV | EN | OT | Leviticus | Chapter 2 | Verse 14] And if thou offer a meal offering of firstfruits unto Jehovah, thou shalt offer for the meal offering of thy firstfruits grain in the ear parched with fire, bruised grain of the fresh ear.
[ASV | EN | OT | Leviticus | Chapter 2 | Verse 15] And thou shalt put oil upon it, and lay frankincense thereon: it is a meal offering.
[ASV | EN | OT | Leviticus | Chapter 2 | Verse 16] And the priest shall burn the memorial of it, part of the bruised grain thereof, and part of the oil thereof, with all the frankincense thereof: it is an offering made by fire unto Jehovah.
