[IRV | ML | NT | 2 Corinthians | Chapter 4 | Verse 1] അതുകൊണ്ടു ഞങ്ങൾക്കു കരുണ ലഭിച്ചിട്ടു ഈ ശുശ്രൂഷ ഉണ്ടാകയാൽ ഞങ്ങൾ അധൈര്യപ്പെടാതെ
[IRV | ML | NT | 2 Corinthians | Chapter 4 | Verse 2] ലജ്ജാകരമായ രഹസ്യങ്ങളെ ത്യജിച്ചു ഉപായം പ്രയോഗിക്കാതെയും ദൈവവചനത്തിൽ കൂട്ടു ചേർക്കാതെയും സത്യം വെളിപ്പെടുത്തുന്നതിനാൽ ദൈവസന്നിധിയിൽ സകലമനുഷ്യരുടെയും മനസ്സാക്ഷിക്കു ഞങ്ങളെത്തന്നേ ബോദ്ധ്യമാക്കുന്നു.
[IRV | ML | NT | 2 Corinthians | Chapter 4 | Verse 3] എന്നാൽ ഞങ്ങളുടെ സുവിശേഷം മറഞ്ഞിരിക്കുന്നു എങ്കിൽ നശിച്ചുപോകുന്നവർക്കത്രേ മറഞ്ഞിരിക്കുന്നു.
[IRV | ML | NT | 2 Corinthians | Chapter 4 | Verse 4] ദൈവപ്രതിമയായ ക്രിസ്തുവിന്റെ തേജസ്സുള്ള സുവിശേഷത്തിന്റെ പ്രകാശനം ശോഭിക്കാതിരിപ്പാൻ ഈ ലോകത്തിന്റെ ദൈവം അവിശ്വാസികളുടെ മനസ്സു കുരുടാക്കി.
[IRV | ML | NT | 2 Corinthians | Chapter 4 | Verse 5] ഞങ്ങളെത്തന്നേ അല്ല, ക്രിസ്തുയേശുവിനെ കർത്താവു എന്നും ഞങ്ങളേയോ യേശു നിമിത്തം നിങ്ങളുടെ ദാസന്മാർ എന്നും അത്രേ ഞങ്ങൾ പ്രസംഗിക്കുന്നതു.
[IRV | ML | NT | 2 Corinthians | Chapter 4 | Verse 6] ഇരുട്ടിൽ നിന്നു വെളിച്ചം പ്രകാശിക്കേണം എന്നു അരുളിച്ചെയ്ത ദൈവം യേശുക്രിസ്തുവിന്റെ മുഖത്തിലുള്ള ദൈവതേജസ്സിന്റെ പരിജ്ഞാനം വിളങ്ങിക്കേണ്ടതിന്നു ഞങ്ങളുടെ ഹൃദയങ്ങളിൽ പ്രകാശിച്ചിരിക്കുന്നു.
[IRV | ML | NT | 2 Corinthians | Chapter 4 | Verse 7] എങ്കിലും ഈ അത്യന്തശക്തി ഞങ്ങളുടെ സ്വന്തം എന്നല്ല, ദൈവത്തിന്റെ ദാനമത്രേ എന്നു വരേണ്ടതിന്നു ഈ നിക്ഷേപം ഞങ്ങൾക്കു മൺപാത്രങ്ങളിൽ ആകുന്നു ഉള്ളതു.
[IRV | ML | NT | 2 Corinthians | Chapter 4 | Verse 8] ഞങ്ങൾ സകലവിധത്തിലും കഷ്ടം സഹിക്കുന്നവർ എങ്കിലും ഇടുങ്ങിയിരിക്കുന്നില്ല; ബുദ്ധിമുട്ടുന്നവർ എങ്കിലും നിരാശപ്പെടുന്നില്ല;
[IRV | ML | NT | 2 Corinthians | Chapter 4 | Verse 9] ഉപദ്രവം അനുഭവിക്കുന്നവർ എങ്കിലും ഉപേക്ഷിക്കപ്പെടുന്നില്ല; വീണുകിടക്കുന്നവർ എങ്കിലും നശിച്ചുപോകുന്നില്ല;
[IRV | ML | NT | 2 Corinthians | Chapter 4 | Verse 10] യേശുവിന്റെ ജീവൻ ഞങ്ങളുടെ ശരീരത്തിൽ വെളിപ്പെടേണ്ടതിന്നു യേശുവിന്റെ മരണം ശരീരത്തിൽ എപ്പോഴും വഹിക്കുന്നു.
[IRV | ML | NT | 2 Corinthians | Chapter 4 | Verse 11] ഞങ്ങളുടെ മർത്യശരീരത്തിൽ യേശുവിന്റെ ജീവൻ വെളിപ്പെടേണ്ടതിന്നു ജീവിച്ചിരിക്കുന്ന ഞങ്ങൾ എല്ലായ്പോഴും യേശുനിമിത്തം മരണത്തിൽ ഏല്പിക്കപ്പെടുന്നു.
