[DRA | EN | NT | Romans | Chapter 6 | Verse 1] What shall we say, then? shall we continue in sin, that grace may abound?
[DRA | EN | NT | Romans | Chapter 6 | Verse 2] God forbid. For we that are dead to sin, how shall we live any longer therein?
[DRA | EN | NT | Romans | Chapter 6 | Verse 3] Know you not that all we, who are baptized in Christ Jesus, are baptized in his death?
[DRA | EN | NT | Romans | Chapter 6 | Verse 4] For we are buried together with him by baptism into death; that as Christ is risen from the dead by the glory of the Father, so we also may walk in newness of life.
[DRA | EN | NT | Romans | Chapter 6 | Verse 5] For if we have been planted together in the likeness of his death, we shall be also in the likeness of his resurrection.
[DRA | EN | NT | Romans | Chapter 6 | Verse 6] Knowing this, that our old man is crucified with him, that the body of sin may be destroyed, to the end that we may serve sin no longer.
[DRA | EN | NT | Romans | Chapter 6 | Verse 7] For he that is dead is justified from sin.
[DRA | EN | NT | Romans | Chapter 6 | Verse 8] Now if we be dead with Christ, we believe that we shall live also together with Christ:
[DRA | EN | NT | Romans | Chapter 6 | Verse 9] Knowing that Christ rising again from the dead, dieth now no more, death shall no more have dominion over him.
[DRA | EN | NT | Romans | Chapter 6 | Verse 10] For in that he died to sin, he died once; but in that he liveth, he liveth unto God:
[DRA | EN | NT | Romans | Chapter 6 | Verse 11] So do you also reckon, that you are dead to sin, but alive unto God, in Christ Jesus our Lord.
[DRA | EN | NT | Romans | Chapter 6 | Verse 12] Let no sin therefore reign in your mortal body, so as to obey the lusts thereof.
[DRA | EN | NT | Romans | Chapter 6 | Verse 13] Neither yield ye your members as instruments of iniquity unto sin; but present yourselves to God, as those that are alive from the dead, and your members as instruments of justice unto God.
[DRA | EN | NT | Romans | Chapter 6 | Verse 14] For sin shall not have dominion over you; for you are not under the law, but under grace.
[DRA | EN | NT | Romans | Chapter 6 | Verse 15] What then? Shall we sin, because we are not under the law, but under grace? God forbid.
[DRA | EN | NT | Romans | Chapter 6 | Verse 16] Know you not, that to whom you yield yourselves servants to obey, his servants you are whom you obey, whether it be of sin unto death, or of obedience unto justice.
[DRA | EN | NT | Romans | Chapter 6 | Verse 17] But thanks be to God, that you were the servants of sin, but have obeyed from the heart, unto that form of doctrine, into which you have been delivered.
[DRA | EN | NT | Romans | Chapter 6 | Verse 18] Being then freed from sin, we have been made servants of justice.
[DRA | EN | NT | Romans | Chapter 6 | Verse 19] I speak an human thing, because of the infirmity of your flesh. For as you have yielded your members to serve uncleanness and iniquity, unto iniquity; so now yield your members to serve justice, unto sanctification.
[DRA | EN | NT | Romans | Chapter 6 | Verse 20] For when you were the servants of sin, you were free men to justice.
[DRA | EN | NT | Romans | Chapter 6 | Verse 21] What fruit therefore had you then in those things, of which you are now ashamed? For the end of them is death.
[DRA | EN | NT | Romans | Chapter 6 | Verse 22] But now being made free from sin, and become servants to God, you have your fruit unto sanctification, and the end life everlasting.
[DRA | EN | NT | Romans | Chapter 6 | Verse 23] For the wages of sin is death. But the grace of God, life everlasting, in Christ Jesus our Lord.
