[DRA | EN | NT | Romans | Chapter 16 | Verse 1] And I commend to you Phebe, our sister, who is in the ministry of the church, that is in Cenchrae:
[DRA | EN | NT | Romans | Chapter 16 | Verse 2] That you receive her in the Lord as becometh saints; and that you assist her in whatsoever business she shall have need of you. For she also hath assisted many, and myself also.
[DRA | EN | NT | Romans | Chapter 16 | Verse 3] Salute Prisca and Aquila, my helpers in Christ Jesus,
[DRA | EN | NT | Romans | Chapter 16 | Verse 4] (Who have for my life laid down their own necks: to whom not I only give thanks, but also all the churches of the Gentiles,)
[DRA | EN | NT | Romans | Chapter 16 | Verse 5] And the church which is in their house. Salute Epenetus, my beloved: who is the firstfruits of Asia in Christ.
[DRA | EN | NT | Romans | Chapter 16 | Verse 6] Salute Mary, who hath laboured much among you.
[DRA | EN | NT | Romans | Chapter 16 | Verse 7] Salute Andronicus and Junias, my kinsmen and fellow prisoners: who are of note among the apostles, who also were in Christ before me.
[DRA | EN | NT | Romans | Chapter 16 | Verse 8] Salute Ampliatus, most beloved to me in the Lord.
[DRA | EN | NT | Romans | Chapter 16 | Verse 9] Salute Urbanus, our helper in Christ Jesus, and Stachys, my beloved.
[DRA | EN | NT | Romans | Chapter 16 | Verse 10] Salute Apelles, approved in Christ.
[DRA | EN | NT | Romans | Chapter 16 | Verse 11] Salute them that are of Aristobulus’ household. Salute Herodian, my kinsman. Salute them that are of Narcissus’ household, who are in the Lord.
[DRA | EN | NT | Romans | Chapter 16 | Verse 12] Salute Tryphaena and Tryphosa, who labour in the Lord. Salute Persis, the dearly beloved, who hath much laboured in the Lord.
[DRA | EN | NT | Romans | Chapter 16 | Verse 13] Salute Rufus, elect in the Lord, and his mother and mine.
[DRA | EN | NT | Romans | Chapter 16 | Verse 14] Salute Asyncritus, Phlegon, Hermas, Patrobas, Hermes, and the brethren that are with them.
[DRA | EN | NT | Romans | Chapter 16 | Verse 15] Salute Philologus and Julia, Nereus and his sister, and Olympias; and all the saints that are with them.
[DRA | EN | NT | Romans | Chapter 16 | Verse 16] Salute one another with an holy kiss. All the churches of Christ salute you.
[DRA | EN | NT | Romans | Chapter 16 | Verse 17] Now I beseech you, brethren, to mark them who make dissensions and offences contrary to the doctrine which you have learned, and avoid them.
[DRA | EN | NT | Romans | Chapter 16 | Verse 18] For they that are such, serve not Christ our Lord, but their own belly; and by pleasing speeches and good words, seduce the hearts of the innocent.
[DRA | EN | NT | Romans | Chapter 16 | Verse 19] For your obedience is published in every place. I rejoice therefore in you. But I would have you to be wise in good, and simple in evil.
[DRA | EN | NT | Romans | Chapter 16 | Verse 20] And the God of peace crush Satan under your feet speedily. The grace of our Lord Jesus Christ be with you.
[DRA | EN | NT | Romans | Chapter 16 | Verse 21] Timothy, my fellow labourer, saluteth you, and Lucius, and Jason, and Sosipater, my kinsmen.
[DRA | EN | NT | Romans | Chapter 16 | Verse 22] I Tertius, who wrote this epistle, salute you in the Lord.
[DRA | EN | NT | Romans | Chapter 16 | Verse 23] Caius, my host, and the whole church, saluteth you. Erastus, the treasurer of the city, saluteth you, and Quartus, a brother.
[DRA | EN | NT | Romans | Chapter 16 | Verse 24] The grace of our Lord Jesus Christ be with you all. Amen.
[DRA | EN | NT | Romans | Chapter 16 | Verse 25] Now to him that is able to establish you, according to my gospel, and the preaching of Jesus Christ, according to the revelation of the mystery, which was kept secret from eternity,
[DRA | EN | NT | Romans | Chapter 16 | Verse 26] (Which now is made manifest by the scriptures of the prophets, according to the precept of the eternal God, for the obedience of faith,) known among all nations;
[DRA | EN | NT | Romans | Chapter 16 | Verse 27] To God the only wise, through Jesus Christ, to whom be honour and glory for ever and ever. Amen.
