[WEB | EN | NT | Galatians | Chapter 3 | Verse 1] Foolish Galatians, who has bewitched you not to obey the truth, before whose eyes Jesus Christ was openly portrayed among you as crucified?
[WEB | EN | NT | Galatians | Chapter 3 | Verse 2] I just want to learn this from you: Did you receive the Spirit by the works of the law, or by hearing of faith?
[WEB | EN | NT | Galatians | Chapter 3 | Verse 3] Are you so foolish? Having begun in the Spirit, are you now completed in the flesh?
[WEB | EN | NT | Galatians | Chapter 3 | Verse 4] Did you suffer so many things in vain, if it is indeed in vain?
[WEB | EN | NT | Galatians | Chapter 3 | Verse 5] He therefore who supplies the Spirit to you and does miracles among you, does he do it by the works of the law, or by hearing of faith?
[WEB | EN | NT | Galatians | Chapter 3 | Verse 6] Even so, Abraham “believed God, and it was counted to him for righteousness.”
[WEB | EN | NT | Galatians | Chapter 3 | Verse 7] Know therefore that those who are of faith are children of Abraham.
[WEB | EN | NT | Galatians | Chapter 3 | Verse 8] The Scripture, foreseeing that God would justify the Gentiles by faith, preached the Good News beforehand to Abraham, saying, “In you all the nations will be blessed.”
[WEB | EN | NT | Galatians | Chapter 3 | Verse 9] So then, those who are of faith are blessed with the faithful Abraham.
[WEB | EN | NT | Galatians | Chapter 3 | Verse 10] For as many as are of the works of the law are under a curse. For it is written, “Cursed is everyone who doesn’t continue in all things that are written in the book of the law, to do them.”
[WEB | EN | NT | Galatians | Chapter 3 | Verse 11] Now that no man is justified by the law before God is evident, for, “The righteous will live by faith.”
[WEB | EN | NT | Galatians | Chapter 3 | Verse 12] The law is not of faith, but, “The man who does them will live by them.”
[WEB | EN | NT | Galatians | Chapter 3 | Verse 13] Christ redeemed us from the curse of the law, having become a curse for us. For it is written, “Cursed is everyone who hangs on a tree,”
[WEB | EN | NT | Galatians | Chapter 3 | Verse 14] that the blessing of Abraham might come on the Gentiles through Christ Jesus, that we might receive the promise of the Spirit through faith.
[WEB | EN | NT | Galatians | Chapter 3 | Verse 15] Brothers, speaking of human terms, though it is only a man’s covenant, yet when it has been confirmed, no one makes it void or adds to it.
[WEB | EN | NT | Galatians | Chapter 3 | Verse 16] Now the promises were spoken to Abraham and to his offspring. He doesn’t say, “To descendants”, as of many, but as of one, “To your offspring”, which is Christ.
[WEB | EN | NT | Galatians | Chapter 3 | Verse 17] Now I say this: A covenant confirmed beforehand by God in Christ, the law, which came four hundred thirty years after, does not annul, so as to make the promise of no effect.
[WEB | EN | NT | Galatians | Chapter 3 | Verse 18] For if the inheritance is of the law, it is no more of promise; but God has granted it to Abraham by promise.
[WEB | EN | NT | Galatians | Chapter 3 | Verse 19] Then why is there the law? It was added because of transgressions, until the offspring should come to whom the promise has been made. It was ordained through angels by the hand of a mediator.
[WEB | EN | NT | Galatians | Chapter 3 | Verse 20] Now a mediator is not between one, but God is one.
[WEB | EN | NT | Galatians | Chapter 3 | Verse 21] Is the law then against the promises of God? Certainly not! For if there had been a law given which could make alive, most certainly righteousness would have been of the law.
[WEB | EN | NT | Galatians | Chapter 3 | Verse 22] But the Scripture imprisoned all things under sin, that the promise by faith in Jesus Christ might be given to those who believe.
[WEB | EN | NT | Galatians | Chapter 3 | Verse 23] But before faith came, we were kept in custody under the law, confined for the faith which should afterwards be revealed.
[WEB | EN | NT | Galatians | Chapter 3 | Verse 24] So that the law has become our tutor to bring us to Christ, that we might be justified by faith.
[WEB | EN | NT | Galatians | Chapter 3 | Verse 25] But now that faith has come, we are no longer under a tutor.
[WEB | EN | NT | Galatians | Chapter 3 | Verse 26] For you are all children of God, through faith in Christ Jesus.
[WEB | EN | NT | Galatians | Chapter 3 | Verse 27] For as many of you as were baptized into Christ have put on Christ.
[WEB | EN | NT | Galatians | Chapter 3 | Verse 28] There is neither Jew nor Greek, there is neither slave nor free man, there is neither male nor female; for you are all one in Christ Jesus.
[WEB | EN | NT | Galatians | Chapter 3 | Verse 29] If you are Christ’s, then you are Abraham’s offspring and heirs according to promise.
