[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 1] Adam, Seth, Enosh,
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 2] Cainan, Mahalaleel, Jared,
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 3] Enoch, Methushelah, Lemech,
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 4] Noah; Shem, Ham, and Japheth.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 5] The sons of Japheth: Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 6] — And the sons of Gomer: Ashkenaz, and Diphath, and Togarmah.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 7] And the sons of Javan: Elishah and Tarshish, Kittim and Rodanim.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 8] The sons of Ham: Cush and Mizraim, Phut and Canaan.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 9] — And the sons of Cush: Seba and Havilah, and Sabta, and Raama, and Sabtecha. And the sons of Raamah: Sheba and Dedan.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 10] And Cush begot Nimrod: he began to be mighty on the earth.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 11] — And Mizraim begot the Ludim, and the Anamim, and the Lehabim, and the Naphtuhim,
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 12] and the Pathrusim, and the Casluhim out of whom came the Philistines, and the Caphtorim.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 13] — And Canaan begot Zidon his firstborn, and Heth,
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 14] and the Jebusite, and the Amorite, and the Girgashite,
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 15] and the Hivite, and the Arkite, and the Sinite,
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 16] and the Arvadite, and the Zemarite, and the Hamathite.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 17] The sons of Shem: Elam, and Asshur, and Arphaxad, and Lud, and Aram, and Uz, and Hul, and Gether, and Meshech.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 18] — And Arphaxad begot Shelah, and Shelah begot Eber.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 19] And to Eber were born two sons: the name of the one was Peleg, for in his days was the earth divided; and his brother's name was Joktan.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 20] And Joktan begot Almodad, and Sheleph, and Hazarmaveth, and Jerah,
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 21] and Hadoram, and Uzal, and Diklah,
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 22] and Ebal, and Abimael, and Sheba,
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 23] and Ophir, and Havilah, and Jobab: all these were sons of Joktan.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 24] Shem, Arphaxad, Shelah,
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 25] Eber, Peleg, Reu,
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 26] Serug, Nahor, Terah,
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 27] Abram: the same is Abraham.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 28] The sons of Abraham: Isaac and Ishmael.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 29] These are their generations: the firstborn of Ishmael, Nebaioth; and Kedar, and Adbeel, and Mibsam;
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 30] Mishma and Dumah; Massa, Hadad, and Tema;
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 31] Jetur, Naphish, and Kedmah: those are the sons of Ishmael.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 32] — And the sons of Keturah, Abraham's concubine: she bore Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah. And the sons of Jokshan: Sheba and Dedan.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 33] And the sons of Midian: Ephah, and Epher, and Enoch, and Abida, and Eldaah. All these were sons of Keturah.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 34] And Abraham begot Isaac. The sons of Isaac: Esau and Israel.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 35] The sons of Esau: Eliphaz, Reuel, and Jeush, and Jaalam, and Korah.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 36] — The sons of Eliphaz: Teman and Omar, Zephi and Gatam, Kenaz, and Timna, and Amalek.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 37] The sons of Reuel: Nahath, Zerah, Shammah, and Mizzah.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 38] And the sons of Seir: Lotan, and Shobal, and Zibeon, and Anah, and Dishon, and Ezer, and Dishan.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 39] — And the sons of Lotan: Hori and Homam. And Lotan's sister, Timna.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 40] — The sons of Shobal: Alian, and Manahath, and Ebal, Shephi and Onam. — And the sons of Zibeon: Ajah and Anah.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 41] — The sons of Anah: Dishon. — And the sons of Dishon: Hamran, and Eshban, and Jithran, and Cheran.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 42] — The sons of Ezer: Bilhan, and Zaavan, [and] Jaakan. — The sons of Dishan: Uz and Aran.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 43] And these are the kings that reigned in the land of Edom before there reigned a king over the children of Israel: — Bela the son of Beor; and the name of his city was Dinhabah.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 44] And Bela died; and Jobab the son of Zerah of Bozrah reigned in his stead.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 45] And Jobab died; and Husham of the land of the Temanites reigned in his stead.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 46] And Husham died; and Hadad the son of Bedad, who smote Midian in the fields of Moab, reigned in his stead: and the name of his city was Avith.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 47] And Hadad died; and Samlah of Masrekah reigned in his stead.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 48] And Samlah died; and Saul of Rehoboth on the river reigned in his stead.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 49] And Saul died; and Baal-hanan the son of Achbor reigned in his stead.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 50] And Baal-hanan died; and Hadad reigned in his stead: and the name of his city was Pai; and his wife's name was Mehetabel the daughter of Matred, daughter of Mezahab.
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 51] And Hadad died. And the chiefs of Edom were: chief Timna, chief Aliah, chief Jetheth,
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 52] chief Oholibamah, chief Elah, chief Pinon,
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 53] chief Kenaz, chief Teman, chief Mibzar,
[DARBY | EN | OT | 1 Chronicles | Chapter 1 | Verse 54] chief Magdiel, chief Iram. These were the chiefs of Edom.
