[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 1] And the divisions of the sons of Aaron: the sons of Aaron, Nadab and Abihu, Eleazar and Ithamar.
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 2] And Nadab and Abihu died before their father, and had no children; and Eleazar and Ithamar exercised the priesthood.
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 3] And David distributed them, both Zadok of the sons of Eleazar, and Ahimelech of the sons of Ithamar, according to their office in their service.
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 4] And there were more head-men found of the sons of Eleazar than of the sons of Ithamar, and [thus] were they divided: of the sons of Eleazar there were sixteen heads of fathers' houses, and eight of the sons of Ithamar according to their fathers' houses.
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 5] And they were divided by lot, one with another; for the princes of the sanctuary and the princes of God were of the sons of Eleazar and of the sons of Ithamar.
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 6] And Shemaiah the son of Nethaneel the scribe, [one] of the Levites, inscribed them before the king, and the princes, and Zadok the priest, and Ahimelech the son of Abiathar, and the chief fathers of the priests and Levites: one father's house was drawn for Eleazar, and one drawn for Ithamar.
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 7] And the first lot came forth for Jehoiarib, the second for Jedaiah,
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 8] the third for Harim, the fourth for Seorim,
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 9] the fifth for Malchijah, the sixth for Mijamin,
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 10] the seventh for Hakkoz, the eighth for Abijah,
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 11] the ninth for Jeshuah, the tenth for Shecaniah,
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 12] the eleventh for Eliashib, the twelfth for Jakim,
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 13] the thirteenth for Huppah, the fourteenth for Jeshebeab,
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 14] the fifteenth for Bilgah, the sixteenth for Immer,
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 15] the seventeenth for Hezir, the eighteenth for Happizez,
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 16] the nineteenth for Pethahiah, the twentieth for Ezekiel,
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 17] the twenty-first for Jachin, the twenty-second for Gamul,
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 18] the twenty-third for Delaiah, the twenty-fourth for Maaziah.
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 19] This is their ordering in their service to come into the house of Jehovah, according to their ordinance, through Aaron their father, as Jehovah the God of Israel had commanded him.
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 20] And as for the rest of the sons of Levi: of the sons of Amram, Shubael; of the sons of Shubael, Jehdeiah.
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 21] Of Rehabiah, of the sons of Rehabiah, the head was Jishijah.
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 22] Of the Jizharites, Shelomoth; of the sons of Shelomoth, Jahath.
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 23] — And the sons [of Hebron]: Jerijah [the head], Amariah the second, Jahaziel the third, Jekameam the fourth.
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 24] The sons of Uzziel, Micah; of the sons of Micah, Shamir;
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 25] the brother of Micah was Jishijah; of the sons of Jishijah, Zechariah.
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 26] The sons of Merari: Mahli and Mushi; the sons of Jaaziah, his son.
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 27] The sons of Merari by Jaaziah his son: Shoham, and Zaccur, and Ibri.
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 28] Of Mahli: Eleazar, who had no sons.
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 29] Of Kish, the sons of Kish: Jerahmeel.
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 30] And the sons of Mushi: Mahli, and Eder, and Jerimoth. These were the sons of the Levites according to their fathers' houses.
[DARBY | EN | OT | 1 Chronicles | Chapter 24 | Verse 31] These likewise cast lots just as their brethren the sons of Aaron before David the king, and Zadok, and Ahimelech, and the chief fathers of the priests and Levites, — the chief fathers just as the youngest of their brethren.
