[DARBY | EN | OT | 1 Chronicles | Chapter 14 | Verse 1] And Hiram king of Tyre sent messengers to David, and timber of cedars, with masons and carpenters, to build him a house.
[DARBY | EN | OT | 1 Chronicles | Chapter 14 | Verse 2] And David perceived that Jehovah had established him king over Israel, for his kingdom was highly exalted, because of his people Israel.
[DARBY | EN | OT | 1 Chronicles | Chapter 14 | Verse 3] And David took more wives at Jerusalem: and David begot more sons and daughters.
[DARBY | EN | OT | 1 Chronicles | Chapter 14 | Verse 4] And these are the names of the children which he had in Jerusalem: Shammua, and Shobab, Nathan, and Solomon,
[DARBY | EN | OT | 1 Chronicles | Chapter 14 | Verse 5] and Ibhar, and Elishua, and Elpelet,
[DARBY | EN | OT | 1 Chronicles | Chapter 14 | Verse 6] and Nogah, and Nepheg, and Japhia,
[DARBY | EN | OT | 1 Chronicles | Chapter 14 | Verse 7] and Elishama, and Beeliada, and Eliphelet.
[DARBY | EN | OT | 1 Chronicles | Chapter 14 | Verse 8] And the Philistines heard that David was anointed king over all Israel, and all the Philistines went up to seek David; and David heard [of it], and went out against them.
[DARBY | EN | OT | 1 Chronicles | Chapter 14 | Verse 9] And the Philistines came and spread themselves in the valley of Rephaim.
[DARBY | EN | OT | 1 Chronicles | Chapter 14 | Verse 10] And David inquired of God saying, Shall I go up against the Philistines, and wilt thou give them into my hand? And Jehovah said to him, Go up; and I will give them into thy hand.
[DARBY | EN | OT | 1 Chronicles | Chapter 14 | Verse 11] And they came up to Baal-perazim, and David smote them there; and David said, God has broken in upon mine enemies by my hand, as the breaking forth of waters. Therefore they called the name of that place Baal-perazim.
[DARBY | EN | OT | 1 Chronicles | Chapter 14 | Verse 12] And they left their gods there; and David commanded, and they were burned with fire.
[DARBY | EN | OT | 1 Chronicles | Chapter 14 | Verse 13] And the Philistines yet again spread themselves in the valley.
[DARBY | EN | OT | 1 Chronicles | Chapter 14 | Verse 14] And David inquired again of God; and God said to him, Go not up after them; turn round them and come upon them opposite the mulberry-trees.
[DARBY | EN | OT | 1 Chronicles | Chapter 14 | Verse 15] And it shall be, when thou hearest the sound of marching in the tops of the mulberry-trees, that then thou shalt go out to battle; for God will have gone forth before thee to smite the army of the Philistines.
[DARBY | EN | OT | 1 Chronicles | Chapter 14 | Verse 16] And David did as God commanded him; and they smote the army of the Philistines from Gibeon even to Gezer.
[DARBY | EN | OT | 1 Chronicles | Chapter 14 | Verse 17] And the fame of David went out into all lands; and Jehovah brought the fear of him upon all the nations.
