[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 1] And all Israel assembled themselves to David to Hebron, saying, Behold, we are thy bone and thy flesh.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 2] Even aforetime, even when Saul was king, thou wast he that leddest out and broughtest in Israel; and Jehovah thy God said to thee, Thou shalt feed my people Israel, and thou shalt be prince over my people Israel.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 3] And all the elders of Israel came to the king to Hebron; and David made a covenant with them in Hebron before Jehovah; and they anointed David king over Israel according to the word of Jehovah through Samuel.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 4] And David and all Israel went to Jerusalem, which is Jebus; where the Jebusites were, the inhabitants of the land.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 5] And the inhabitants of Jebus said to David, Thou shalt not come in hither. But David took the stronghold of Zion, which is the city of David.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 6] And David said, Whoever smites the Jebusites first shall be chief and captain. And Joab the son of Zeruiah went first up, and was chief.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 7] And David dwelt in the stronghold; therefore they called it the city of David.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 8] And he built the city round about, even from the Millo round about; and Joab renewed the rest of the city.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 9] And David became continually greater; and Jehovah of hosts was with him.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 10] And these are the chief of the mighty men whom David had, who shewed themselves valiant with him in his kingdom, with all Israel, to make him king, according to the word of Jehovah concerning Israel.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 11] And this is the number of the mighty men whom David had: Jashobeam, the son of Hachmoni, the chief of the captains; he brandished his spear against three hundred, slain [by him] at one time.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 12] And after him, Eleazar the son of Dodo, the Ahohite; he was one of the three mighty men.
[DARBY | EN | OT | 1 Chronicles | Chapter 11 | Verse 13] He was with David at Pas-dammim, where the Philistines were gathered together to battle; and there was [there] a plot of ground full of barley; and the people had fled from before the Philistines.
