[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 1] And the sons of Issachar were Tola and Puah, Jashub and Shimron, four.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 2] And the sons of Tola: Uzzi, and Rephaiah, and Jeriel, and Jahmai, and Jibsam, and Samuel, heads of their fathers' houses, of Tola, valiant men of might in their generations; their number in the days of David was twenty-two thousand six hundred.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 3] And the sons of Uzzi: Jizrahiah; and the sons of Jizrahiah: Michael, and Obadiah, and Joel, [and] Jishijah, five; all of them chief men.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 4] And with them by their generations, according to their fathers' houses, were military bands for war, thirty-six thousand; for they had many wives and sons.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 5] And their brethren among all the families of Issachar valiant men of might, registered by genealogy, in all eighty-seven thousand.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 6] [The sons of] Benjamin: Bela, and Becher, and Jediael, three.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 7] And the sons of Bela: Ezbon, and Uzzi, and Uzziel, and Jerimoth, and Iri, five; heads of fathers' houses, mighty men of valour; and they were registered by their genealogy twenty-two thousand and thirty-four.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 8] And the sons of Becher: Zemirah, and Joash, and Eliezer, and Elioenai, and Omri, and Jeremoth, and Abijah, and Anathoth, and Alemeth; all these were the sons of Becher.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 9] And they were registered by their genealogy by their generations, heads of their fathers' houses, mighty men of valour, twenty thousand two hundred.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 10] And the sons of Jediael: Bilhan; and the sons of Bilhan: Jeush, and Benjamin, and Ehud, and Chenaanah, and Zethan, and Tarshish, and Ahishahar.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 11] All these were the sons of Jediael, by the heads of their fathers, mighty men of valour, seventeen thousand two hundred, fit for service for war.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 12] And Shuppim, and Huppim, the children of Ir. — Hushim: the sons of Aher.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 13] The sons of Naphtali: Jahziel, and Guni, and Jezer, and Shallum, the sons of Bilhah.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 14] The sons of Manasseh: Asriel, ...whom she bore; his Syrian concubine bore Machir the father of Gilead.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 15] And Machir took a wife [the sister] of Huppim and Shuppim, and the name of their sister was Maachah. And the name of the second [son] was Zelophehad; and Zelophehad had daughters.
[DARBY | EN | OT | 1 Chronicles | Chapter 7 | Verse 16] And Maachah the wife of Machir bore a son, and she called his name Peresh; and the name of his brother was Sheresh; and his sons were Ulam and Rakem.
