[DARBY | EN | OT | 1 Chronicles | Chapter 13 | Verse 1] And David consulted with the captains of thousands and hundreds, with every prince.
[DARBY | EN | OT | 1 Chronicles | Chapter 13 | Verse 2] And David said to all the congregation of Israel, If it seem good to you, and it be of Jehovah our God, let us send abroad to our brethren everywhere, that are left in all the lands of Israel, and with them to the priests and Levites in their cities and suburbs, that they may gather themselves to us;
[DARBY | EN | OT | 1 Chronicles | Chapter 13 | Verse 3] and let us bring again the ark of our God to us; for we inquired not of it in the days of Saul.
[DARBY | EN | OT | 1 Chronicles | Chapter 13 | Verse 4] And all the congregation said that they should do so; for the thing was right in the eyes of all the people.
[DARBY | EN | OT | 1 Chronicles | Chapter 13 | Verse 5] And David assembled all Israel from the Shihor of Egypt unto the entrance of Hamath, to bring the ark of God from Kirjath-jearim.
[DARBY | EN | OT | 1 Chronicles | Chapter 13 | Verse 6] And David went up, and all Israel, to Baalah, to Kirjath-jearim, which belonged to Judah, to bring up from thence the ark of God, of Jehovah, who sitteth between the cherubim, whose name is placed [there].
[DARBY | EN | OT | 1 Chronicles | Chapter 13 | Verse 7] And they carried the ark of God on a new cart out of the house of Abinadab; and Uzza and Ahio drove the cart.
[DARBY | EN | OT | 1 Chronicles | Chapter 13 | Verse 8] And David and all Israel played before God with all their might, and with singing, and with harps, and with lutes, and with tambours, and with cymbals, and with trumpets.
[DARBY | EN | OT | 1 Chronicles | Chapter 13 | Verse 9] And when they came to the threshing-floor of Chidon, Uzza put forth his hand to hold the ark; for the oxen had stumbled.
[DARBY | EN | OT | 1 Chronicles | Chapter 13 | Verse 10] And the anger of Jehovah was kindled against Uzza, and he smote him, because he had put forth his hand to the ark; and there he died before God.
[DARBY | EN | OT | 1 Chronicles | Chapter 13 | Verse 11] And David was indignant; for Jehovah had made a breach upon Uzza; and he called that place Perez-Uzza to this day.
[DARBY | EN | OT | 1 Chronicles | Chapter 13 | Verse 12] And David was afraid of God that day, saying, How shall I bring the ark of God to me?
[DARBY | EN | OT | 1 Chronicles | Chapter 13 | Verse 13] And David brought not the ark home unto himself into the city of David, but he carried it aside into the house of Obed-Edom the Gittite.
[DARBY | EN | OT | 1 Chronicles | Chapter 13 | Verse 14] And the ark of God remained with the family of Obed-Edom in his house three months. And Jehovah blessed the house of Obed-Edom, and all that he had.
