[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 1] And Benjamin begot Bela his firstborn, Ashbel the second, and Aharah the third,
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 2] Nohah the fourth, and Rapha the fifth.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 3] And Bela had sons: Addar, and Gera, and Abihud,
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 4] and Abishua, and Naaman, and Ahoah,
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 5] and Gera, and Shephuphan, and Huram.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 6] — And these are the sons of Ehud (these were the chief fathers of the inhabitants of Geba; and they carried them away to Manahath;
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 7] even Naaman, and Ahijah, and Gera; he removed them), and he begot Uzza and Ahihud.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 8] And Shaharaim begot [children] in the land of Moab after he had sent away Hushim and Baara his wives.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 9] And he begot of Hodesh his wife: Jobab, and Zibia, and Mesha, and Malcham,
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 10] and Jeuz, and Shobia, and Mirmah; these were his sons, chief fathers.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 11] And of Hushim he begot Abitub, and Elpaal.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 12] And the sons of Elpaal: Eber, and Misham, and Shemer, who built Ono, and Lod and its dependent villages;
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 13] and Beriah, and Shema, who were chief fathers of the inhabitants of Ajalon; they drove away the inhabitants of Gath.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 14] And Ahio, Shashak, and Jeremoth,
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 15] and Zebadiah, and Arad, and Eder,
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 16] and Michael, and Jishpah, and Joha were the sons of Beriah.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 17] And Zebadiah, and Meshullam, and Hiski, and Heber,
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 18] and Jishmerai, and Jizliah, and Jobab were the sons of Elpaal.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 19] And Jakim, and Zichri, and Zabdi,
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 20] and Elienai, and Zilthai, and Eliel,
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 21] and Adaiah, and Beraiah, and Shimrath were the sons of Shimei.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 22] And Jishpah, and Eber, and Eliel,
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 23] and Abdon, and Zichri, and Hanan,
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 24] and Hananiah, and Elam, and Antothijah,
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 25] and Jiphdeiah, and Penuel were the sons of Shashak.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 26] And Shamsherai, and Shehariah, and Athaliah,
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 27] and Jaareshiah, and Elijah, and Zichri were the sons of Jeroham.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 28] These were the chief fathers, according to their generations, principal men; these dwelt in Jerusalem.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 29] And at Gibeon dwelt the father of Gibeon; and his wife's name was Maachah.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 30] And his son, the firstborn, was Abdon; and Zur, and Kish, and Baal, and Nadab,
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 31] and Gedor, and Ahio, and Zecher.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 32] And Mikloth begot Shimeah. And these also dwelt beside their brethren in Jerusalem, with their brethren.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 33] And Ner begot Kish; and Kish begot Saul; and Saul begot Jonathan, and Malchishua, and Abinadab, and Esh-baal.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 34] And the son of Jonathan was Merib-Baal; and Merib-Baal begot Micah.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 35] And the sons of Micah: Pithon, and Melech, and Tarea, and Ahaz.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 36] And Ahaz begot Jehoaddah; and Jehoaddah begot Alemeth, and Azmaveth, and Zimri; and Zimri begot Moza;
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 37] and Moza begot Binea: Rapha was his son, Eleasah his son, Azel his son.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 38] And Azel had six sons, and these are their names: Azrikam, Bochru, and Ishmael, and Sheariah, and Obadiah, and Hanan; all these were sons of Azel.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 39] And the sons of Eshek his brother were Ulam his firstborn, Jeush the second, and Eliphelet the third.
[DARBY | EN | OT | 1 Chronicles | Chapter 8 | Verse 40] And the sons of Ulam were mighty men of valour, archers; and they had many sons, and sons' sons, a hundred and fifty. All these were of the sons of Benjamin.
