[DARBY | EN | OT | 1 Chronicles | Chapter 6 | Verse 1] The sons of Levi: Gershom, Kohath, and Merari.
[DARBY | EN | OT | 1 Chronicles | Chapter 6 | Verse 2] And the sons of Kohath: Amram, Jizhar, and Hebron, and Uzziel.
[DARBY | EN | OT | 1 Chronicles | Chapter 6 | Verse 3] And the children of Amram: Aaron, and Moses, and Miriam. And the sons of Aaron: Nadab and Abihu, Eleazar and Ithamar.
[DARBY | EN | OT | 1 Chronicles | Chapter 6 | Verse 4] Eleazar begot Phinehas; Phinehas begot Abishua,
[DARBY | EN | OT | 1 Chronicles | Chapter 6 | Verse 5] and Abishua begot Bukki, and Bukki begot Uzzi,
[DARBY | EN | OT | 1 Chronicles | Chapter 6 | Verse 6] and Uzzi begot Zerahiah, and Zerahiah begot Meraioth;
[DARBY | EN | OT | 1 Chronicles | Chapter 6 | Verse 7] Meraioth begot Amariah, and Amariah begot Ahitub,
[DARBY | EN | OT | 1 Chronicles | Chapter 6 | Verse 8] and Ahitub begot Zadok, and Zadok begot Ahimaaz,
[DARBY | EN | OT | 1 Chronicles | Chapter 6 | Verse 9] and Ahimaaz begot Azariah, and Azariah begot Johanan,
[DARBY | EN | OT | 1 Chronicles | Chapter 6 | Verse 10] and Johanan begot Azariah (he is it that exercised the priesthood in the house that Solomon built in Jerusalem);
[DARBY | EN | OT | 1 Chronicles | Chapter 6 | Verse 11] and Azariah begot Amariah, and Amariah begot Ahitub,
[DARBY | EN | OT | 1 Chronicles | Chapter 6 | Verse 12] and Ahitub begot Zadok, and Zadok begot Shallum,
[DARBY | EN | OT | 1 Chronicles | Chapter 6 | Verse 13] and Shallum begot Hilkijah, and Hilkijah begot Azariah,
[DARBY | EN | OT | 1 Chronicles | Chapter 6 | Verse 14] and Azariah begot Seraiah, and Seraiah begot Jehozadak,
[DARBY | EN | OT | 1 Chronicles | Chapter 6 | Verse 15] and Jehozadak went away, when Jehovah carried away Judah and Jerusalem by the hand of Nebuchadnezzar.
