[IRV | TA | OT | Proverbs | Chapter 16 | Verse 1] மனதின் யோசனைகள் மனிதனுடையது; நாவின் பதில் யெகோவாவால் வரும்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 2] மனிதனுடைய வழிகளெல்லாம் அவனுடைய பார்வைக்குச் சுத்தமானவைகள்; யெகோவாவோ ஆவிகளை நிறுத்துப்பார்க்கிறார்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 3] உன்னுடைய செயல்களைக் யெகோவாவுக்கு ஒப்புவி; அப்பொழுது உன்னுடைய யோசனைகள் உறுதிப்படும்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 4] யெகோவா எல்லாவற்றையும் தமக்கென்று படைத்தார்; தீங்குநாளுக்காகத் துன்மார்க்கனையும் உண்டாக்கினார்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 5] மனமேட்டிமையுள்ளவன் எவனும் யெகோவாவுக்கு அருவருப்பானவன்; கையோடு கைகோர்த்தாலும் அவன் தண்டனைக்குத் தப்பமாட்டான்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 6] கிருபையினாலும், சத்தியத்தினாலும் பாவம் நிவிர்த்தியாகும்; யெகோவாவுக்குப் பயப்படுகிறதினால் மனிதர்கள் தீமையைவிட்டு விலகுவார்கள்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 7] ஒருவனுடைய வழிகள் யெகோவாவுக்குப் பிரியமாக இருந்தால், அவனுடைய எதிரிகளும் சமாதானமாகும்படிச் செய்வார்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 8] அநியாயமாக வந்த அதிக வருமானத்தைவிட, நியாயமாக வந்த கொஞ்ச வருமானமே நல்லது.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 9] மனிதனுடைய இருதயம் அவனுடைய வழியை யோசிக்கும்; அவனுடைய நடைகளை உறுதிப்படுத்துகிறவரோ யெகோவா.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 10] ராஜாவின் உதடுகளில் இனிய வார்த்தை பிறக்கும்; நியாயத்தில் அவனுடைய வாய் தவறாது.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 11] நியாயமான நிறைகோலும் தராசும் யெகோவாவுடையது; பையிலிருக்கும் நிறைகல்லெல்லாம் அவருடைய செயல்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 12] அநியாயம்செய்வது ராஜாக்களுக்கு அருவருப்பு; நீதியினால் சிங்காசனம் உறுதிப்படும்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 13] நீதியுள்ள உதடுகள் ராஜாக்களுக்குப் பிரியம்; நிதானமாகப் பேசுகிறவன்மேல் ராஜாக்கள் பிரியப்படுவார்கள்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 14] ராஜாவின் கோபம் மரணதூதர்களுக்குச் சமம்; ஞானமுள்ளவனோ அதை ஆற்றுவான்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 15] ராஜாவின் முகக்களையில் வாழ்வு உண்டு; அவனுடைய தயவு பின்மாரிபெய்யும் மேகத்தைப்போல் இருக்கும்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 16] பொன்னைச் சம்பாதிப்பதைவிட ஞானத்தைச் சம்பாதிப்பது எவ்வளவு நல்லது! வெள்ளியை சம்பாதிப்பதைவிட புத்தியைச் சம்பாதிப்பது எவ்வளவு மேன்மை
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 17] தீமையை விட்டு விலகுவதே செம்மையானவர்களுக்குச் சமனான பாதை; தன்னுடைய நடையைக் கவனித்திருக்கிறவன் தன்னுடைய ஆத்துமாவைக் காக்கிறான்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 18] அழிவுக்கு முன்னானது அகந்தை; விழுதலுக்கு முன்னானது மனமேட்டிமை.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 19] அகங்காரிகளோடு கொள்ளைப்பொருளைப் பங்கிடுவதைவிட, சிறுமையானவர்களோடு மனத்தாழ்மையாக இருப்பது நலம்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 20] விவேகத்துடன் காரியத்தை நடப்பிக்கிறவன் நன்மை பெறுவான்; யெகோவாவை நம்புகிறவன் பாக்கியவான்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 21] இருதயத்தில் ஞானமுள்ளவன் விவேகி எனப்படுவான்; உதடுகளின் இனிமை கல்வியைப் பெருகச்செய்யும்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 22] புத்தி தன்னை உடையவர்களுக்கு ஜீவஊற்று; மதியீனர்களின் போதனை மதியீனமே.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 23] ஞானியின் இருதயம் அவனுடைய வாய்க்கு அறிவை ஊட்டும்; அவனுடைய உதடுகளுக்கு அது மேன்மேலும் கல்வியைக் கொடுக்கும்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 24] இனிய சொற்கள் தேன்கூடுபோல் ஆத்துமாவுக்கு இன்பமும், எலும்புகளுக்கு மருந்தாகும்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 25] மனிதனுக்குச் செம்மையாகத் தோன்றுகிற வழியுண்டு; அதின் முடிவோ மரண வழிகள்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 26] உழைக்கிறவன் தனக்காகவே உழைக்கிறான்; அவனுடைய வாய் அதை அவனிடத்தில் வருந்திக் கேட்கும்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 27] வீணான மகன் கிண்டிவிடுகிறான்; அவனுடைய உதடுகளில் இருப்பது எரிகிற அக்கினிபோன்றது.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 28] மாறுபாடுள்ளவன் சண்டையைக் கிளப்பிவிடுகிறான்; கோள் சொல்லுகிறவன் உயிர் நண்பனையும் பிரித்துவிடுகிறான்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 29] கொடுமையானவன் தன்னுடைய அயலானுக்கு நயங்காட்டி, அவனை நலமல்லாத வழியிலே நடக்கச்செய்கிறான்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 30] அவனுடைய மாறுபாடானவைகளை யோசிக்கும்படி தன்னுடைய கண்களை மூடி, தீமையைச் செய்யும்படி தன்னுடைய உதடுகளைக் கடிக்கிறான்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 31] நீதியின் வழியில் உண்டாகும் நரை முடியானது மகிமையான கிரீடம்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 32] பலவானைவிட நீடிய சாந்தமுள்ளவன் உத்தமன்; பட்டணத்தைப் பிடிக்கிறவனைவிட தன்னுடைய மனதை அடக்குகிறவன் உத்தமன்.
[IRV | TA | OT | Proverbs | Chapter 16 | Verse 33] சீட்டு மடியிலே போடப்படும்; காரியத்தின் முடிவோ யெகோவாவால் வரும்.
