[IRV | PA | OT | Judges | Chapter 2 | Verse 1] ਤਦ ਯਹੋਵਾਹ ਦਾ ਦੂਤ ਗਿਲਗਾਲ ਤੋਂ ਬੋਕੀਮ ਨੂੰ ਆਇਆ ਅਤੇ ਕਹਿਣ ਲੱਗਾ, “ਮੈਂ ਤੁਹਾਨੂੰ ਮਿਸਰ ਤੋਂ ਕੱਢ ਲਿਆਇਆ ਅਤੇ ਤੁਹਾਨੂੰ ਇਸ ਦੇਸ਼ ਵਿੱਚ ਜਿਸ ਦੀ ਮੈਂ ਤੁਹਾਡੇ ਪੁਰਖਿਆਂ ਨਾਲ ਸਹੁੰ ਖਾਧੀ ਸੀ, ਲੈ ਆਇਆ ਅਤੇ ਮੈਂ ਕਿਹਾ ਕਿ ਮੈਂ ਤੁਹਾਡੇ ਨਾਲ ਆਪਣਾ ਨੇਮ ਕਦੇ ਨਾ ਤੋੜਾਂਗਾ।
[IRV | PA | OT | Judges | Chapter 2 | Verse 2] ਪਰ ਤੁਸੀਂ ਇਸ ਦੇਸ਼ ਦੇ ਵਾਸੀਆਂ ਨਾਲ ਨੇਮ ਨਾ ਬੰਨ੍ਹਿਓ ਸਗੋਂ ਤੁਸੀਂ ਉਹਨਾਂ ਦੀਆਂ ਜਗਵੇਦੀਆਂ ਨੂੰ ਢਾਹ ਸੁੱਟਿਓ, ਪਰ ਤੁਸੀਂ ਮੇਰਾ ਹੁਕਮ ਨਾ ਮੰਨਿਆ, ਤੁਸੀਂ ਅਜਿਹਾ ਕਿਉਂ ਕੀਤਾ?
[IRV | PA | OT | Judges | Chapter 2 | Verse 3] ਇਸ ਲਈ ਮੈਂ ਵੀ ਕਹਿੰਦਾ ਹਾਂ, ਮੈਂ ਉਹਨਾਂ ਨੂੰ ਤੁਹਾਡੇ ਅੱਗੋਂ ਨਾ ਕੱਢਾਂਗਾ, ਸਗੋਂ ਉਹ ਤੁਹਾਡੀਆਂ ਵੱਖੀਆਂ ਵਿੱਚ ਕੰਡਿਆਂ ਵਰਗੇ ਅਤੇ ਉਹਨਾਂ ਦੇ ਦੇਵਤੇ ਤੁਹਾਡੇ ਲਈ ਫਾਹੀ ਹੋਣਗੇ।”
[IRV | PA | OT | Judges | Chapter 2 | Verse 4] ਜਦ ਯਹੋਵਾਹ ਦੇ ਦੂਤ ਨੇ ਇਹ ਗੱਲਾਂ ਸਾਰੇ ਇਸਰਾਏਲੀਆਂ ਨੂੰ ਆਖੀਆਂ ਤਾਂ ਉਹ ਸਾਰੇ ਲੋਕ ਉੱਚੀ-ਉੱਚੀ ਰੋਣ ਲੱਗ ਪਏ।
[IRV | PA | OT | Judges | Chapter 2 | Verse 5] ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਉਸ ਸਥਾਨ ਦਾ ਨਾਮ ਬੋਕੀਮ ਰੱਖਿਆ ਅਤੇ ਉੱਥੇ ਉਨ੍ਹਾਂ ਨੇ ਯਹੋਵਾਹ ਦੇ ਲਈ ਬਲੀਆਂ ਚੜ੍ਹਾਈਆਂ।
[IRV | PA | OT | Judges | Chapter 2 | Verse 6] ਜਿਸ ਵੇਲੇ ਯਹੋਸ਼ੁਆ ਨੇ ਲੋਕਾਂ ਨੂੰ ਵਿਦਿਆ ਕੀਤਾ, ਤਾਂ ਸਾਰੇ ਇਸਰਾਏਲੀ ਆਪੋ ਆਪਣੇ ਹਿੱਸੇ ਵਿੱਚ ਚਲੇ ਗਏ ਤਾਂ ਜੋ ਉਸ ਦੇਸ਼ ਨੂੰ ਆਪਣੇ ਵੱਸ ਵਿੱਚ ਕਰ ਲੈਣ।
[IRV | PA | OT | Judges | Chapter 2 | Verse 7] ਅਤੇ ਉਹ ਲੋਕ ਯਹੋਸ਼ੁਆ ਦੇ ਜੀਵਨ ਭਰ ਅਤੇ ਜਦ ਤੱਕ ਉਹ ਬਜ਼ੁਰਗ ਜੀਉਂਦੇ ਰਹੇ ਜਿਹੜੇ ਯਹੋਸ਼ੁਆ ਦੇ ਮਰਨ ਤੋਂ ਬਾਅਦ ਸਨ, ਅਤੇ ਜਿਨ੍ਹਾਂ ਨੇ ਯਹੋਵਾਹ ਦੇ ਸਾਰੇ ਵੱਡੇ ਕੰਮਾਂ ਨੂੰ ਵੇਖਿਆ ਸੀ ਜੋ ਉਸ ਨੇ ਇਸਰਾਏਲ ਦੇ ਲਈ ਕੀਤੇ ਸਨ, ਤਦ ਤੱਕ ਉਹ ਯਹੋਵਾਹ ਦੀ ਉਪਾਸਨਾ ਕਰਦੇ ਰਹੇ।
[IRV | PA | OT | Judges | Chapter 2 | Verse 8] ਤਦ ਯਹੋਵਾਹ ਦਾ ਦਾਸ ਨੂਨ ਦਾ ਪੁੱਤਰ ਯਹੋਸ਼ੁਆ ਇੱਕ ਸੌ ਦਸ ਸਾਲ ਦਾ ਹੋ ਕੇ ਮਰ ਗਿਆ।
[IRV | PA | OT | Judges | Chapter 2 | Verse 9] ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਉਸ ਦੇ ਹਿੱਸੇ ਦੀ ਜ਼ਮੀਨ ਤਿਮਨਥ-ਹਰਸ ਵਿੱਚ ਜੋ ਇਫ਼ਰਾਈਮ ਦੇ ਪਹਾੜੀ ਦੇਸ਼ ਵਿੱਚ ਗਾਸ਼ ਨਾਮਕ ਪਰਬਤ ਦੇ ਉੱਤਰ ਵੱਲ ਹੈ, ਉਸ ਨੂੰ ਦੱਬ ਦਿੱਤਾ।
[IRV | PA | OT | Judges | Chapter 2 | Verse 10] ਸੋ ਉਸ ਪੀੜ੍ਹੀ ਦੇ ਸਾਰੇ ਲੋਕ ਆਪਣੇ ਪੁਰਖਿਆਂ ਨਾਲ ਜਾ ਰਲੇ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਬਾਅਦ ਇੱਕ ਹੋਰ ਪੀੜ੍ਹੀ ਉੱਠੀ, ਜੋ ਨਾ ਤਾਂ ਯਹੋਵਾਹ ਨੂੰ ਜਾਣਦੀ ਸੀ ਅਤੇ ਨਾ ਹੀ ਉਨ੍ਹਾਂ ਕੰਮਾਂ ਨੂੰ ਜੋ ਉਸ ਨੇ ਇਸਰਾਏਲ ਦੇ ਲਈ ਕੀਤੇ ਸਨ।
[IRV | PA | OT | Judges | Chapter 2 | Verse 11] ਤਦ ਇਸਰਾਏਲੀਆਂ ਨੇ ਯਹੋਵਾਹ ਦੇ ਅੱਗੇ ਬੁਰਿਆਈ ਕੀਤੀ ਅਤੇ ਬਆਲ ਦੇਵਤਿਆਂ ਦੀ ਪੂਜਾ ਕਰਨ ਲੱਗੇ।
