[IRV | PA | OT | Judges | Chapter 19 | Verse 1] ਉਨ੍ਹਾਂ ਦਿਨਾਂ ਵਿੱਚ ਜਦ ਇਸਰਾਏਲੀਆਂ ਦਾ ਕੋਈ ਰਾਜਾ ਨਹੀਂ ਸੀ ਤਾਂ ਅਜਿਹਾ ਹੋਇਆ ਕਿ ਇੱਕ ਲੇਵੀ ਮਨੁੱਖ ਜਿਹੜਾ ਇਫ਼ਰਾਈਮ ਦੇ ਪਹਾੜੀ ਦੇਸ਼ ਦੇ ਦੂਸਰੇ ਪਾਸੇ ਰਹਿੰਦਾ ਸੀ, ਬੈਤਲਹਮ ਯਹੂਦਾਹ ਤੋਂ ਆਪਣੇ ਲਈ ਇੱਕ ਰਖ਼ੈਲ ਨੂੰ ਰੱਖ ਲਿਆ।
[IRV | PA | OT | Judges | Chapter 19 | Verse 2] ਉਸ ਦੀ ਰਖ਼ੈਲ ਵਿਭਚਾਰ ਕਰਕੇ ਉਸ ਦੇ ਕੋਲੋਂ ਬੈਤਲਹਮ ਯਹੂਦਾਹ ਵਿੱਚ ਆਪਣੇ ਪਿਤਾ ਦੇ ਘਰ ਚਲੀ ਗਈ, ਅਤੇ ਚਾਰ ਮਹੀਨੇ ਉੱਥੇ ਰਹੀ।
[IRV | PA | OT | Judges | Chapter 19 | Verse 3] ਤਦ ਉਸ ਦਾ ਪਤੀ ਉੱਠਿਆ ਅਤੇ ਆਪਣੇ ਨਾਲ ਇੱਕ ਸੇਵਕ ਅਤੇ ਦੋ ਗਧੇ ਲੈ ਕੇ ਗਿਆ ਤਾਂ ਜੋ ਉਸ ਨੂੰ ਸਮਝਾ ਕੇ ਵਾਪਿਸ ਮੋੜ ਲਿਆਵੇ। ਉਹ ਉਸ ਨੂੰ ਆਪਣੇ ਪਿਤਾ ਦੇ ਘਰ ਲੈ ਕੇ ਗਈ ਅਤੇ ਜਦੋਂ ਉਸ ਜਵਾਨ ਇਸਤਰੀ ਦੇ ਪਿਤਾ ਨੇ ਉਸ ਨੂੰ ਵੇਖਿਆ ਤਾਂ ਉਸ ਨੂੰ ਮਿਲ ਕੇ ਅਨੰਦ ਹੋਇਆ।
[IRV | PA | OT | Judges | Chapter 19 | Verse 4] ਤਦ ਉਸ ਦੇ ਸਹੁਰੇ ਅਰਥਾਤ ਇਸਤਰੀ ਦੇ ਪਿਤਾ ਨੇ ਉਸ ਨੂੰ ਰੋਕ ਲਿਆ ਅਤੇ ਉਹ ਤਿੰਨ ਦਿਨ ਤੱਕ ਉਸ ਦੇ ਨਾਲ ਰਿਹਾ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਖਾਧਾ ਪੀਤਾ ਅਤੇ ਉੱਥੇ ਟਿਕੇ ਰਹੇ।
[IRV | PA | OT | Judges | Chapter 19 | Verse 5] ਚੌਥੇ ਦਿਨ ਜਦ ਉਹ ਸਵੇਰ ਨੂੰ ਉੱਠੇ ਤਾਂ ਉਹ ਵਾਪਿਸ ਜਾਣ ਲਈ ਉੱਠ ਕੇ ਖੜ੍ਹਾ ਹੋ ਗਿਆ ਤਾਂ ਇਸਤਰੀ ਦੇ ਪਿਤਾ ਨੇ ਆਪਣੇ ਜੁਆਈ ਨੂੰ ਕਿਹਾ, “ਥੋੜ੍ਹੀ ਜਿਹੀ ਰੋਟੀ ਖਾ ਕੇ ਅਨੰਦ ਹੋ ਲੈ, ਫੇਰ ਤੁਸੀਂ ਚਲੇ ਜਾਣਾ।”
[IRV | PA | OT | Judges | Chapter 19 | Verse 6] ਤਦ ਉਹ ਦੋਵੇਂ ਬੈਠ ਗਏ ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਰਲ ਕੇ ਖਾਧਾ ਪੀਤਾ, ਫਿਰ ਇਸਤਰੀ ਦੇ ਪਿਤਾ ਨੇ ਉਸ ਮਨੁੱਖ ਨੂੰ ਕਿਹਾ, “ਇੱਕ ਰਾਤ ਹੋਰ ਇੱਥੇ ਹੀ ਰਹੋ ਅਤੇ ਆਪਣੇ ਮਨ ਨੂੰ ਅਨੰਦ ਕਰੋ।”
[IRV | PA | OT | Judges | Chapter 19 | Verse 7] ਉਹ ਮਨੁੱਖ ਵਿਦਿਆ ਹੋਣ ਲਈ ਉੱਠਿਆ ਪਰ ਉਸ ਦਾ ਸਹੁਰਾ ਉਸ ਨਾਲ ਜਿੱਦ ਕਰ ਬੈਠਾ ਇਸ ਲਈ ਫਿਰ ਉਸ ਨੇ ਰਾਤ ਉੱਥੇ ਹੀ ਕੱਟੀ।
[IRV | PA | OT | Judges | Chapter 19 | Verse 8] ਪੰਜਵੇਂ ਦਿਨ ਸਵੇਰੇ ਹੀ ਉਹ ਵਿਦਿਆ ਹੋਣ ਲਈ ਉੱਠ ਗਿਆ, ਪਰ ਇਸਤਰੀ ਦੇ ਪਿਤਾ ਨੇ ਕਿਹਾ, “ਮੈਂ ਤੇਰੇ ਅੱਗੇ ਬੇਨਤੀ ਕਰਦਾ ਹਾਂ ਜੋ ਤੂੰ ਆਪਣੇ ਮਨ ਨੂੰ ਅਨੰਦ ਕਰ ਅਤੇ ਦਿਨ ਢੱਲਣ ਤੱਕ ਠਹਿਰ ਜਾਓ।” ਤਦ ਉਨ੍ਹਾਂ ਦੋਹਾਂ ਨੇ ਇਕੱਠੇ ਰੋਟੀ ਖਾਧੀ।
[IRV | PA | OT | Judges | Chapter 19 | Verse 9] ਜਦ ਉਹ ਮਨੁੱਖ ਆਪਣੀ ਰਖ਼ੈਲ ਅਤੇ ਸੇਵਕ ਦੇ ਨਾਲ ਵਿਦਿਆ ਹੋਣ ਲਈ ਉੱਠਿਆ ਤਦ ਉਸ ਦੇ ਸਹੁਰੇ ਅਰਥਾਤ ਉਸ ਇਸਤਰੀ ਦੇ ਪਿਤਾ ਨੇ ਉਸ ਨੂੰ ਕਿਹਾ, “ਵੇਖ, ਦਿਨ ਢੱਲਣ ਵਾਲਾ ਹੈ ਅਤੇ ਸ਼ਾਮ ਹੁੰਦੀ ਜਾਂਦੀ ਹੈ, ਮੈਂ ਬੇਨਤੀ ਕਰਦਾ ਹਾਂ ਕਿ ਤੁਸੀਂ ਰਾਤ ਇੱਥੇ ਹੀ ਰਹੋ। ਵੇਖੋ, ਦਿਨ ਢਲਦਾ ਜਾਂਦਾ ਹੈ। ਇਸ ਲਈ ਇੱਥੇ ਹੀ ਰਹੋ ਅਤੇ ਅਨੰਦ ਹੋਵੇ ਅਤੇ ਸਵੇਰੇ ਹੀ ਉੱਠ ਕੇ ਆਪਣੇ ਰਾਹ ਪੈ ਜਾਣਾ ਤਾਂ ਜੋ ਤੂੰ ਆਪਣੇ ਡੇਰੇ ਵੱਲ ਵਿਦਿਆ ਹੋਵੇਂ।”
[IRV | PA | OT | Judges | Chapter 19 | Verse 10] ਪਰ ਉਸ ਰਾਤ ਰਹਿਣ ਲਈ ਉਹ ਮਨੁੱਖ ਰਾਜ਼ੀ ਨਾ ਹੋਇਆ, ਇਸ ਲਈ ਵਿਦਿਆ ਹੋ ਕੇ ਚੱਲ ਪਿਆ ਅਤੇ ਯਬੂਸ ਦੇ ਨੇੜੇ ਜਿਸ ਨੂੰ ਯਰੂਸ਼ਲਮ ਕਹਿੰਦੇ ਹਨ, ਪਹੁੰਚ ਗਿਆ। ਕਾਠੀ ਪਾਏ ਹੋਏ ਦੋਵੇਂ ਗਧੇ ਅਤੇ ਉਸ ਦੀ ਰਖ਼ੈਲ ਵੀ ਉਸ ਦੇ ਨਾਲ ਸੀ।
[IRV | PA | OT | Judges | Chapter 19 | Verse 11] ਜਦ ਉਹ ਯਬੂਸ ਦੇ ਨੇੜੇ ਪਹੁੰਚੇ ਤਾਂ ਦਿਨ ਬਹੁਤ ਹੀ ਢੱਲ ਗਿਆ ਸੀ। ਤਾਂ ਸੇਵਕ ਨੇ ਆਪਣੇ ਸੁਆਮੀ ਨੂੰ ਕਿਹਾ, “ਆਉ ਜੀ, ਅਸੀਂ ਯਬੂਸੀਆਂ ਦੇ ਸ਼ਹਿਰ ਵਿੱਚ ਜਾ ਕੇ ਇੱਥੇ ਰਹੀਏ।”
