[BBE | EN | OT | Hosea | Chapter 13 | Verse 1] When the words of my law came from Ephraim, he was lifted up in Israel; but when he did evil through the Baal, death overtook him.
[BBE | EN | OT | Hosea | Chapter 13 | Verse 2] And now their sins are increased; they have made themselves a metal image, false gods from their silver, after their designs, all of them the work of the metal-workers; they say of them, Let them give offerings, let men give kisses to the oxen.
[BBE | EN | OT | Hosea | Chapter 13 | Verse 3] So they will be like the morning cloud, like the dew which goes early away, like the dust of the grain which the wind is driving out of the crushing-floor, like smoke going up from the fireplace.
[BBE | EN | OT | Hosea | Chapter 13 | Verse 4] But I am the Lord your God, from the land of Egypt; you have knowledge of no other God and there is no saviour but me.
[BBE | EN | OT | Hosea | Chapter 13 | Verse 5] I had knowledge of you in the waste land where no water was.
[BBE | EN | OT | Hosea | Chapter 13 | Verse 6] When I gave them food they were full, and their hearts were full of pride, and they did not keep me in mind.
[BBE | EN | OT | Hosea | Chapter 13 | Verse 7] So I will be like a lion to them; as a cruel beast I will keep watch by the road;
[BBE | EN | OT | Hosea | Chapter 13 | Verse 8] I will come face to face with them like a bear whose young ones have been taken from her, and their inmost hearts will be broken; there the dogs will make a meal of them; they will be wounded by the beasts of the field.
[BBE | EN | OT | Hosea | Chapter 13 | Verse 9] I have sent destruction on you, O Israel; who will be your helper?
[BBE | EN | OT | Hosea | Chapter 13 | Verse 10] Where is your king, that he may be your saviour? and all your rulers, that they may take up your cause? of whom you said, Give me a king and rulers.
[BBE | EN | OT | Hosea | Chapter 13 | Verse 11] I have given you a king, because I was angry, and have taken him away in my wrath.
[BBE | EN | OT | Hosea | Chapter 13 | Verse 12] The wrongdoing of Ephraim is shut up; his sin is put away in secret.
[BBE | EN | OT | Hosea | Chapter 13 | Verse 13] The pains of a woman in childbirth will come on him: he is an unwise son, for at this time it is not right for him to keep his place when children come to birth.
[BBE | EN | OT | Hosea | Chapter 13 | Verse 14] I will give the price to make them free from the power of the underworld, I will be their saviour from death: O death! where are your pains? O underworld! where is your destruction? my eyes will have no pity.
[BBE | EN | OT | Hosea | Chapter 13 | Verse 15] Though he gives fruit among his brothers, an east wind will come, the wind of the Lord coming up from the waste land, and his spring will become dry, his fountain will be without water: it will make waste the store of all the vessels of his desire.
