[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 1] The word of ye Lord came to me againe, saying,
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 2] Sonne of man, set thy face toward Ierusalem, and drop thy word toward the holy places, and prophecie against the land of Israel.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 3] And say to the land of Israel, Thus saith the Lord, Beholde, I come against thee, and will drawe my sword out of his sheath, and cut off from thee both the righteous and the wicked.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 4] Seeing then that I will cut off from thee both the righteous and wicked, therefore shall my sworde goe out of his sheath against all flesh from the South to the North,
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 5] That all flesh may knowe that I the Lord haue drawen my sworde out of his sheath, and it shall not returne any more.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 6] Mourne therefore, thou sonne of man, as in the paine of thy reines, and mourne bitterly before them.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 7] And if they say vnto thee, Wherefore mournest thou? then answere, Because of the bruite: for it commeth, and euery heart shall melt, and all handes shall be weake, and all mindes shall faint, and all knees shall fall away as water: beholde, it commeth, and shall be done, saith the Lord God.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 8] Againe, the word of the Lord came vnto me, saying,
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 9] Sonne of man, prophecie, and say, Thus saith the Lord God, say, A sworde, a sworde both sharpe, and fourbished.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 10] It is sharpened to make a sore slaughter, and it is fourbished that it may glitter: how shall we reioyce? for it contemneth the rod of my sonne, as all other trees.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 11] And he hath giuen it to be fourbished, that he may handle it: this sword is sharpe, and is fourbished, that he may giue it into ye hand of the slayer.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 12] Cry, and houle, sonne of man: for this shall come to my people, and it shall come vnto all the princes of Israel: the terrours of the sword shall be vpon my people: smite therefore vpon thy thigh.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 13] For it is a triall, and what shall this be, if the sworde contemne euen the rodde? It shall be no more, saith the Lord God.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 14] Thou therefore, sonne of man, prophecie, and smite hand to hand, and let the sworde be doubled: let the sworde that hath killed, returne the third time: it is the sword of the great slaughter entring into their priuie chambers.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 15] I haue brought the feare of the sword into all their gates to make their heart to faint, and to multiplie their ruines. Ah it is made bright, and it is dressed for the slaughter.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 16] Get thee alone: goe to the right hande, or get thy selfe to the left hande, whithersoeuer thy face turneth.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 17] I wil also smite mine hands together, and wil cause my wrath to cease. I the Lord haue said it.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 18] The worde of the Lord came vnto mee againe, saying,
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 19] Also thou sonne of man, appoint thee two wayes, that the sworde of the King of Babel may come: both twaine shall come out of one lande, and chuse a place, and chuse it in the corner of the way of the citie.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 20] Appoint a way, that the sworde may come to Rabbath of the Ammonites, and to Iudah in Ierusalem the strong citie.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 21] And the King of Babel stoode at the parting of the way, at the head of the two wayes, consulting by diuination, and made his arrowes bright: hee consulted with idoles, and looked in the liuer.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 22] At his right hand was the diuination for Ierusalem to appoint captaines, to open their mouth in the slaughter, and to lift vp their voyce with shouting, to laye engines of warre against the gates, to cast a mount, and to builde a fortresse.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 23] And it shalbe vnto them as a false diuination in their sight for the othes made vnto them: but hee will call to remembrance their iniquitie, to the intent they should be taken.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 24] Therefore thus sayeth the Lord God, Because ye haue made your iniquitie to bee remembred, in discouering your rebellion, that in al your workes your sinnes might appeare: because, I say, that ye are come to remembrance, ye shall be taken with the hand.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 25] And thou prince of Israel polluted, and wicked, whose day is come, when iniquitie shall haue an ende,
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 26] Thus saith the Lord God, I will take away the diademe, and take off the crowne: this shalbe no more the same: I wil exalt the humble, and will abase him that is hie.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 27] I wil ouerturne, ouerturne, ouerturne it, and it shall be no more vntill he come, whose right it is, and I will giue it him.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 28] And thou, sonne of man, prophecie, and say, Thus saith the Lord God to the children of Ammon, and to their blasphemie: say thou, I say, The sword, the sword is drawen foorth, and fourbished to the slaughter, to consume, because of the glittering:
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 29] Whiles they see vanitie vnto thee, and prophecied a lie vnto thee to bring thee vpon the neckes of the wicked that are slaine, whose day is come when their iniquitie shall haue an ende.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 30] Shall I cause it to returne into his sheath? I will iudge thee in the place where thou wast created, euen in the land of thine habitation.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 31] And I wil powre out mine indignation vpon thee, and will blowe against thee in the fire of my wrath, and deliuer thee into the hand of beastly men, and skilfull to destroy.
[GNV | EN | OT | Ezekiel | Chapter 21 | Verse 32] Thou shalt bee in the fire to be deuoured: thy blood shall be in the middes of the lande, and thou shalt be no more remembred: for I the Lord haue spoken it.
