[GNV | EN | OT | Ezekiel | Chapter 8 | Verse 1] And in the sixt yere, in the sixt moneth, and in the fift day of the moneth, as I sate in mine house, and the Elders of Iudah sate before me, the hand of the Lord God fell there vpon me.
[GNV | EN | OT | Ezekiel | Chapter 8 | Verse 2] Then I beheld, and lo, there was a likenesse, as the appearance of fire, to looke to, from his loynes downeward, and from his loynes vpward, as the appearance of brightnes, and like vnto amber.
[GNV | EN | OT | Ezekiel | Chapter 8 | Verse 3] And he stretched out the likenes of an had, and tooke me by an hearie locke of mine head, and the Spirit lift me vp betweene the earth, and the heauen, and brought mee by a Diuine vision to Ierusalem, into the entry of ye inner gate that lieth toward the North, where remained the idole of indignation, which prouoked indignation.
[GNV | EN | OT | Ezekiel | Chapter 8 | Verse 4] And beholde, the glorie of the God of Israel was there according to the vision, that I saw in the fielde.
[GNV | EN | OT | Ezekiel | Chapter 8 | Verse 5] Then saide he vnto mee, Sonne of man, lift vp thine eyes nowe towarde the North. So I lift vp mine eyes towarde the North, and beholde, Northward, at the gate of the altar, this idole of indignation was in the entrie.
[GNV | EN | OT | Ezekiel | Chapter 8 | Verse 6] He said furthermore vnto me, Sonne of man, seest thou not what they doe? euen the great abominations that the house of Israel committeth here to cause me to depart from my Sanctuarie? but yet turne thee and thou shalt see greater abominations.
[GNV | EN | OT | Ezekiel | Chapter 8 | Verse 7] And he caused me to enter at the gate of the court: and when I looked, beholde, an hole was in the wall.
[GNV | EN | OT | Ezekiel | Chapter 8 | Verse 8] Then said he vnto me, Sonne of man, digge nowe in the wall. And when I had digged in the wall, beholde, there was a doore.
[GNV | EN | OT | Ezekiel | Chapter 8 | Verse 9] And he said vnto mee, Go in, and beholde the wicked abominations that they doe here.
[GNV | EN | OT | Ezekiel | Chapter 8 | Verse 10] So I went in, and sawe, and beholde, there was euery similitude of creeping thinges and abominable beasts and all the idoles of the house of Israel painted vpon the wall round about.
[GNV | EN | OT | Ezekiel | Chapter 8 | Verse 11] And there stoode before them seuentie men of the Ancients of the house of Israel, and in the middes of them stoode Iaazaniah, ye sonne of Shaphan, with euerie man his censour in his hand, and the vapour of the incense went vp like a cloude.
[GNV | EN | OT | Ezekiel | Chapter 8 | Verse 12] Then saide hee vnto mee, Sonne of man, hast thou seene what the Ancients of the house of Israel do in the darke, euery one in the chamber of his imagerie? for they say, The Lord seeth vs not, the Lord hath forsaken the earth.
[GNV | EN | OT | Ezekiel | Chapter 8 | Verse 13] Againe he saide also vnto me, Turne thee againe, and thou shalt see greater abominations that they doe.
[GNV | EN | OT | Ezekiel | Chapter 8 | Verse 14] And he caused me to enter into the entrie of the gate of the Lords house, which was toward the North: and beholde there sate women mourning for Tammuz.
[GNV | EN | OT | Ezekiel | Chapter 8 | Verse 15] Then saide hee vnto me, Hast thou seene this, O sonne of man? Turne thee againe, and thou shalt see greater abominations then these.
[GNV | EN | OT | Ezekiel | Chapter 8 | Verse 16] And he caused me to enter into the inner court of the Lordes house, and beholde, at the doore of the Temple of the Lord, betweene the porche and the altar were about fiue and twentie men with their backs toward the Temple of the Lord, and their faces towarde the East, and they worshipped the sunne, towarde the East.
[GNV | EN | OT | Ezekiel | Chapter 8 | Verse 17] The he said vnto me, Hast thou seene this, O sonne of man? Is it a small thing to the house of Iudah to commit these abominations which they do here? for they haue filled the land with crueltie, and haue returned to prouoke mee: and loe, they haue cast out stinke before their noses.
[GNV | EN | OT | Ezekiel | Chapter 8 | Verse 18] Therefore will I also execute my wrath: mine eye shall not spare them, neither will I haue pitie, and though they crie in mine eares with a loude voyce, yet will I not heare them.
