[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 1] Again in the ninth yeere, in the tenth moneth, in the tenth day of the moneth, came the worde of the Lord vnto me, saying,
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 2] Sonne of man, write thee the name of the day, euen of this same day: for the King of Babel set himselfe against Ierusalem this same day.
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 3] Therefore speake a parable vnto the rebellious house, and say vnto them, Thus sayth the Lord God, Prepare a pot, prepare it, and also powre water into it.
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 4] Gather the pieces thereof into it, euen euery good piece, as the thigh and the shoulder, and fill it with the chiefe bones.
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 5] Take one of the best sheepe, and burne also the bones vnder it, and make it boyle well, and seethe the bones of it therein,
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 6] Because the Lord God sayth thus, Woe to the bloody citie, euen to the pot, whose skomme is therein, and whose skomme is not gone out of it: bring it out piece by piece: let no lot fall vpon it.
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 7] For her blood is in the middes of her: shee set it vpon an high rocke, and powred it not vpon on the ground to couer it with dust,
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 8] That it might cause wrath to arise, and take vengeance: euen I haue set her blood vpon an high rocke that it should not be couered.
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 9] Therefore thus saith ye Lord God, Woe to the bloody citie, for I will make ye burning great.
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 10] Heape on much wood: kindle the fire, consume the flesh, and cast in spice, and let the bones be burnt.
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 11] Then set it emptie vpon the coles thereof, that the brasse of it may be hot, and may burne, and that the filthinesse of it may be molten in it, and that the skomme of it may be consumed.
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 12] She hath wearied her selfe with lyes, and her great skomme went not out of her: therefore her skomme shall be consumed with fire.
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 13] Thou remainest in thy filthines and wickednes: because I would haue purged thee, and thou wast not purged, thou shalt not be purged from thy filthines, till I haue caused my wrath to light vpon thee.
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 14] I the Lord haue spoken it: it shall come to passe, and I will doe it: I will not goe backe, neither will I spare, neither will I repent: according to thy wayes, and according to thy workes shall they iudge thee, sayeth the Lord God.
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 15] Also the worde of ye Lord came vnto me, saying,
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 16] Sonne of man beholde, I take away from thee the pleasure of thine eyes with a plague: yet shalt thou neither mourne nor weepe, neither shall thy teares runne downe.
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 17] Cease from sighing: make no mourning for the dead, and binde the tyre of thine head vpon thee, and put on thy shooes vpon thy feete, and couer not thy lips, and eate not the bread of men.
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 18] So I spake vnto the people in the morning, and at euen my wife dyed: and I did in the morning, as I was commanded.
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 19] And the people said vnto me, Wilt thou not tell vs what these things meane towarde vs that thou doest so?
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 20] Then I answered them, The worde of the Lord came vnto me, saying,
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 21] Speake vnto the house of Israel, Thus sayth the Lord God, Behold, I will pollute my Sanctuarie, euen the pride of your power, the pleasure of your eyes, and your hearts desire, and your sonnes, and your daughters whom ye haue left, shall fall by the sworde.
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 22] And ye shall doe as I haue done: ye shall not couer your lippes, neither shall ye eate the bread of men.
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 23] And your tyre shalbe vpon your heads, and your shooes vpon your feete: ye shall not mourne nor weepe, but ye shall pine away for your iniquities, and mourne one toward another.
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 24] Thus Ezekiel is vnto you a signe: according to all that he hath done, ye shall do: and when this commeth, ye shall know that I am the Lord God.
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 25] Also, thou sonne of man, shall it not be in the day when I take from them their power, ye ioy of their honor, ye pleasure of their eyes, and the desire of their heart, their sonnes and their daughters?
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 26] That he that escapeth in that day, shall come vnto thee to tell thee that which hee hath heard with his eares?
[GNV | EN | OT | Ezekiel | Chapter 24 | Verse 27] In that day shall thy mouth be opened to him which is escaped, and thou shalt speake, and be no more dumme, and thou shalt be a signe vnto them, and they shall knowe that I am the Lord.
