[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 1] Moreover, the Spirite lift me vp, and brought me vnto the East gate of the Lordes house, which lyeth Eastwarde, and beholde, at the entrie of the gate were fiue and twentie men: among whome I sawe Iaazaniah the sonne of Azur, and Pelatiah the sonne of Benaiah, the princes of the people.
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 2] Then said he vnto me, Sonne of man, these are the men that imagine mischiefe, and deuise wicked counsell in this citie.
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 3] For they say, It is not neere, let vs builde houses: this citie is the caldron, and wee be the flesh.
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 4] Therefore prophesie against them, sonne of man, prophesie.
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 5] And the Spirite of the Lord fell vpon me, and said vnto me, Speake, Thus saith the Lord, O ye house of Israel, this haue ye said, and I know that which riseth vp of your mindes.
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 6] Many haue ye murthered in this citie, and ye haue filled the streets thereof with the slaine.
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 7] Therefore thus saith the Lord God, They that ye haue slaine, and haue layed in the middes of it, they are the flesh, and this citie is the caldron, but I wil bring you foorth of the mids of it.
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 8] Ye haue feared the sworde, and I wil bring a sworde vpon you, saith the Lord God.
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 9] And I will bring you out of the middes thereof, and deliuer you into the hands of strangers, and will execute iudgements among you.
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 10] Ye shall fall by the sworde, and I wil iudge you in the border of Israel, and ye shall knowe that I am the Lord.
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 11] This citie shall not be your caldron, neyther shall ye be the flesh in the middes thereof, but I will iudge you in the border of Israel.
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 12] And ye shall knowe that I am the Lord: for ye haue not walked in my statutes, neither executed my iudgements, but haue done after the maners of the heathen, that are round about you.
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 13] And when I prophesied, Pelatiah the sonne of Benaiah dyed: then fell I downe vpon my face, and cryed with a loude voyce, and saide, Ah Lord God, wilt thou then vtterly destroy all the remnant of Israel?
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 14] Againe the worde of the Lord came vnto me, saying,
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 15] Sonne of man, thy brethren, euen thy brethren, the men of thy kindred, and all the house of Israel, wholy are they vnto whome the inhabitants of Ierusalem haue said, Depart ye farre from the Lord: for the lande is giuen vs in possession.
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 16] Therefore say, Thus saith the Lord God, Although I haue cast them farre off among the heathen, and although I haue scattered them among the countreis, yet wil I be to them as a litle Sanctuarie in ye countreis where they shall come.
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 17] Therefore say, Thus saith the Lord God, I will gather you againe from the people, and assemble you out of the countreis where ye haue bene scattered, and I will giue you ye land of Israel.
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 18] And they shall come thither, and they shall take away all the idoles thereof, and all the abominations thereof from thence.
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 19] And I will giue them one heart, and I will put a newe spirit within their bowels: and I will take the stonie heart out of their bodies, and will giue them an heart of flesh,
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 20] That they may walke in my statutes, and keepe my iudgements, and execute them: and they shall be my people, and I will be their God.
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 21] But vpon them, whose heart is towarde their idoles, and whose affection goeth after their abominations, I will lay their way vpon their owne heades, saith the Lord God.
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 22] Then did the Cherubims lift vp their wings, and the wheeles besides them, and the glorie of the God of Israel was vpon them on hie.
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 23] And the glorie of the Lord went vp from the middes of the citie, and stoode vpon the moutaine which is towarde the East side of the citie.
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 24] Afterwarde the Spirite tooke me vp, and brought me in a vision by the Spirit of God into Caldea to them that were led away captiues: so the vision that I had seene, went vp from me.
[GNV | EN | OT | Ezekiel | Chapter 11 | Verse 25] Then I declared vnto them that were led away captiues, all the things that the Lord had shewed me.
