[ASV | EN | OT | Job | Chapter 40 | Verse 1] Moreover Jehovah answered Job, and said,
[ASV | EN | OT | Job | Chapter 40 | Verse 2] Shall he that cavileth contend with the Almighty? He that argueth with God, let him answer it.
[ASV | EN | OT | Job | Chapter 40 | Verse 3] Then Job answered Jehovah, and said,
[ASV | EN | OT | Job | Chapter 40 | Verse 4] Behold, I am of small account; what shall I answer thee? I lay my hand upon my mouth.
[ASV | EN | OT | Job | Chapter 40 | Verse 5] Once have I spoken, and I will not answer; Yea, twice, but I will proceed no further.
[ASV | EN | OT | Job | Chapter 40 | Verse 6] Then Jehovah answered Job out of the whirlwind, and said,
[ASV | EN | OT | Job | Chapter 40 | Verse 7] Gird up thy loins now like a man: I will demand of thee, and declare thou unto me.
[ASV | EN | OT | Job | Chapter 40 | Verse 8] Wilt thou even annul my judgment? Wilt thou condemn me, that thou mayest be justified?
[ASV | EN | OT | Job | Chapter 40 | Verse 9] Or hast thou an arm like God? And canst thou thunder with a voice like him?
[ASV | EN | OT | Job | Chapter 40 | Verse 10] Deck thyself now with excellency and dignity; And array thyself with honor and majesty.
[ASV | EN | OT | Job | Chapter 40 | Verse 11] Pour forth the overflowings of thine anger; And look upon everyone that is proud, and abase him.
[ASV | EN | OT | Job | Chapter 40 | Verse 12] Look on everyone that is proud, and bring him low; And tread down the wicked where they stand.
[ASV | EN | OT | Job | Chapter 40 | Verse 13] Hide them in the dust together; Bind their faces in the hidden place.
[ASV | EN | OT | Job | Chapter 40 | Verse 14] Then will I also confess of thee That thine own right hand can save thee.
[ASV | EN | OT | Job | Chapter 40 | Verse 15] Behold now, behemoth, which I made as well as thee; He eateth grass as an ox.
[ASV | EN | OT | Job | Chapter 40 | Verse 16] Lo now, his strength is in his loins, And his force is in the muscles of his belly.
[ASV | EN | OT | Job | Chapter 40 | Verse 17] He moveth his tail like a cedar: The sinews of his thighs are knit together.
[ASV | EN | OT | Job | Chapter 40 | Verse 18] His bones are as tubes of brass; His limbs are like bars of iron.
[ASV | EN | OT | Job | Chapter 40 | Verse 19] He is the chief of the ways of God: He only that made him giveth him his sword.
[ASV | EN | OT | Job | Chapter 40 | Verse 20] Surely the mountains bring him forth food, Where all the beasts of the field do play.
[ASV | EN | OT | Job | Chapter 40 | Verse 21] He lieth under the lotus trees, In the covert of the reed, and the fen.
[ASV | EN | OT | Job | Chapter 40 | Verse 22] The lotus trees cover him with their shade; The willows of the brook compass him about.
[ASV | EN | OT | Job | Chapter 40 | Verse 23] Behold, if a river overflow, he trembleth not; He is confident, though a Jordan swell even to his mouth.
[ASV | EN | OT | Job | Chapter 40 | Verse 24] Shall any take him when he is on the watch, Or pierce through his nose with a snare?
