[ASV | EN | OT | Job | Chapter 8 | Verse 1] Then answered Bildad the Shuhite, and said,
[ASV | EN | OT | Job | Chapter 8 | Verse 2] How long wilt thou speak these things? And how long shall the words of thy mouth be like a mighty wind?
[ASV | EN | OT | Job | Chapter 8 | Verse 3] Doth God pervert justice? Or doth the Almighty pervert righteousness?
[ASV | EN | OT | Job | Chapter 8 | Verse 4] If thy children have sinned against him, And he hath delivered them into the hand of their transgression;
[ASV | EN | OT | Job | Chapter 8 | Verse 5] If thou wouldest seek diligently unto God, And make thy supplication to the Almighty;
[ASV | EN | OT | Job | Chapter 8 | Verse 6] If thou wert pure and upright: Surely now he would awake for thee, And make the habitation of thy righteousness prosperous.
[ASV | EN | OT | Job | Chapter 8 | Verse 7] And though thy beginning was small, Yet thy latter end would greatly increase.
[ASV | EN | OT | Job | Chapter 8 | Verse 8] For inquire, I pray thee, of the former age, And apply thyself to that which their fathers have searched out
[ASV | EN | OT | Job | Chapter 8 | Verse 9] (For we are but of yesterday, and know nothing, Because our days upon earth are a shadow);
[ASV | EN | OT | Job | Chapter 8 | Verse 10] Shall not they teach thee, and tell thee, And utter words out of their heart?
[ASV | EN | OT | Job | Chapter 8 | Verse 11] Can the rush grow up without mire? Can the flag grow without water?
[ASV | EN | OT | Job | Chapter 8 | Verse 12] While it is yet in its greenness, and not cut down, It withereth before any other herb.
[ASV | EN | OT | Job | Chapter 8 | Verse 13] So are the paths of all that forget God; And the hope of the godless man shall perish:
[ASV | EN | OT | Job | Chapter 8 | Verse 14] Whose confidence shall break in sunder, And whose trust is a spider’s web.
[ASV | EN | OT | Job | Chapter 8 | Verse 15] He shall lean upon his house, but it shall not stand: He shall hold fast thereby, but it shall not endure.
[ASV | EN | OT | Job | Chapter 8 | Verse 16] He is green before the sun, And his shoots go forth over his garden.
[ASV | EN | OT | Job | Chapter 8 | Verse 17] His roots are wrapped about the stone heap, He beholdeth the place of stones.
[ASV | EN | OT | Job | Chapter 8 | Verse 18] If he be destroyed from his place, Then it shall deny him, saying, I have not seen thee.
[ASV | EN | OT | Job | Chapter 8 | Verse 19] Behold, this is the joy of his way; And out of the earth shall others spring.
[ASV | EN | OT | Job | Chapter 8 | Verse 20] Behold, God will not cast away a perfect man, Neither will he uphold the evildoers.
[ASV | EN | OT | Job | Chapter 8 | Verse 21] He will yet fill thy mouth with laughter, And thy lips with shouting.
[ASV | EN | OT | Job | Chapter 8 | Verse 22] They that hate thee shall be clothed with shame; And the tent of the wicked shall be no more.
