[ASV | EN | OT | Job | Chapter 37 | Verse 1] Yea, at this my heart trembleth, And is moved out of its place.
[ASV | EN | OT | Job | Chapter 37 | Verse 2] Hear, oh, hear the noise of his voice, And the sound that goeth out of his mouth.
[ASV | EN | OT | Job | Chapter 37 | Verse 3] He sendeth it forth under the whole heaven, And his lightning unto the ends of the earth.
[ASV | EN | OT | Job | Chapter 37 | Verse 4] After it a voice roareth; He thundereth with the voice of his majesty; And he restraineth not the lightnings when his voice is heard.
[ASV | EN | OT | Job | Chapter 37 | Verse 5] God thundereth marvelously with his voice; Great things doeth he, which we cannot comprehend.
[ASV | EN | OT | Job | Chapter 37 | Verse 6] For he saith to the snow, Fall thou on the earth; Likewise to the shower of rain, And to the showers of his mighty rain.
[ASV | EN | OT | Job | Chapter 37 | Verse 7] He sealeth up the hand of every man, That all men whom he hath made may know it.
[ASV | EN | OT | Job | Chapter 37 | Verse 8] Then the beasts go into coverts, And remain in their dens.
[ASV | EN | OT | Job | Chapter 37 | Verse 9] Out of the chamber of the south cometh the storm, And cold out of the north.
[ASV | EN | OT | Job | Chapter 37 | Verse 10] By the breath of God ice is given; And the breadth of the waters is straitened.
[ASV | EN | OT | Job | Chapter 37 | Verse 11] Yea, he ladeth the thick cloud with moisture; He spreadeth abroad the cloud of his lightning:
[ASV | EN | OT | Job | Chapter 37 | Verse 12] And it is turned round about by his guidance, That they may do whatsoever he commandeth them Upon the face of the habitable world,
[ASV | EN | OT | Job | Chapter 37 | Verse 13] Whether it be for correction, or for his land, Or for lovingkindness, that he cause it to come.
[ASV | EN | OT | Job | Chapter 37 | Verse 14] Hearken unto this, O Job: Stand still, and consider the wondrous works of God.
[ASV | EN | OT | Job | Chapter 37 | Verse 15] Dost thou know how God layeth his charge upon them, And causeth the lightning of his cloud to shine?
[ASV | EN | OT | Job | Chapter 37 | Verse 16] Dost thou know the balancings of the clouds, The wondrous works of him who is perfect in knowledge?
[ASV | EN | OT | Job | Chapter 37 | Verse 17] How thy garments are warm, When the earth is still by reason of the south wind?
[ASV | EN | OT | Job | Chapter 37 | Verse 18] Canst thou with him spread out the sky, Which is strong as a molten mirror?
[ASV | EN | OT | Job | Chapter 37 | Verse 19] Teach us what we shall say unto him; For we cannot set our speech in order by reason of darkness.
[ASV | EN | OT | Job | Chapter 37 | Verse 20] Shall it be told him that I would speak? Or should a man wish that he were swallowed up?
[ASV | EN | OT | Job | Chapter 37 | Verse 21] And now men see not the light which is bright in the skies; But the wind passeth, and cleareth them.
[ASV | EN | OT | Job | Chapter 37 | Verse 22] Out of the north cometh golden splendor: God hath upon him terrible majesty.
[ASV | EN | OT | Job | Chapter 37 | Verse 23] Touching the Almighty, we cannot find him out: He is excellent in power; And in justice and plenteous righteousness he will not afflict.
[ASV | EN | OT | Job | Chapter 37 | Verse 24] Men do therefore fear him: He regardeth not any that are wise of heart.
