[ASV | EN | OT | Job | Chapter 18 | Verse 1] Then answered Bildad the Shuhite, and said,
[ASV | EN | OT | Job | Chapter 18 | Verse 2] How long will ye hunt for words? Consider, and afterward we will speak.
[ASV | EN | OT | Job | Chapter 18 | Verse 3] Wherefore are we counted as beasts, And are become unclean in your sight?
[ASV | EN | OT | Job | Chapter 18 | Verse 4] Thou that tearest thyself in thine anger, Shall the earth be forsaken for thee? Or shall the rock be removed out of its place?
[ASV | EN | OT | Job | Chapter 18 | Verse 5] Yea, the light of the wicked shall be put out, And the spark of his fire shall not shine.
[ASV | EN | OT | Job | Chapter 18 | Verse 6] The light shall be dark in his tent, And his lamp above him shall be put out.
[ASV | EN | OT | Job | Chapter 18 | Verse 7] The steps of his strength shall be straitened, And his own counsel shall cast him down.
[ASV | EN | OT | Job | Chapter 18 | Verse 8] For he is cast into a net by his own feet, And he walketh upon the toils.
[ASV | EN | OT | Job | Chapter 18 | Verse 9] A gin shall take him by the heel, And a snare shall lay hold on him.
[ASV | EN | OT | Job | Chapter 18 | Verse 10] A noose is hidden for him in the ground, And a trap for him in the way.
[ASV | EN | OT | Job | Chapter 18 | Verse 11] Terrors shall make him afraid on every side, And shall chase him at his heels.
[ASV | EN | OT | Job | Chapter 18 | Verse 12] His strength shall be hunger-bitten, And calamity shall be ready at his side.
[ASV | EN | OT | Job | Chapter 18 | Verse 13] The members of his body shall be devoured, Yea, the firstborn of death shall devour his members.
[ASV | EN | OT | Job | Chapter 18 | Verse 14] He shall be rooted out of his tent wherein he trusteth; And he shall be brought to the king of terrors.
[ASV | EN | OT | Job | Chapter 18 | Verse 15] There shall dwell in his tent that which is none of his: Brimstone shall be scattered upon his habitation.
[ASV | EN | OT | Job | Chapter 18 | Verse 16] His roots shall be dried up beneath, And above shall his branch be cut off.
[ASV | EN | OT | Job | Chapter 18 | Verse 17] His remembrance shall perish from the earth, And he shall have no name in the street.
[ASV | EN | OT | Job | Chapter 18 | Verse 18] He shall be driven from light into darkness, And chased out of the world.
[ASV | EN | OT | Job | Chapter 18 | Verse 19] He shall have neither son nor son’s son among his people, Nor any remaining where he sojourned.
[ASV | EN | OT | Job | Chapter 18 | Verse 20] They that come after shall be astonished at his day, As they that went before were affrighted.
[ASV | EN | OT | Job | Chapter 18 | Verse 21] Surely such are the dwellings of the unrighteous, And this is the place of him that knoweth not God.
