[ASV | EN | OT | Job | Chapter 28 | Verse 1] Surely there is a mine for silver, And a place for gold which they refine.
[ASV | EN | OT | Job | Chapter 28 | Verse 2] Iron is taken out of the earth, And copper is molten out of the stone.
[ASV | EN | OT | Job | Chapter 28 | Verse 3] Man setteth an end to darkness, And searcheth out, to the furthest bound, The stones of obscurity and of thick darkness.
[ASV | EN | OT | Job | Chapter 28 | Verse 4] He breaketh open a shaft away from where men sojourn; They are forgotten of the foot; They hang afar from men, they swing to and fro.
[ASV | EN | OT | Job | Chapter 28 | Verse 5] As for the earth, out of it cometh bread; And underneath it is turned up as it were by fire.
[ASV | EN | OT | Job | Chapter 28 | Verse 6] The stones thereof are the place of sapphires, And it hath dust of gold.
[ASV | EN | OT | Job | Chapter 28 | Verse 7] That path no bird of prey knoweth, Neither hath the falcon’s eye seen it:
[ASV | EN | OT | Job | Chapter 28 | Verse 8] The proud beasts have not trodden it, Nor hath the fierce lion passed thereby.
[ASV | EN | OT | Job | Chapter 28 | Verse 9] He putteth forth his hand upon the flinty rock; He overturneth the mountains by the roots.
[ASV | EN | OT | Job | Chapter 28 | Verse 10] He cutteth out channels among the rocks; And his eye seeth every precious thing.
[ASV | EN | OT | Job | Chapter 28 | Verse 11] He bindeth the streams that they trickle not; And the thing that is hidden bringeth he forth to light.
[ASV | EN | OT | Job | Chapter 28 | Verse 12] But where shall wisdom be found? And where is the place of understanding?
[ASV | EN | OT | Job | Chapter 28 | Verse 13] Man knoweth not the price thereof; Neither is it found in the land of the living.
[ASV | EN | OT | Job | Chapter 28 | Verse 14] The deep saith, It is not in me; And the sea saith, It is not with me.
[ASV | EN | OT | Job | Chapter 28 | Verse 15] It cannot be gotten for gold, Neither shall silver be weighed for the price thereof.
[ASV | EN | OT | Job | Chapter 28 | Verse 16] It cannot be valued with the gold of Ophir, With the precious onyx, or the sapphire.
[ASV | EN | OT | Job | Chapter 28 | Verse 17] Gold and glass cannot equal it, Neither shall it be exchanged for jewels of fine gold.
[ASV | EN | OT | Job | Chapter 28 | Verse 18] No mention shall be made of coral or of crystal: Yea, the price of wisdom is above rubies.
[ASV | EN | OT | Job | Chapter 28 | Verse 19] The topaz of Ethiopia shall not equal it, Neither shall it be valued with pure gold.
[ASV | EN | OT | Job | Chapter 28 | Verse 20] Whence then cometh wisdom? And where is the place of understanding?
[ASV | EN | OT | Job | Chapter 28 | Verse 21] Seeing it is hidden from the eyes of all living, And kept close from the birds of the heavens.
[ASV | EN | OT | Job | Chapter 28 | Verse 22] Destruction and Death say, We have heard a rumor thereof with our ears.
[ASV | EN | OT | Job | Chapter 28 | Verse 23] God understandeth the way thereof, And he knoweth the place thereof.
[ASV | EN | OT | Job | Chapter 28 | Verse 24] For he looketh to the ends of the earth, And seeth under the whole heaven;
[ASV | EN | OT | Job | Chapter 28 | Verse 25] To make a weight for the wind: Yea, he meteth out the waters by measure.
[ASV | EN | OT | Job | Chapter 28 | Verse 26] When he made a decree for the rain, And a way for the lightning of the thunder;
[ASV | EN | OT | Job | Chapter 28 | Verse 27] Then did he see it, and declare it; He established it, yea, and searched it out.
[ASV | EN | OT | Job | Chapter 28 | Verse 28] And unto man he said, Behold, the fear of the Lord, that is wisdom; And to depart from evil is understanding.
