[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 1] And what wonder? if the lusts of the soul, after participation with what is beautiful, are frustrated,
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 2] on this ground, therefore, the temperate Joseph is praised in that by reasoning, he subdued, on reflection, the indulgence of sense.
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 3] For, although young, and ripe for sexual intercourse, he abrogated by reasoning the stimulus of his passions.
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 4] And it is not merely the stimulus of sensual indulgence, but that of every desire, that reasoning is able to master.
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 5] For instance, the law saith, Thou shalt not covet thy neighbor’s wife, nor anything that belongeth to thy neighbor.
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 6] Now, then, since it is the law which hath forbidden us to desire, I shall much the more easily persuade you, that reasoning is able to govern our lusts, just as it doth the affections which are impediments to justice.
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 7] Since in what way is a solitary eater, and a glutton, and a drunkard reclaimed, unless it be clear that reasoning is lord of the passions?
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 8] A man, therefore, who regulateth his course by the law, even if he be a lover of money, straightaway putteth force upon his own disposition; lending to the needy without interest, and canceling the debt of the incoming Sabbath.
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 9] And should a man be parsimonious, he is ruled by the law acting through reasoning; so that he doth not glean his harvest crops, nor vintage: and in reference to other points we may perceive that it is reasoning that conquereth his passions.
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 10] For the law conquereth even affection toward parents, not surrendering virtue on their account.
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 11] And it prevaileth over marriage love, condemning it when transgressing law.
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 12] And it lordeth it over the love of parents toward their children, for they punish them for vice; and it domineereth over the intimacy of friends, reproving them when wicked.
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 13] And think it not a strange assertion that reasoning can in behalf of the law conquer even enmity.
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 14] It alloweth not to cut down the cultivated herbage of an enemy, but preserveth it from the destroyers, and collecteth their fallen ruins.
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 15] And reasoning appeareth to be master of the more violent passions, as love of empire and empty boasting, and arrogance, and loud boasting, and slander.
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 16] For the temperate understanding repelleth all these malignant passions, as it doth wrath: for it mastereth even this.
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 17] Thus Moses, when angered against Dathan and Abiram, did nothing to them in wrath, but regulated his anger by reasoning.
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 18] For the temperate mind is able, as I said, to be superior to the passions, and to transfer some, and destroy others.
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 19] For why, else, doth our most wise father Jacob blame Simeon and Levi for having irrationally slain the whole race of the Shechemites, saying, Cursed be their anger.
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 20] For if reasoning did not possess the power of subduing angry affections, he would not have spoken thus.
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 21] For at the time when God created man, he implanted within him his passions and moral nature.
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 22] And at that time he enthroned above all the holy leader mind, through the medium of the senses.
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 23] And he gave a law to this mind, by living according to which it will maintain a temperate, and just, and good, and manly reign.
[ASV | EN | OT | 4 Maccabees | Chapter 2 | Verse 24] How, then, a man may say, if reasoning be master of the passions, hath it no control over forgetfulness and ignorance?
