[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 1] When Eleazar had in this manner answered the exhortations of the tyrant, the spear-bearers came up, and rudely hauled Eleazar to the instruments of torture.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 2] And first, they stripped the old man, adorned as he was with the comeliness of piety.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 3] Then tying back his arms and hands, they disdainfully used him with stripes;
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 4] a herald opposite crying out, Obey the commands of the king.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 5] But Eleazar, the high-minded and truly noble, as one tortured in a dream, regarded it not at all.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 6] But raising his eyes on high to heaven, the old man’s flesh was stripped off by the scourges, and his blood streamed down, and his sides were pierced through.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 7] And falling upon the ground, from his body having no power to support the pains, he yet kept his reasoning upright and unbending.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 8] Then one of the harsh spear-bearers leaped upon his belly as he was falling, to force him upright.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 9] But he endured the pains, and despised the cruelty, and persevered through the indignities;
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 10] and like a noble athlete, the old man, when struck, vanquished his torturers.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 11] His countenance sweating, and he panting for breath, he was admired by the very torturers for his courage.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 12] Wherefore, partly in pity for his old age,
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 13] partly from the sympathy of acquaintance, and partly in admiration of his endurance, some of the attendants of the king said,
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 14] Why do you unreasonably destroy yourself, O Eleazar, with these miseries?
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 15] We will bring you some meat cooked by yourself, and do you save yourself by pretending that you have eaten swine’s flesh.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 16] And Eleazar, as though the advice more painfully tortured him, cried out,
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 17] Let not us who are children of Abraham be so evil advised as by giving way to make use of an unbecoming pretense;
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 18] for it were irrational, if having lived up to old age in all truth, and having scrupulously guarded our character for it, we should now turn back,
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 19] and ourselves should become a pattern of impiety to the young, as being an example of pollution eating.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 20] It would be disgraceful if we should live on some short time, and that scorned by all men for cowardice,
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 21] and be condemned by the tyrant for unmanliness, by not contending to the death for our divine law.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 22] Wherefore do you, O children of Abraham, die nobly for your religion.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 23] Ye spear-bearers of the tyrant, why do ye linger?
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 24] Beholding him so high-minded against misery, and not changing at their pity, they led him to the fire:
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 25] then with their wickedly contrived instruments they burnt him on the fire, and poured stinking fluids down into his nostrils.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 26] And he being at length burnt down to the bones, and about to expire, raised his eyes God-ward, and said,
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 27] Thou knowest, O God, that when I might have been saved, I am slain for the sake of the law by tortures of fire.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 28] Be merciful to thy people, and be satisfied with the punishment of me on their account.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 29] Let my blood be a purification for them, and take my life in recompense for theirs.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 30] Thus speaking, the holy man departed, noble in his torments, and even to the agonies of death resisted in his reasoning for the sake of the law.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 31] Confessedly, therefore, religious reasoning is master of the passions.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 32] For had the passions been superior to reasoning, I would have given them the witness of this mastery.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 33] But now, since reasoning conquered the passions, we befittingly award it the authority of first place.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 34] And it is but fair that we should allow, that the power belongeth to reasoning, since it mastereth external miseries.
[ASV | EN | OT | 4 Maccabees | Chapter 6 | Verse 35] Ridiculous would it be were it not so; and I prove that reasoning hath not only mastered pains, but that it is also superior to the pleasures, and withstandeth them.
