[ASV | EN | OT | 4 Maccabees | Chapter 10 | Verse 1] Now this one, having endured this praiseworthy death, the third was brought along, and exhorted by many to taste and save his life.
[ASV | EN | OT | 4 Maccabees | Chapter 10 | Verse 2] But he cried out and said, Know ye not, that the father of those who are dead, begat me also; and that the same mother bare me; and that I was brought up in the same tenets?
[ASV | EN | OT | 4 Maccabees | Chapter 10 | Verse 3] I abjure not the noble relationship of my brethren.
[ASV | EN | OT | 4 Maccabees | Chapter 10 | Verse 4] Now then, whatever instrument of vengeance ye have, apply it to my body, for ye are not able to touch, even if ye wish it, my soul.
[ASV | EN | OT | 4 Maccabees | Chapter 10 | Verse 5] But they, highly incensed at his boldness of speech, dislocated his hands and feet with racking engines, and wrenching them from their sockets, dismembered him.
[ASV | EN | OT | 4 Maccabees | Chapter 10 | Verse 6] And they dragged round his fingers, and his arms, and his legs, and his ankles.
[ASV | EN | OT | 4 Maccabees | Chapter 10 | Verse 7] And not being able by any means to strangle him, they tare off his skin, together with the extreme tips of his fingers, flayed him, and then hauled him to the wheel;
[ASV | EN | OT | 4 Maccabees | Chapter 10 | Verse 8] around which his vertebral joints were loosened, and he saw his own flesh torn to shreds, and streams of blood flowing from his entrails.
[ASV | EN | OT | 4 Maccabees | Chapter 10 | Verse 9] And when about to die, he said,
[ASV | EN | OT | 4 Maccabees | Chapter 10 | Verse 10] We, O accursed tyrant, suffer this for the sake of divine education and virtue.
[ASV | EN | OT | 4 Maccabees | Chapter 10 | Verse 11] But thou, for thine impiety and bloodshedding, shalt endure indissoluble torments.
[ASV | EN | OT | 4 Maccabees | Chapter 10 | Verse 12] And thus having died worthily of his brethren, they dragged forward the fourth, saying,
[ASV | EN | OT | 4 Maccabees | Chapter 10 | Verse 13] Do not thou share the madness of thy brethren: but give regard to the king, and save thyself.
[ASV | EN | OT | 4 Maccabees | Chapter 10 | Verse 14] But he said to them, You have not a fire so scorching as to make me play the coward.
[ASV | EN | OT | 4 Maccabees | Chapter 10 | Verse 15] By the blessed death of my brethren, and the eternal punishment of the tyrant, and the glorious life of the pious, I will not repudiate the noble brotherhood.
[ASV | EN | OT | 4 Maccabees | Chapter 10 | Verse 16] Invent, O tyrant, tortures; that you may learn, even through them, that I am the brother of those tormented before.
[ASV | EN | OT | 4 Maccabees | Chapter 10 | Verse 17] When he had said this, the bloodthirsty, and murderous, and unhallowed Antiochus ordered his tongue to be cut out.
[ASV | EN | OT | 4 Maccabees | Chapter 10 | Verse 18] But he said, Even if you take away the organ of speech, yet God heareth the silent.
[ASV | EN | OT | 4 Maccabees | Chapter 10 | Verse 19] Behold, my tongue is extended, cut it off; for not for that shalt thou extirpate our reasoning.
[ASV | EN | OT | 4 Maccabees | Chapter 10 | Verse 20] Gladly do we lose our limbs in behalf of God.
[ASV | EN | OT | 4 Maccabees | Chapter 10 | Verse 21] But God shall speedily find you, since you cut off the tongue, the instrument of divine melody.
