[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 1] The reasoning of our father Eleazar, like a first-rate pilot, steering the vessel of piety in the sea of passions,
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 2] and flouted by the threats of the tyrant, and overwhelmed with the breakers of torture,
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 3] in no way shifted the rudder of piety till it sailed into the harbor of victory over death.
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 4] Not so hath ever a city, when besieged, held out against many and various machines, as did that holy man, when his pious soul was tried with the fiery trial of tortures and rackings, move his besiegers through the religious reasoning that shielded him.
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 5] For father Eleazar, projecting his disposition, broke the raging waves of the passions as with a jutting promontory.
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 6] O priest, worthy of the priesthood! thou didst not pollute thy sacred teeth; nor make thine appetite, which had always embraced the clean and lawful, a partaker of profanity.
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 7] O harmonizer with the law, and sage devoted to a divine life!
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 8] Of such a character ought those to be who perform the duties of the law at the risk of their own blood, and defend it with generous sweat by sufferings even unto death.
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 9] Thou, father, hast gloriously established our right government by thy endurance; and making of much account our service past, prevented its destruction, and, by thy deeds, hast made credible the words of philosophy.
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 10] O aged man of more power than tortures, elder more vigorous than fire, greatest king over the passions, Eleazar!
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 11] For as father Aaron, armed with a censer, hastening through the consuming fire, vanquished the flame-bearing angel,
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 12] so, Eleazar, the descendant of Aaron, wasted away by the fire, did not give up his reasoning.
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 13] And, what is most wonderful, though an old man, though the labors of his body were now spent, and his fibers were relaxed, and his sinews worn out, he recovered youth.
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 14] By the spirit of reasoning, and the reasoning of Isaac, he rendered powerless the many-headed instrument.
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 15] O blessed old age, and reverend hoar head, and life obedient to the law, which the faithful seal of death perfected.
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 16] If, then, an old man, through religion, despised tortures even unto death, confessedly religious reasoning is ruler of the passions.
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 17] But perhaps some might say, It is not all who conquer passions, as all do not possess wise reasoning.
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 18] But they who have meditated upon religion with their whole heart, these alone can master the passions of the flesh:
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 19] they who believe that to God they die not; for, as our forefathers, Abraham, Isaac, Jacob, they live to God.
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 20] This circumstance, then, is by no means an objection, that some who have weak reasoning, are governed by their passions:
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 21] since what person, walking religiously by the whole rule of philosophy, and believing in God,
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 22] and knowing that it is a blessed thing to endure all kinds of hardships for virtue, would not, for the sake of religion, master his passion?
[ASV | EN | OT | 4 Maccabees | Chapter 7 | Verse 23] For the wise and brave man only is lord over his passions.
