[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 1] And when he had died, disfigured in his torments, the fifth leaped forward, and said,
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 2] I intend not, O tyrant, to get excused from the torment which is in behalf of virtue.
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 3] But I have come of mine own accord, that by the death of me, you may owe heavenly vengeance a punishment for more crimes.
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 4] O thou hater of virtue and of men, what have we done that thou thus revelest in our blood?
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 5] Doth it seem evil to thee that we worship the Founder of all things, and live according to his surpassing law?
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 6] But this is worthy of honors, not of torments;
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 7] hadst thou been capable of the higher feelings of men, and possessed the hope of salvation from God.
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 8] Behold, now, being alien from God, thou makest war against those who are religious toward God.
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 9] As he said this, the spear-bearers bound him, and drew him to the catapult:
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 10] to which binding him at his knees, and fastening them with iron fetters, they bent down his loins upon the wedge of the wheel; and his body was then dismembered, scorpion-fashion.
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 11] With his breath thus confined, and his body strangled, he said,
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 12] A great favor thou bestowest upon us, O tyrant, by enabling us to manifest our adherence to the law by means of nobler sufferings.
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 13] He also being dead, the sixth, quite a youth, was brought out; and on the tyrant asking him whether he would eat and be delivered, he said,
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 14] I am indeed younger than my brethren, but in understanding I am as old;
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 15] for having been born and reared unto the same end, we are bound to die also in behalf of the same cause.
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 16] So that if thou think proper to torment us for not eating the unclean—torment!
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 17] As he said this, they brought him to the wheel.
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 18] Extended upon which, with limbs racked and dislocated, he was gradually roasted from beneath.
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 19] And having heated sharp spits, they approached them to his back; and having transfixed his sides, they burned away his entrails.
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 20] And he, while tormented, said, O period good and holy, in which, for the sake of religion, we brethren have been called to the contest of pain, and have not been conquered.
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 21] For religious understanding, O tyrant, is unconquered.
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 22] Armed with upright virtue, I also shall depart with my brethren.
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 23] I, too, bearing with me a great avenger, O deviser of tortures, and enemy of the truly pious.
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 24] We six youths have destroyed thy tyranny.
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 25] For is not your inability to overrule our reasoning, and to compel us to eat the unclean, thy destruction?
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 26] Your fire is cold to us, your catapults are painless, and your violence harmless.
[ASV | EN | OT | 4 Maccabees | Chapter 11 | Verse 27] For the guards not of a tyrant but of a divine law are our defenders: through this we keep our reasoning unconquered.
