[ASV | EN | OT | 4 Maccabees | Chapter 14 | Verse 1] And more than this, they even urged them on to this ill treatment; so that they not only despised pains themselves, but they even gat the better of their affections of brotherly love.
[ASV | EN | OT | 4 Maccabees | Chapter 14 | Verse 2] O reasonings more royal than a king, and freer than freemen!
[ASV | EN | OT | 4 Maccabees | Chapter 14 | Verse 3] Sacred and harmonious concert of the seven brethren as concerning piety!
[ASV | EN | OT | 4 Maccabees | Chapter 14 | Verse 4] None of the seven youths turned cowardly, or shrank back from death.
[ASV | EN | OT | 4 Maccabees | Chapter 14 | Verse 5] But all of them, as though running the road to immortality, hastened on to death through tortures.
[ASV | EN | OT | 4 Maccabees | Chapter 14 | Verse 6] For just as hands and feet are moved sympathetically with the directions of the soul, so those holy youths agreed unto death for religion’s sake, as through the immortal soul of religion.
[ASV | EN | OT | 4 Maccabees | Chapter 14 | Verse 7] O holy seven of harmonious brethren! for as the seven days of creation, about religion,
[ASV | EN | OT | 4 Maccabees | Chapter 14 | Verse 8] so the youths, circling around the number seven, annulled the fear of torments.
[ASV | EN | OT | 4 Maccabees | Chapter 14 | Verse 9] We now shudder at the recital of the affliction of those young men; but they not only beheld, and not only heard the immediate execution of the threat, but undergoing it, persevered; and that through the pains of fire.
[ASV | EN | OT | 4 Maccabees | Chapter 14 | Verse 10] And what could be more painful? for the power of fire, being sharp and quick, speedily dissolved their bodies.
[ASV | EN | OT | 4 Maccabees | Chapter 14 | Verse 11] And think it not wonderful that reasoning bare rule over those men in their torments, when even a woman’s mind despised more manifold pains.
[ASV | EN | OT | 4 Maccabees | Chapter 14 | Verse 12] For the mother of those seven youths endured the rackings of each of her children.
[ASV | EN | OT | 4 Maccabees | Chapter 14 | Verse 13] And consider how comprehensive is the love of offspring, which draweth everyone to sympathy of affection,
[ASV | EN | OT | 4 Maccabees | Chapter 14 | Verse 14] where irrational animals possess a similar sympathy and love for their offspring with men.
[ASV | EN | OT | 4 Maccabees | Chapter 14 | Verse 15] The tame birds frequenting the roofs of our houses, defend their fledglings.
[ASV | EN | OT | 4 Maccabees | Chapter 14 | Verse 16] Others build their nests, and hatch their young, in the tops of mountains and in the precipices of valleys, and the holes and tops of trees, and keep off the intruder.
[ASV | EN | OT | 4 Maccabees | Chapter 14 | Verse 17] And if not able to do this, they fly circling round them in agony of affection, calling out in their own note, and save their offspring in whatever manner they are able.
[ASV | EN | OT | 4 Maccabees | Chapter 14 | Verse 18] But why should we point attention to the sympathy toward children shown by irrational animals?
[ASV | EN | OT | 4 Maccabees | Chapter 14 | Verse 19] The very bees, at the season of honey-making, attack all who approach; and pierce with their sting, as with a sword, those who draw near their hive, and repel them even unto death.
[ASV | EN | OT | 4 Maccabees | Chapter 14 | Verse 20] But sympathy with her children did not turn aside the mother of the young men, who had a spirit kindred with that of Abraham.
