[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 1] The tyrant Antiochus, therefore, sitting in public state with his assessors upon a certain lofty place, with his armed troops standing in a circle round him,
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 2] commanded his spear-bearers to seize every one of the Hebrews, and to compel them to taste swine’s flesh, and things offered to idols.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 3] And should any of them be unwilling to eat the accursed food, they were to be tortured on the wheel, and so killed.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 4] And when many had been seized, a foremost man of the assembly, a Hebrew, by name Eleazar, a priest by family, by profession a lawyer, and advanced in years, and for this reason known to many of the king’s followers, was brought near to him.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 5] And Antiochus seeing him, said,
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 6] I would counsel thee, old man, before thy tortures begin, to taste the swine’s flesh, and save your life; for I feel respect for your age and hoary head, which since you have had so long, you appear to me to be no philosopher in retaining the superstition of the Jews.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 7] For wherefore, since nature hath conferred upon you the most excellent flesh of this animal, do you loathe it?
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 8] It seemeth senseless not to enjoy what is pleasant, yet not disgraceful; and from notions of sinfulness, to reject the boons of nature.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 9] And you will be acting, I think, still more senselessly, if you follow vain conceits about the truth.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 10] And you will, moreover, be despising me to your own punishment.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 11] Will you not awake from your trifling philosophy? and give up the folly of your notions; and, regaining understanding worthy of your age, search into the truth of an expedient course?
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 12] and, reverencing my kindly admonition, have pity upon your own years?
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 13] For, bear in mind, that if there be any power which watcheth over this religion of yours, it will pardon you for all transgressions of the law which you commit through compulsion.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 14] While the tyrant incited him in this manner to the unlawful eating of flesh, Eleazar begged permission to speak.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 15] And having received power to speak, he began thus to deliver himself:
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 16] We, O Antiochus, who are persuaded that we live under a divine law, consider no compulsion to be so forcible as obedience to that law;
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 17] wherefore we consider that we ought not in any point to transgress the law.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 18] And indeed, were our law (as you suppose) not truly divine, and if we wrongly think it divine, we should have no right even in that case to destroy our sense of religion.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 19] Think not eating the unclean, then, a trifling offense.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 20] For transgression of the law, whether in small or great matters, is of equal moment;
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 21] for in either case the law is equally slighted.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 22] But thou deridest our philosophy, as though we lived irrationally in it.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 23] Yet it instructeth us in temperance, so that we are superior to all pleasures and lusts; and it exerciseth us in manliness, so that we cheerfully undergo every grievance.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 24] And it instructeth us in justice, so that in all our dealings we render what is due; and it teacheth us piety, so that we worship the one only God becomingly.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 25] Wherefore it is that we eat not the unclean; for believing that the law was established by God, we are convinced that the Creator of the world, in giving his laws, sympathizeth with our nature.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 26] Those things which are convenient to our souls, he hath directed us to eat; but those which are repugnant to them, he hath interdicted.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 27] But, tyrant-like, thou not only forcest us to break the law, but also to eat, that thou mayest ridicule us as we thus profanely eat:
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 28] but thou shalt not have this cause of laughter against me;
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 29] nor will I transgress the sacred oaths of my forefathers to keep the law.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 30] No, not if you pluck out my eyes, and consume my entrails.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 31] I am not so old, and void of manliness, but that my rational powers are youthful in defense of my religion.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 32] Now then; prepare your wheels, and kindle a fiercer flame.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 33] I will not so pity my old age, as on my account to break the law of my country.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 34] I will not belie thee, O law, my instructor! or forsake thee, O beloved self-control.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 35] I will not put thee to shame, O philosopher reason; or deny thee, O honored priesthood, and science of the law.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 36] Mouth! thou shalt not pollute my old age, nor the full stature of a perfect life.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 37] My fathers shall receive me pure, not having quailed before your compulsion, though unto death.
[ASV | EN | OT | 4 Maccabees | Chapter 5 | Verse 38] For over the ungodly thou shalt tyrannize; but thou shalt not lord it over my thoughts about religion, either by thine arguments, or through deeds.
