[ASV | EN | OT | 4 Maccabees | Chapter 3 | Verse 1] The argument is exceedingly ridiculous: for reasoning doth not appear to bear sway over its own affections, but over those of the body,
[ASV | EN | OT | 4 Maccabees | Chapter 3 | Verse 2] in such a way as that any one of you may not be able to root out desire, but reasoning will enable you to avoid being enslaved to it.
[ASV | EN | OT | 4 Maccabees | Chapter 3 | Verse 3] One may not be able to root out anger from the soul, but it is possible to withstand anger.
[ASV | EN | OT | 4 Maccabees | Chapter 3 | Verse 4] Any one of you may not be able to eradicate malice, but reasoning hath force to work with you to prevent your yielding to malice.
[ASV | EN | OT | 4 Maccabees | Chapter 3 | Verse 5] For reasoning is not an eradicator, but an antagonist of the passions.
[ASV | EN | OT | 4 Maccabees | Chapter 3 | Verse 6] And this may be more clearly comprehended from the thirst of king David.
[ASV | EN | OT | 4 Maccabees | Chapter 3 | Verse 7] For after David had been attacking the Philistines the whole day, he with the soldiers of his nation slew many of them;
[ASV | EN | OT | 4 Maccabees | Chapter 3 | Verse 8] then when evening came, sweating and very weary, he came to the royal tent, about which the entire host of our ancestors was encamped.
[ASV | EN | OT | 4 Maccabees | Chapter 3 | Verse 9] Now all the rest of them were at supper;
[ASV | EN | OT | 4 Maccabees | Chapter 3 | Verse 10] but the king, being very much athirst, although he had numerous springs, could not by their means quench his thirst;
[ASV | EN | OT | 4 Maccabees | Chapter 3 | Verse 11] but a certain irrational longing for the water in the enemy’s camp grew stronger and fiercer upon him, and consumed him with languish.
[ASV | EN | OT | 4 Maccabees | Chapter 3 | Verse 12] Wherefore his bodyguards being troubled at this longing of the king, two valiant young soldiers, reverencing the desire of the king, put on their armor, and taking a pitcher, gat over the ramparts of the enemies:
[ASV | EN | OT | 4 Maccabees | Chapter 3 | Verse 13] and unperceived by the guardians of the gate, they went throughout the whole camp of the enemy in quest.
[ASV | EN | OT | 4 Maccabees | Chapter 3 | Verse 14] And having boldly discovered the fountain, they filled out of it the draft for the king.
[ASV | EN | OT | 4 Maccabees | Chapter 3 | Verse 15] But he, though parched up with thirst, reasoned that a draft reputed of equal value to blood, would be terribly dangerous to his soul.
[ASV | EN | OT | 4 Maccabees | Chapter 3 | Verse 16] Wherefore, setting up reasoning in opposition to his desire, he poured out the draft to God.
[ASV | EN | OT | 4 Maccabees | Chapter 3 | Verse 17] For the temperate mind hath power to conquer the pressure of the passions, and to quench the fires of excitement,
[ASV | EN | OT | 4 Maccabees | Chapter 3 | Verse 18] and to wrestle down the pains of the body, however excessive; and, through the excellency of reasoning, to abominate all the assaults of the passions.
[ASV | EN | OT | 4 Maccabees | Chapter 3 | Verse 19] But the occasion now inviteth us to give an illustration of temperate reasoning from history.
[ASV | EN | OT | 4 Maccabees | Chapter 3 | Verse 20] For at a time when our fathers were in possession of undisturbed peace through obedience to the law, and were prosperous, so that Seleucus Nicanor, the king of Asia, both assigned them money for divine service, and accepted their form of government,
[ASV | EN | OT | 4 Maccabees | Chapter 3 | Verse 21] then certain persons, bringing in new things contrary to the general unanimity, in various ways fell into calamities.
