[BSB | EN | NT | Ephesians | Chapter 6 | Verse 1] Children, obey your parents in the Lord, for this is right.
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 2] “Honor your father and mother” (which is the first commandment with a promise),
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 3] “that it may go well with you and that you may have a long life on the earth.”
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 4] Fathers, do not provoke your children to wrath; instead, bring them up in the discipline and instruction of the Lord.
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 5] Slaves, obey your earthly masters with respect and fear and sincerity of heart, just as you would obey Christ.
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 6] And do this not only to please them while they are watching, but as servants of Christ, doing the will of God from your heart.
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 7] Serve with good will, as to the Lord and not to men,
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 8] because you know that the Lord will reward each one for whatever good he does, whether he is slave or free.
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 9] And masters, do the same for your slaves. Give up your use of threats, because you know that He who is both their Master and yours is in heaven, and there is no favoritism with Him.
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 10] Finally, be strong in the Lord and in His mighty power.
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 11] Put on the full armor of God, so that you can make your stand against the devil’s schemes.
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 12] For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this world’s darkness, and against the spiritual forces of evil in the heavenly realms.
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 13] Therefore take up the full armor of God, so that when the day of evil comes, you will be able to stand your ground, and having done everything, to stand.
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 14] Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness arrayed,
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 15] and with your feet fitted with the readiness of the gospel of peace.
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 16] In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one.
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 17] And take the helmet of salvation and the sword of the Spirit, which is the word of God.
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 18] Pray in the Spirit at all times, with every kind of prayer and petition. To this end, stay alert with all perseverance in your prayers for all the saints.
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 19] Pray also for me, that whenever I open my mouth, words may be given me so that I will boldly make known the mystery of the gospel,
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 20] for which I am an ambassador in chains. Pray that I may proclaim it fearlessly, as I should.
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 21] Tychicus, the beloved brother and faithful servant in the Lord, will tell you everything, so that you also may know about me and what I am doing.
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 22] I have sent him to you for this very purpose, that you may know about us, and that he may encourage your hearts.
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 23] Peace to the brothers and love with faith from God the Father and the Lord Jesus Christ.
[BSB | EN | NT | Ephesians | Chapter 6 | Verse 24] Grace to all who love our Lord Jesus Christ with an undying love.
