[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 1] आणि तुम्ही विवाहित स्त्रियांनो, आपल्या पतीच्या अधीन रहा; म्हणजे कोणी वचनाला अमान्य असेल, तरी तुमचे भीडस्तपणाचे निर्मळ वर्तन पाहून ते वचनांवाचून आपल्या स्त्रियांच्या वर्तनाने मिळवून घेतले जावे कारण ते तुमचे शुद्ध, आदराचे आचरण पाहतील.
[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 2] <range>
[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 3] तुमची शोभा ही केस गुंफणे, सोन्याची दागिने घालणे आणि उंची वस्त्रे वापरणे ह्यांची बाहेरची शोभा असू नये;
[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 4] पण अंतःकरणात गुप्त राहणार्‍या मानवी स्वभावात, म्हणजे देवाच्या दृष्टीने बहुमोल असलेल्या, सौम्य आणि शांत आत्म्याच्या अविनाशी भूषणात ती असावी.
[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 5] कारण देवावर आशा ठेवणार्‍या, प्राचीन काळच्या, पवित्र स्त्रियांनीही अशाप्रकारे आपल्या पतीच्या अधीन राहून स्वतःला शोभवत असत.
[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 6] उदाहरणार्थ, सारेनेही अब्राहामाला धनी म्हणून त्याच्या आज्ञा पाळल्या. तुम्ही चांगले करीत असाल आणि कोणत्याही भयाला भीत नसाल तर तुम्ही तिच्या मुली झाला आहात.
[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 7] पतींनो, तुम्हीही आपल्या पत्नीला अधिक नाजूक पात्राप्रमाणे, आपल्या ज्ञानानुसार, मान द्या आणि जीवनाच्या कृपेचे जोडीचे वारीस म्हणून एकत्र रहा, म्हणजे तुमच्या प्रार्थनेत व्यत्यय येवू नये.
[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 8] शेवटी सर्वजण एकमनाचे व्हा आणि एकभावाचे होऊन बंधुप्रेम बाळगणारे, कनवाळू व प्रेमळ मनाचे व्हा.
[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 9] तर वाईटाबद्दल वाईट आणि निंदेबद्दल निंदा, अशी परतफेड करू नका, पण आशीर्वाद द्या कारण ह्यासाठीच तुम्हास पाचारण करण्यात आले आहे; म्हणजे तुम्हास आशीर्वाद हे वतन मिळावे.
[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 10] कारण, “जो जीविताची आवड धरतो व चांगले दिवस बघावेत अशी इच्छा करतो त्याने वाईटापासून आपली जीभ कपटी भाषणापासून, आपले ओठ आवरावेत
[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 11] त्याने वाईट सोडून चांगले करावे, शांतीचा शोध करून तिला अनुसरावे.
[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 12] कारण परमेश्वराचे डोळे नीतिमानांवर असतात व त्याचे कान त्यांच्या विनंतीकडे असतात पण वाईट करणार्‍यावर परमेश्वराची करडी नजर असते.”
[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 13] आणि तुम्ही जर चांगल्याविषयी आवेशी झाला, तर कोण तुमचे वाईट करील?
[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 14] पण, नीतिमत्त्वाकरता तुम्ही सोसले तर तुम्ही धन्य! त्यांच्या भयाने भिऊ नका किंवा अस्वस्थ होऊ नका.
[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 15] पण ख्रिस्ताला प्रभू म्हणून आपल्या अंतःकरणात पवित्र माना व तुमच्या आशेचे कारण विचारणार्‍या प्रत्येक मनुष्यास सौम्यतेने व आदराने प्रत्युत्तर देण्यास तुम्ही नेहमी तयार असा.
[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 16] आणि चांगला विवेक ठेवा; म्हणजे, तुमच्याविषयी वाईट बोलत असता, ख्रिस्तातील तुमच्या चांगल्या आचरणावर खोटे आरोप करणार्‍यांना लाज वाटावी.
[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 17] कारण चांगले केल्याबद्दल तुम्ही सोसावे हे जर देवाला बरे वाटते, तर वाईट केल्याबद्दल सोसण्यापेक्षा ते अधिक बरे.
[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 18] कारण, आपल्याला देवाकडे आणण्यास ख्रिस्तसुद्धा पापांसाठी, नीतिमान अनीतिमान लोकांसाठी, एकदा मरण पावला. तो देहाने मारला गेला, पण आत्म्याने जिवंत केला गेला.
[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 19] आणि तो त्याद्वारे गेला व त्याने तुरूंगातल्या आत्म्यांना घोषणा केली.
[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 20] नोहाच्या दिवसात, तारू तयार होतेवेळी, देवाची सहनशीलता प्रतीक्षा करीत असता, पूर्वी ज्यांनी अवमान केला ते हे होते. त्या तारवात केवळ थोडे, म्हणजे आठ जीव, पाण्याकडून तारले गेले.
[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 21] आतासुद्धा, त्याचे प्रतिरूप असा बाप्तिस्मा; देहाचा मळ काढून नाही, पण चांगल्या विवेकाने देवाला दिलेले वचन म्हणून, येशू ख्रिस्ताच्या पुनरुत्थानाकडून आपल्याला तारतो.
[IRV | MR | NT | 1 Peter | Chapter 3 | Verse 22] तो स्वर्गात गेला असून देवाच्या उजवीकडे आहे आणि देवदूत, अधिकारी व सत्ताधीश त्याच्या अधीन आहेत.
