[IRV | KN | NT | Matthew | Chapter 15 | Verse 1] ತರುವಾಯ ಯೆರೂಸಲೇಮಿನಿಂದ ಫರಿಸಾಯರೂ, ಶಾಸ್ತ್ರಿಗಳೂ ಯೇಸುವಿನ ಬಳಿಗೆ ಬಂದು,
[IRV | KN | NT | Matthew | Chapter 15 | Verse 2] “ನಿನ್ನ ಶಿಷ್ಯರು ಹಿರಿಯರ ಸಂಪ್ರದಾಯವನ್ನು ಏಕೆ ಉಲ್ಲಂಘಿಸುತ್ತಾರೆ? ಅವರು ತಿನ್ನುವಾಗ ತಮ್ಮ ಕೈ ತೊಳೆದುಕೊಳ್ಳುವುದಿಲ್ಲ” ಎಂದು ಕೇಳಿದರು.
[IRV | KN | NT | Matthew | Chapter 15 | Verse 3] ಅದಕ್ಕೆ ಆತನು ಅವರಿಗೆ ಪ್ರತ್ಯುತ್ತರವಾಗಿ ಹೇಳಿದ್ದೇನೆಂದರೆ, “ನೀವು ಸಹ ನಿಮ್ಮ ಸಂಪ್ರದಾಯದ ನಿಮಿತ್ತವಾಗಿ ದೇವರ ಆಜ್ಞೆಯನ್ನು ಏಕೆ ಉಲ್ಲಂಘಿಸುತ್ತೀರಿ?
[IRV | KN | NT | Matthew | Chapter 15 | Verse 4] ಹೇಗೆಂದರೆ‘ತಂದೆತಾಯಿಗಳನ್ನು ಸನ್ಮಾನಿಸಬೇಕೆಂತಲೂತಂದೆಯನ್ನಾಗಲಿ ತಾಯಿಯನ್ನಾಗಲಿ ದೂಷಿಸುವವನು ಸಾಯಲೇಬೇಕೆಂತಲೂ’ ದೇವರು ಹೇಳಿದ್ದಾನೆ.
[IRV | KN | NT | Matthew | Chapter 15 | Verse 5] ನೀವೋ, ‘ಯಾವನಾದರೂ ತನ್ನ ತಂದೆಯನಾಗಲಿ, ತಾಯಿಯನ್ನಾಗಲಿ, ನೋಡಿ ನಾನು ನಿಮ್ಮ ಸಂರಕ್ಷಣೆಗಾಗಿ ಕೊಡತಕ್ಕದ್ದನ್ನು ದೇವರಿಗೆ ಮುಡಿಪುಮಾಡಿದ್ದೇನೆ’ ಎಂದು ಹೇಳಿದರೆ,
[IRV | KN | NT | Matthew | Chapter 15 | Verse 6] ಅವನು ‘ತನ್ನ ತಂದೆತಾಯಿಗಳನ್ನು ಸನ್ಮಾನಿಸಬೇಕಾಗಿಲ್ಲ’ ಅನ್ನುತ್ತೀರಿ. ಹೀಗೆ ನಿಮ್ಮ ಸಂಪ್ರದಾಯದ ಸಲುವಾಗಿ ದೇವರ ವಾಕ್ಯವನ್ನು ನಿರರ್ಥಕ ಮಾಡಿದ್ದೀರಿ.
[IRV | KN | NT | Matthew | Chapter 15 | Verse 7] ಕಪಟಿಗಳೇ, ನಿಮ್ಮ ಕುರಿತು ಯೆಶಾಯನು ಸರಿಯಾಗಿ ಪ್ರವಾದಿಸಿ, ಅವನು ಹೇಳಿರುವುದೇನೆಂದರೆ,
[IRV | KN | NT | Matthew | Chapter 15 | Verse 8] “ಈ ಜನರು ತಮ್ಮ ತುಟಿಗಳಿಂದ ನನ್ನನ್ನು ಸನ್ಮಾನಿಸುತ್ತಾರೆ ಆದರೆ ಅವರ ಹೃದಯವು ನನ್ನಿಂದ ದೂರವಾಗಿದೆ.
[IRV | KN | NT | Matthew | Chapter 15 | Verse 9] ಮನುಷ್ಯರು ಕಲ್ಪಿಸಿದ ಕಟ್ಟಳೆಗಳನ್ನೇ ಅವರು ಉಪದೇಶವಾಗಿ ಬೋಧಿಸುತ್ತಿರುವುದರಿಂದ ನನ್ನನ್ನು ವ್ಯರ್ಥವಾಗಿ ಆರಾಧಿಸುವರು” ಎಂಬುದೇ.
[IRV | KN | NT | Matthew | Chapter 15 | Verse 10] ಆ ಮೇಲೆ ಯೇಸು ಜನರ ಗುಂಪನ್ನು ಹತ್ತಿರಕ್ಕೆ ಕರೆದು ಅವರಿಗೆ, “ಕೇಳಿ ತಿಳಿದುಕೊಳ್ಳಿರಿ,
[IRV | KN | NT | Matthew | Chapter 15 | Verse 11] ಬಾಯೊಳಕ್ಕೆ ಹೋಗುವಂಥದ್ದು ಮನುಷ್ಯನನ್ನು ಅಶುದ್ಧಿಗೊಳಿಸುವುದಿಲ್ಲ. ಬಾಯೊಳಗಿಂದ ಹೊರಗೆ ಬರುವಂಥ ಮಾತು ಮನುಷ್ಯನನ್ನು ಅಶುದ್ಧಗೊಳಿಸುವುದು” ಎಂದು ಹೇಳಿದನು.
