[IRV | KN | NT | Matthew | Chapter 27 | Verse 1] ಬೆಳಗಾಗಲು ಎಲ್ಲಾ ಮುಖ್ಯಯಾಜಕರೂ, ಜನರ ಹಿರಿಯರೂ ಯೇಸುವನ್ನು ಕೊಲ್ಲಿಸಬೇಕೆಂದು ಸಂಚುಮಾಡಿಕೊಂಡು,
[IRV | KN | NT | Matthew | Chapter 27 | Verse 2] ಆತನನ್ನು ಕಟ್ಟಿಸಿ ಕರೆದುಕೊಂಡು ಹೋಗಿ ದೇಶಾಧಿಪತಿಯಾದ ಪಿಲಾತನಿಗೆ ಒಪ್ಪಿಸಿದರು.
[IRV | KN | NT | Matthew | Chapter 27 | Verse 3] ಆಗ ಆತನನ್ನು ದ್ರೋಹದಿಂದ ಹಿಡಿದುಕೊಟ್ಟಿದ್ದ ಯೂದನು ಯೇಸುವಿಗೆ ಮರಣದಂಡನೆಯ ತೀರ್ಪು ಆಗಿರುವುದನ್ನು ನೋಡಿ, ಪಶ್ಚಾತ್ತಾಪಪಟ್ಟು, ಆ ಮೂವತ್ತು ಬೆಳ್ಳಿ ನಾಣ್ಯಗಳನ್ನು ಮುಖ್ಯಯಾಜಕರಿಗೂ ಹಿರಿಯರಿಗೂ ಹಿಂದಿರುಗಿಸಿದನು.
[IRV | KN | NT | Matthew | Chapter 27 | Verse 4] “ನಿರಪರಾಧಿಯನ್ನು ಮರಣಕ್ಕೆ ಒಪ್ಪಿಸಿಕೊಟ್ಟು ನಾನು ಪಾಪ ಮಾಡಿದ್ದೇನೆ” ಅಂದನು. ಅದಕ್ಕವರು, “ಅದು ನಮಗೇನು? ನೀನೇ ನೋಡಿಕೋ” ಅಂದರು.
[IRV | KN | NT | Matthew | Chapter 27 | Verse 5] ಆಗ ಅವನು ದೇವಾಲಯದಲ್ಲಿ ಆ ಹಣವನ್ನು ಎಸೆದು ಹೊರಟುಹೋಗಿ ನೇಣು ಹಾಕಿಕೊಂಡು ಸತ್ತನು.
[IRV | KN | NT | Matthew | Chapter 27 | Verse 6] ಮುಖ್ಯಯಾಜಕರು ಆ ಹಣವನ್ನು ತೆಗೆದುಕೊಂಡು “ಇದು ಜೀವಹತ್ಯೆಗೆ ಕೊಟ್ಟ ಕ್ರಯವಾದುದರಿಂದ ಇದನ್ನು ಕಾಣಿಕೆ ಪೆಟ್ಟಿಗೆಯಲ್ಲಿ ಹಾಕಬಾರದು” ಎಂದರು.
[IRV | KN | NT | Matthew | Chapter 27 | Verse 7] ಬಳಿಕ ಆಲೋಚನೆಮಾಡಿ ಪರದೇಶಿಗಳನ್ನು ಹೂಣಿಡುವುದಕ್ಕೋಸ್ಕರ ಅದರಿಂದ ಕುಂಬಾರನ ಹೊಲವೆಂಬ ಭೂಮಿಯನ್ನು ಕೊಂಡುಕೊಂಡರು.
[IRV | KN | NT | Matthew | Chapter 27 | Verse 8] ಈ ಕಾರಣದಿಂದ ಇಂದಿನವರೆಗೂ ಆ ಹೊಲಕ್ಕೆ “ಜೀವಹತ್ಯದ ಹೊಲವೆಂಬ” ಹೆಸರು ಇದೆ.
[IRV | KN | NT | Matthew | Chapter 27 | Verse 9] ಅದೇನೆಂದರೆ, “ಇಸ್ರಾಯೇಲ್ ಜನರಿಂದ ಅವನಿಗೆ ನಿರ್ಣಯಿಸಿದಂಥ ಕ್ರಯವಾದ ಆ ಮೂವತ್ತು ಬೆಳ್ಳಿ ನಾಣ್ಯಗಳನ್ನು ತೆಗೆದುಕೊಂಡು, ಕರ್ತನು ನನಗೆ ಅಪ್ಪಣೆಮಾಡಿದಂತೆ
[IRV | KN | NT | Matthew | Chapter 27 | Verse 10] ಅವರು ಅದನ್ನು ಕುಂಬಾರನ ಹೊಲಕ್ಕಾಗಿ ಕೊಟ್ಟರು.” ಹೀಗೆ ಪ್ರವಾದಿಯಾದ ಯೆರೆಮೀಯನು ಹೇಳಿದ ಮಾತು ನೆರವೇರಿತು.
[IRV | KN | NT | Matthew | Chapter 27 | Verse 11] ಯೇಸು ದೇಶಾಧಿಪತಿಯ ಮುಂದೆ ನಿಂತಿರುವಾಗ ದೇಶಾಧಿಪತಿಯು ಆತನನ್ನು, “ನೀನು ಯೆಹೂದ್ಯರ ಅರಸನೋ?” ಎಂದು ಕೇಳಿದನು. ಯೇಸು, “ನೀನೇ ಹೇಳಿದ್ದೀ” ಅಂದನು.
[IRV | KN | NT | Matthew | Chapter 27 | Verse 12] ಮತ್ತು ಮುಖ್ಯಯಾಜಕರೂ ಹಿರಿಯರೂ ಆತನ ಮೇಲೆ ದೂರುಹೇಳುತ್ತಿರುವಾಗ ಆತನು ಏನೂ ಉತ್ತರ ಕೊಡಲಿಲ್ಲ,
[IRV | KN | NT | Matthew | Chapter 27 | Verse 13] ನಂತರ ಪಿಲಾತನು ಆತನನ್ನು, “ನಿನ್ನ ವಿರುದ್ಧ ಇಷ್ಟು ಸಾಕ್ಷಿ ಹೇಳುತ್ತಿದ್ದಾರೆ, ನಿನಗೆ ಕೇಳಿಸುತ್ತಿಲ್ಲವೋ?” ಎಂದು ಕೇಳಿದನು.
[IRV | KN | NT | Matthew | Chapter 27 | Verse 14] ಆತನು ಅವನ ಯಾವ ಮಾತುಗಳಿಗೂ ಉತ್ತರಕೊಡಲಿಲ್ಲ. ಅದನ್ನು ನೋಡಿ ದೇಶಾಧಿಪತಿಯು ತುಂಬಾ ಆಶ್ಚರ್ಯಪಟ್ಟನು.
[IRV | KN | NT | Matthew | Chapter 27 | Verse 15] ಆದರೆ ಆ ಹಬ್ಬದಲ್ಲಿ ಜನರು ಅಪೇಕ್ಷಿಸುವ ಸೆರೆಯವನನ್ನು ಅವರಿಗೆ ಬಿಟ್ಟುಕೊಡುವುದು ದೇಶಾಧಿಪತಿಯ ಪದ್ಧತಿಯಾಗಿತ್ತು.
