[LXX | EL | OT | Judges | Chapter 11 | Verse 1] Καὶ Ἰεφθάε ὁ Γαλααδίτης ἐπῃρμένος δυνάμει, καὶ αὐτὸς υἱοῖς γυναικὸς πόρνης, ἣ ἐγέννησε τῷ Γαλαὰδ τὸν Ἰεφθάε.
[LXX | EL | OT | Judges | Chapter 11 | Verse 2] Καὶ ἔτεκεν ἡ γυνὴ Γαλαὰδ αὐτῷ υἱούς· καὶ ἡδρύνθησαν οἱ υἱοὶ τῆς γυναικὸς, καὶ ἐξέβαλον τὸν Ἰεφθάε, καὶ εἶπαν αὐτῷ, οὐ κληρονομήσεις ἐν τῷ οἴκῳ τοῦ πατρὸς ἡμῶν, ὅτι υἱὸς γυναικὸς ἑταίρας σύ.
[LXX | EL | OT | Judges | Chapter 11 | Verse 3] Καὶ ἔφυγεν Ἰεφθάε ἀπὸ προσώπου τῶν ἀδελφῶν αὐτοῦ, καὶ ᾤκησεν ἐν γῇ Τώβ· καὶ συνεστράφησαν πρὸς Ἰεφθάε ἄνδρες κενοὶ, καὶ ἐξῆλθον μετʼ αὐτοῦ.
[LXX | EL | OT | Judges | Chapter 11 | Verse 4] Καὶ ἐγένετο ἡνίκα παρετάξαντο οἱ υἱοὶ Ἀμμῶν μετὰ Ἰσραὴλ,
[LXX | EL | OT | Judges | Chapter 11 | Verse 5] καὶ ἐπορεύθησαν οἱ πρεσβύτεροι Γαλαὰδ λαβεῖν τὸν Ἰεφθάε ἀπὸ τῆς γῆς Τὼβ,
[LXX | EL | OT | Judges | Chapter 11 | Verse 6] καὶ εἶπαν τῷ Ἰεφθάε, δεῦρο καὶ ἔσῃ ἡμῖν εἰς ἀρχηγὸν, καὶ παραταξόμεθα πρὸς υἱοὺς Ἀμμών.
[LXX | EL | OT | Judges | Chapter 11 | Verse 7] Καὶ εἶπεν Ἰεφθάε τοῖς πρεσβυτέροις Γαλαὰδ, οὐχὶ ὑμεῖς ἐμισήσατέ με, καὶ ἐξεβάλετέ με ἐκ τοῦ οἴκου τοῦ πατρός μου, καὶ ἐξαπεστείλατέ με ἀφʼ ὑμῶν; καὶ διατί ἤλθατε πρὸς μὲ νῦν ἡνίκα χρῄζετε;
[LXX | EL | OT | Judges | Chapter 11 | Verse 8] Καὶ εἶπαν οἱ προσβύτεροι Γαλαὰδ πρὸς Ἰεφθάε, διὰ τοῦτο νῦν ἐπεστρέψαμεν πρὸς σὲ, καὶ πορεύσῃ μεθʼ ἡμῶν, καὶ παρατάξῃ πρὸς υἱοὺς Ἀμμὼν, καὶ ἔσῃ ἡμῖν εἰς ἄρχοντα πᾶσι τοῖς κατοικοῦσι Γαλαάδ.
[LXX | EL | OT | Judges | Chapter 11 | Verse 9] Καὶ εἶπεν Ἰεφθάε πρὸς τοὺς πρεσβυτέρους Γαλαὰδ, εἰ ἐπιστρέφετέ με ὑμεῖς παρατάξασθαι ἐν υἱοῖς Ἀμμὼν, καὶ παραδῷ αὐτοὺς Κύριος ἐνώπιον ἐμοῦ, καὶ ἐγὼ ὑμῖν ἔσομαι εἰς ἄρχοντα.
[LXX | EL | OT | Judges | Chapter 11 | Verse 10] Καὶ εἶπαν οἱ πρεσβύτεροι Γαλαὰδ πρὸς Ἰεφθάε, Κύριος ἔστω ἀκούων ἀναμέσον ἡμῶν, εἰ μὴ κατὰ τὸ ῥῆμά σου οὕτω ποιήσομεν.
[LXX | EL | OT | Judges | Chapter 11 | Verse 11] Καὶ ἐπορεύθη Ἰεφθάε μετὰ τῶν πρεσβυτέρων Γαλαὰδ, καὶ ἔθηκαν αὐτὸν ὁ λαὸς ἐπʼ αὐτοὺς εἰς κεφαλὴν καὶ εἰς ἀρχηγόν· καὶ ἐλάλησεν Ἰεφθαέ πάντας τοὺς λόγους αὐτοῦ ἐνώπιον Κυρίου ἐν Μασσηφά.
