[LXX | EL | OT | Judges | Chapter 8 | Verse 1] Καὶ εἶπαν πρὸς Γεδεὼν ἀνὴρ Ἐφραὶμ, τί τὸ ῥῆμα τοῦτο ἐποίησας ἡμῖν, τοῦ μὴ καλέσαι ἡμᾶς ὅτε ἐπορεύθης παρατάξασθαι ἐν Μαδιάμ; καὶ διελέξαντο πρὸς αὐτὸν ἰσχυρῶς.
[LXX | EL | OT | Judges | Chapter 8 | Verse 2] Καὶ εἶπε πρὸς αὐτοὺς, τί ἐποίησα νῦν καθὼς ὑμεῖς; ἢ οὐχὶ κρείττῶν ἐπιφυλλὶς Ἐφραὶμ ἢ τρυγητὸς Ἀβιέζερ;
[LXX | EL | OT | Judges | Chapter 8 | Verse 3] Ἐν χειρὶ ὑμῶν παρέδωκε Κύριος τοὺς ἄρχοντας Μαδιὰμ, τὸν Ὠρὴβ καὶ τὸν Ζήβ· καὶ τί ἠδυνήθην ποιῆσαι ὡς ὑμεῖς; τότε ἀνέθη τὸ πνεῦμα αὐτῶν ἀπʼ αὐτοῦ ἐν τῷ λαλῆσαι αὐτὸν τὸν λόγον τοῦτον.
[LXX | EL | OT | Judges | Chapter 8 | Verse 4] Καὶ ἦλθε Γεδεὼν ἐπὶ τὸν Ἰορδανὴν, καὶ διέβη αὐτὸς καὶ οἱ τριακόσιοι ἄνδρες οἱ μετʼ αὐτοῦ πεινῶντες καὶ διώκοντες.
[LXX | EL | OT | Judges | Chapter 8 | Verse 5] Καὶ εἶπε τοῖς ἀνδράσι Σοκχὼθ, δότε δὴ ἄρτους εἰς τροφὴν τῷ λαῷ τούτῳ τῷ ἐν ποσί μου, ὅτι ἐκλείπουσι, καὶ ἰδοὺ ἐγώ εἰμι διώκων ὀπίσω τοῦ Ζεβεὲ καὶ Σαλμανὰ βασιλέων Μαδιάμ.
[LXX | EL | OT | Judges | Chapter 8 | Verse 6] Καὶ εἶπον οἱ ἄρχοντες Σοκχὼθ, μὴ χεὶρ Ζεβεὲ καὶ Σαλμανὰ νῦν ἐν χειρί σου, ὅτι δώσομεν τῇ δυνάμει σου ἄρτους;
[LXX | EL | OT | Judges | Chapter 8 | Verse 7] Καὶ εἶπε Γεδεὼν, διὰ τοῦτο ἐν τῷ δοῦναι Κύριον τὸν Ζεβεὲ καὶ τὸν Σαλμανὰ ἐν χειρί μου, καὶ ἐγὼ ἀλοήσω τὰς σάρκας ὑμῶν ἐν ταῖς ἀκάνθαις τῆς ἐρήμου, καὶ ἐν ταῖς Βαρκηνίμ.
[LXX | EL | OT | Judges | Chapter 8 | Verse 8] Καὶ ἀνέβη ἐκεῖθεν εἰς Φανουὴλ, καὶ ἐλάλησε πρὸς αὐτοὺς ὡσαύτως· καὶ ἀπεκρίθησαν αὐτῷ οἱ ἄνδρες Φανουὴλ ὃν τρόπον ἀπεκρίθησαν ἄνδρες Σοκχώθ.
[LXX | EL | OT | Judges | Chapter 8 | Verse 9] Καὶ εἶπε Γεδεὼν πρὸς ἄνδρας Φανουὴλ, ἐν ἐπιστροφῇ μου μετʼ εἰρήνης, κατασκάψω τὸν πύργον τοῦτον.
[LXX | EL | OT | Judges | Chapter 8 | Verse 10] Καὶ Ζεβεὲ καὶ Σαλμανὰ ἐν Καρκὰρ, καὶ ἡ παρεμβολὴ αὐτῶν μετʼ αὐτῶν ὡσεὶ δεκαπέντε χιλιάδες, πάντες οἱ καταλελειμμένοι ἀπὸ πάσης παρεμβολῆς ἀλλοφύλων· καὶ οἱ πεπτωκότες, ἑκατὸν εἴκοσι χιλιάδες ἀνδρῶν σπωμένων ῥομφαίαν.
[LXX | EL | OT | Judges | Chapter 8 | Verse 11] Καὶ ἀνέβη Γεδεὼν ὁδὸν τῶν σκηνούντων ἐν σκηναῖς ἀπὸ ἀνατολῶν τῆς Ναβαὶ καὶ Ἰεγεβάλ· καὶ ἐπάταξε τὴν παρεμβολὴν, καὶ ἡ παρεμβολὴ ἦν πεποιθυῖα.
[LXX | EL | OT | Judges | Chapter 8 | Verse 12] Καὶ ἔφυγον Ζεβεὲ καὶ Σαλμανά· καὶ ἐδίωξεν ὀπίσω αὐτῶν, καὶ ἐκράτησε τοὺς δύο βασιλεῖς Μαδιὰμ τὸν Ζεβεὲ καὶ τὸν Σαλμανὰ, καὶ πᾶσαν τὴν παρεμβολὴν ἐξέστησε.
[LXX | EL | OT | Judges | Chapter 8 | Verse 13] Καὶ ἐπέστρεψε Γεδεὼν υἱὸς Ἰωὰς ἀπὸ τῆς παρατάξεως ἀπὸ ἐπάνωθεν τῆς παρατάξεως Ἀρές.
[LXX | EL | OT | Judges | Chapter 8 | Verse 14] Καὶ συνέλαβε παιδάριον ἀπὸ τῶν ἀνδρῶν Σοκχὼθ, καὶ ἐπηρώτησεν αὐτόν· καὶ ἔγραψε πρὸς αὐτὸν ὀνόματα τῶν ἀρχόντων Σοκχὼθ καὶ τῶν πρεσβυτέρων αὐτῶν, ἑβδομήκοντα καὶ ἑπτὰ ἄνδρας.
[LXX | EL | OT | Judges | Chapter 8 | Verse 15] Καὶ παρεγένετο Γεδεὼν πρὸς τοὺς ἄρχοντας Σοκχὼθ, καὶ εἶπεν, ἰδοὺ Ζεβεὲ καὶ Σαλμανὰ, ἐν οἷς ὠνειδίσατέ με, λέγοντες, μὴ χεὶρ Ζεβεὲ καὶ Σαλμανὰ νῦν ἐν χειρί σου, ὅτι δώσομεν τοῖς ἀνδράσι σου τοῖς ἐκλείπουσιν ἄρτους;
[LXX | EL | OT | Judges | Chapter 8 | Verse 16] Καὶ ἔλαβε τοὺς πρεσβυτέρους τῆς πόλεως ἐν ταῖς ἀκάνθαις τῆς ἐρήμου καὶ ταῖς Βαρκηνὶμ, καὶ ἠλόησεν ἐν αὐτοῖς τοὺς ἄνδρας τῆς πόλεως·
[LXX | EL | OT | Judges | Chapter 8 | Verse 17] Καὶ τὸν πύργον Φανουὴλ κατέστρεψε, καὶ ἀπέκτεινε τοὺς ἄνδρας τῆς πόλεως.
[LXX | EL | OT | Judges | Chapter 8 | Verse 18] Καὶ εἶπε πρὸς Ζεβεὲ καὶ Σαλμανὰ, ποῦ οἱ ἄνδρες, οὓς ἀπεκτείνατε ἐν Θαβώρ; καὶ εἶπαν, ὡς σὺ, ὡς αὐτοὶ, εἰς ὁμοίωμα υἱοῦ βασιλέως.
[LXX | EL | OT | Judges | Chapter 8 | Verse 19] Καὶ εἶπε Γεδεὼν, ἀδελφοί μου καὶ υἱοὶ τῆς μητρός μου ἦσαν· ζῇ Κύριος· εἰ ἐζωογονήκειτε αὐτοὺς, οὐκ ἂν ἀπέκτεινα ὑμᾶς.
[LXX | EL | OT | Judges | Chapter 8 | Verse 20] Καὶ εἶπεν Ἰεθὲρ τῷ πρωτοτόκῳ αὐτοῦ, ἀναστὰς, ἀπόκτεινον αὐτούς· καὶ οὐκ ἔσπασε τὸ παιδάριον τὴν ῥομφαίαν αὐτοῦ, ὅτι ἐφοβήθη, ὅτι ἔτι νεώτερος ἦν.
