[LXX | EL | OT | Judges | Chapter 5 | Verse 1] Καὶ ἦσαν Δεββῶρα καὶ Βαρὰκ υἱὸς Ἀβινεὲμ ἐν τῇ ἡμέρᾳ ἐκείνῃ, λέγοντες,
[LXX | EL | OT | Judges | Chapter 5 | Verse 2] Ἀπεκαλύφθη ἀποκάλυμμα ἐν Ἰσραὴλ ἐν τῷ ἑκουσιασθῆναι λαὸν, εὐλογεῖτε Κύριον.
[LXX | EL | OT | Judges | Chapter 5 | Verse 3] Ἀκούσατε βασιλεῖς, καὶ ἐνωτίσασθε σατράπαι· ᾄσομαι ἐγώ εἰμι τῷ Κυρίῳ ἐγώ εἰμι, ψαλῶ τῷ Κυρίῳ τῷ Θεῷ Ἰσραήλ.
[LXX | EL | OT | Judges | Chapter 5 | Verse 4] Κύριε, ἐν τῇ ἐξόδῳ σου ἐν Σηεὶρ, ἐν τῷ ἀπαίρειν σε ἐξ ἀγροῦ Ἐδὼμ, γῆ ἐσείσθη, καὶ ὁ οὐρανὸς ἔσταξε δρόσους, καὶ αἱ νεφέλαι ἔσταξαν ὕδωρ.
[LXX | EL | OT | Judges | Chapter 5 | Verse 5] Ὄρη ἐσαλεύθησαν ἀπὸ προσώπου Κυρίου Ἐλωῒ, τοῦτο Σινὰ ἀπὸ προσώπου Κυρίου Θεοῦ Ἰσραήλ.
[LXX | EL | OT | Judges | Chapter 5 | Verse 6] Ἐν ἡμέραις Σαμεγὰρ υἱοῦ Ἀνὰθ, ἐν ἡμέραις Ἰαὴλ, ἐξέλιπον ὁδοὺς, καὶ ἐπορεύθησαν ἀτραποὺς, ἐπορεύθησαν ὁδοὺς διεστραμμένας.
[LXX | EL | OT | Judges | Chapter 5 | Verse 7] Ἐξέλιπον δυνατοὶ ἐν Ἰσραὴλ, ἐξέλιπον ἕως οὗ ἀνέστη Δεββῶρα, ἕως οὗ ἀνέστη μήτηρ ἐν Ἰσραήλ.
[LXX | EL | OT | Judges | Chapter 5 | Verse 8] Ἐξελέξαντο θεοὺς καινοὺς, τότε ἐπολέμησαν πόλεις ἀρχόντων· θυρεὸς ἐὰν ὀφθῇ καὶ λόγχη ἐν τεσσαράκοντα χιλιάσιν ἐν Ἰσραήλ.
[LXX | EL | OT | Judges | Chapter 5 | Verse 9] Ἡ καρδία μου εἰς τὰ διατεταγμένα τῷ Ἰσραήλ· οἱ ἑκούσιαζόμενοι ἐν λαῷ εὐλογεῖτε Κύριον.
[LXX | EL | OT | Judges | Chapter 5 | Verse 10] Ἐπιβεβηκότες ἐπὶ ὄνου θηλείας μεσημβρίας, καθήμενοι ἐπὶ κριτηρίου, καὶ πορευόμενοι ἐπὶ ὁδοὺς συνέδρων ἐφʼ ὁδῷ,
[LXX | EL | OT | Judges | Chapter 5 | Verse 11] διηγεῖσθε, ἀπὸ φωνῆς ἀνακρουομένων ἀναμέσον ὑδρευομένων· ἐκεῖ δώσουσι δικαιοσύνας· Κύριε δικαιοσύνας αὔξησον ἐν Ἰσραήλ· τότε κατέβη εἰς τὰς πόλεις λαὸς Κυρίου.
[LXX | EL | OT | Judges | Chapter 5 | Verse 12] Ἐξεγείρου, ἐξεγείρου, Δεββῶρα· ἐξεγείρου, ἐξεγείρου, λάλησον ᾠδήν· ἀνάστα Βαρὰκ, καὶ αἰχμαλώτισον αἰχμάλωσίαν σου υἱὸς Ἀβινεέμ.
