[GRCGTR | EL | NT | Titus | Chapter 2 | Verse 1] Σὺ δὲ λάλει ἃ πρέπει τῇ ὑγιαινούσῃ διδασκαλίᾳ·
[GRCGTR | EL | NT | Titus | Chapter 2 | Verse 2] πρεσβύτας νηφαλίους εἶναι, σεμνούς, σώφρονας, ὑγιαίνοντας τῇ πίστει, τῇ ἀγάπῃ, τῇ ὑπομονῇ·
[GRCGTR | EL | NT | Titus | Chapter 2 | Verse 3] πρεσβύτιδας ὡσαύτως ἐν καταστήματι ἱεροπρεπεῖς, μὴ διαβόλους, μὴ οἴνῳ πολλῷ δεδουλωμένας, καλοδιδασκάλους,
[GRCGTR | EL | NT | Titus | Chapter 2 | Verse 4] ἵνα σωφρονίζωσι τὰς νέας φιλάνδρους εἶναι, φιλοτέκνους,
[GRCGTR | EL | NT | Titus | Chapter 2 | Verse 5] σώφρονας, ἁγνάς, οἰκουρούς, ἀγαθάς, ὑποτασσομένας τοῖς ἰδίοις ἀνδράσιν, ἵνα μὴ ὁ λόγος τοῦ Θεοῦ βλασφημῆται·
[GRCGTR | EL | NT | Titus | Chapter 2 | Verse 6] τοὺς νεωτέρους ὡσαύτως παρακάλει σωφρονεῖν·
[GRCGTR | EL | NT | Titus | Chapter 2 | Verse 7] περὶ πάντα σεαυτὸν παρεχόμενος τύπον καλῶν ἔργων, ἐν τῇ διδασκαλίᾳ ἀδιαφθορίαν, σεμνότητα, + 2:7 ἀφθαρσίαν, ¦ — ELZ ἀφθαρσίαν,
[GRCGTR | EL | NT | Titus | Chapter 2 | Verse 8] λόγον ὑγιῆ, ἀκατάγνωστον, ἵνα ὁ ἐξ ἐναντίας ἐντραπῇ, μηδὲν ἔχων περὶ ὑμῶν λέγειν φαῦλον.
[GRCGTR | EL | NT | Titus | Chapter 2 | Verse 9] Δούλους ἰδίοις δεσπόταις ὑποτάσσεσθαι, ἐν πᾶσιν εὐαρέστους εἶναι, μὴ ἀντιλέγοντας,
[GRCGTR | EL | NT | Titus | Chapter 2 | Verse 10] μὴ νοσφιζομένους, ἀλλὰ πίστιν πᾶσαν ἐνδεικνυμένους ἀγαθήν, ἵνα τὴν διδασκαλίαν τοῦ σωτῆρος + 2:10 ἡμῶν ¦ ὑμῶν ST ἡμῶν Θεοῦ κοσμῶσιν ἐν πᾶσιν.
[GRCGTR | EL | NT | Titus | Chapter 2 | Verse 11] Ἐπεφάνη γὰρ ἡ χάρις τοῦ Θεοῦ ἡ σωτήριος πᾶσιν ἀνθρώποις,
[GRCGTR | EL | NT | Titus | Chapter 2 | Verse 12] παιδεύουσα ἡμᾶς ἵνα, ἀρνησάμενοι τὴν ἀσέβειαν καὶ τὰς κοσμικὰς ἐπιθυμίας, σωφρόνως καὶ δικαίως καὶ εὐσεβῶς ζήσωμεν ἐν τῷ νῦν αἰῶνι,
[GRCGTR | EL | NT | Titus | Chapter 2 | Verse 13] προσδεχόμενοι τὴν μακαρίαν ἐλπίδα καὶ ἐπιφάνειαν τῆς δόξης τοῦ μεγάλου Θεοῦ καὶ σωτῆρος ἡμῶν Ἰησοῦ Χριστοῦ,
[GRCGTR | EL | NT | Titus | Chapter 2 | Verse 14] ὃς ἔδωκεν ἑαυτὸν ὑπὲρ ἡμῶν, ἵνα λυτρώσηται ἡμᾶς ἀπὸ πάσης ἀνομίας, καὶ καθαρίσῃ ἑαυτῷ λαὸν περιούσιον, ζηλωτὴν καλῶν ἔργων.
[GRCGTR | EL | NT | Titus | Chapter 2 | Verse 15] Ταῦτα λάλει, καὶ παρακάλει, καὶ ἔλεγχε μετὰ πάσης ἐπιταγῆς. Μηδείς σου περιφρονείτω.
