[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 1] Now that you have done with all malice, all deceitfulness, insincerity, jealous feelings, and all backbiting,
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 2] like newly born infants, crave pure spiritual milk, so that you may be enabled by it to grow until you attain salvation –
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 3] since “you have found by experience that the Lord is kind.”
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 4] Come to him, then, as to a living stone, rejected, indeed, by men, but in God’s eyes choice and precious;
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 5] and, as living stones, form yourselves into a spiritual house, to be a consecrated priesthood, for the offering of spiritual sacrifices that will be acceptable to God through Jesus Christ.
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 6] For there is a passage of scripture that runs – “See, I am placing in Zion a choice and precious cornerstone; and those who believe in him will have no cause for shame.”
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 7] It is to you, then, who believe in him that he is precious, but to those who do not believe he is “a stone which, though rejected by the builders, has now itself become the corner-stone,”
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 8] and “a stumbling-block, and a rock which will prove a hindrance.” They stumble because they do not accept the message. This was the fate destined for them.
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 9] But you are “a chosen people, a royal priesthood, a consecrated nation, God’s own people,” entrusted with the proclamation of the goodness of him who called you out of darkness into his wonderful light.
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 10] Once you were “not a people,” but now you are “God’s people”; once you “had not found mercy,” but now you “have found mercy.”
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 11] Dear friends, I beg you, as pilgrims and strangers on earth, to refrain from indulging the cravings of your earthly nature, for they make war on the soul.
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 12] Let your daily life among the Gentiles be so upright, that, whenever they malign you as evildoers, they may learn, as they watch, from the uprightness of your conduct, to praise God “at the time when he will visit them.”
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 13] Submit to all human institutions for the Lord’s sake, alike to the emperor as the supreme authority,
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 14] and to governors as sent by him to punish evildoers and to commend those who do right.
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 15] For God’s will is this – that you should silence the ignorance of foolish people by doing what is right.
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 16] Act as free people, yet not using your freedom as those do who make it a cloak for wickedness, but as Servants of God.
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 17] Show honour to everyone, love the Lord’s followers, “revere God, honour the emperor.”
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 18] Those of you who are domestic servants should always be submissive and respectful to their masters, not only to those who are good and considerate, but also to those who are arbitrary.
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 19] For this wins God’s approval when, because conscious of God’s presence, a person who is suffering unjustly bears their troubles patiently.
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 20] What credit can you claim when, after doing wrong, you take your punishment for it patiently? But, on the other hand, if, after doing right, you take your sufferings patiently, that does win the approval of God.
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 21] For it was to this that you were called! For Christ, too, suffered – on your behalf – and left you an example, that you should follow in his steps.
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 22] He “never sinned, nor was anything deceitful ever heard from his lips.”
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 23] He was abused, but he did not answer with abuse; he suffered, but he did not threaten; he entrusted himself to him whose judgments are just.
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 24] And he “himself carried our sins” in his own body to the cross, so that we might die to our sins, and live for righteousness. “His bruising was your healing.”
[OEB | EN | NT | 1 Peter | Chapter 2 | Verse 25] Once you were straying like sheep, but now you have returned to the shepherd and guardian of your souls.
