[BBE | EN | NT | Romans | Chapter 8 | Verse 1] For this cause those who are in Christ Jesus will not be judged as sinners.
[BBE | EN | NT | Romans | Chapter 8 | Verse 2] For the law of the Spirit of life in Christ Jesus has made me free from the law of sin and death.
[BBE | EN | NT | Romans | Chapter 8 | Verse 3] For what the law was not able to do because it was feeble through the flesh, God, sending his Son in the image of the evil flesh, and as an offering for sin, gave his decision against sin in the flesh:
[BBE | EN | NT | Romans | Chapter 8 | Verse 4] So that what was ordered by the law might be done in us, who are living, not in the way of the flesh, but in the way of the Spirit.
[BBE | EN | NT | Romans | Chapter 8 | Verse 5] For those who are living in the way of the flesh give their minds to the things of the flesh, but those who go in the way of the Spirit, to the things of the Spirit.
[BBE | EN | NT | Romans | Chapter 8 | Verse 6] For the mind of the flesh is death, but the mind of the Spirit is life and peace:
[BBE | EN | NT | Romans | Chapter 8 | Verse 7] Because the mind of the flesh is opposite to God; it is not under the law of God, and is not able to be:
[BBE | EN | NT | Romans | Chapter 8 | Verse 8] So that those who are in the flesh are not able to give pleasure to God.
[BBE | EN | NT | Romans | Chapter 8 | Verse 9] You are not in the flesh but in the Spirit, if the Spirit of God is in you. But if any man has not the Spirit of Christ he is not one of his.
[BBE | EN | NT | Romans | Chapter 8 | Verse 10] And if Christ is in you, the body is dead because of sin, but the Spirit is life because of righteousness.
[BBE | EN | NT | Romans | Chapter 8 | Verse 11] But if the Spirit of him who made Jesus come again from the dead is in you, he who made Christ Jesus come again from the dead will in the same way, through his Spirit which is in you, give life to your bodies which now are under the power of death.
[BBE | EN | NT | Romans | Chapter 8 | Verse 12] So then, my brothers, we are in debt, not to the flesh to be living in the way of the flesh:
[BBE | EN | NT | Romans | Chapter 8 | Verse 13] For if you go in the way of the flesh, death will come on you; but if by the Spirit you put to death the works of the body, you will have life.
[BBE | EN | NT | Romans | Chapter 8 | Verse 14] And all those who are guided by the Spirit of God are sons of God.
[BBE | EN | NT | Romans | Chapter 8 | Verse 15] For you did not get the spirit of servants again to put you in fear, but the spirit of sons was given to you, by which we say, Abba, Father.
[BBE | EN | NT | Romans | Chapter 8 | Verse 16] The Spirit is witness with our spirit that we are children of God:
[BBE | EN | NT | Romans | Chapter 8 | Verse 17] And if we are children, we have a right to a part in the heritage; a part in the things of God, together with Christ; so that if we have a part in his pain, we will in the same way have a part in his glory.
[BBE | EN | NT | Romans | Chapter 8 | Verse 18] I am of the opinion that there is no comparison between the pain of this present time and the glory which we will see in the future.
[BBE | EN | NT | Romans | Chapter 8 | Verse 19] For the strong desire of every living thing is waiting for the revelation of the sons of God.
[BBE | EN | NT | Romans | Chapter 8 | Verse 20] For every living thing was put under the power of change, not by its desire, but by him who made it so, in hope
[BBE | EN | NT | Romans | Chapter 8 | Verse 21] That all living things will be made free from the power of death and will have a part with the free children of God in glory.
[BBE | EN | NT | Romans | Chapter 8 | Verse 22] For we are conscious that all living things are weeping and sorrowing in pain together till now.
[BBE | EN | NT | Romans | Chapter 8 | Verse 23] And not only so, but we who have the first fruits of the Spirit, even we have sorrow in our minds, waiting for the time when we will take our place as sons, that is, the salvation of our bodies.
[BBE | EN | NT | Romans | Chapter 8 | Verse 24] For our salvation is by hope: but hope which is seen is not hope: for who is hoping for what he sees?
[BBE | EN | NT | Romans | Chapter 8 | Verse 25] But if we have hope for that which we see not, then we will be able to go on waiting for it.
[BBE | EN | NT | Romans | Chapter 8 | Verse 26] And in the same way the Spirit is a help to our feeble hearts: for we are not able to make prayer to God in the right way; but the Spirit puts our desires into words which are not in our power to say;
[BBE | EN | NT | Romans | Chapter 8 | Verse 27] And he who is the searcher of hearts has knowledge of the mind of the Spirit, because he is making prayers for the saints in agreement with the mind of God.
[BBE | EN | NT | Romans | Chapter 8 | Verse 28] And we are conscious that all things are working together for good to those who have love for God, and have been marked out by his purpose.
[BBE | EN | NT | Romans | Chapter 8 | Verse 29] Because those of whom he had knowledge before they came into existence, were marked out by him to be made like his Son, so that he might be the first among a band of brothers:
[BBE | EN | NT | Romans | Chapter 8 | Verse 30] And those who were marked out by him were named; and those who were named were given righteousness; and to those to whom he gave righteousness, in the same way he gave glory.
[BBE | EN | NT | Romans | Chapter 8 | Verse 31] What may we say about these things? If God is for us, who is against us?
[BBE | EN | NT | Romans | Chapter 8 | Verse 32] He who did not keep back his only Son, but gave him up for us all, will he not with him freely give us all things?
[BBE | EN | NT | Romans | Chapter 8 | Verse 33] Who will say anything against the saints of God? It is God who makes us clear from evil;
[BBE | EN | NT | Romans | Chapter 8 | Verse 34] Who will give a decision against us? It is Christ Jesus who not only was put to death, but came again from the dead, who is now at the right hand of God, taking our part.
[BBE | EN | NT | Romans | Chapter 8 | Verse 35] Who will come between us and the love of Christ? Will trouble, or pain, or cruel acts, or the need of food or of clothing, or danger, or the sword?
[BBE | EN | NT | Romans | Chapter 8 | Verse 36] As it is said in the holy Writings, Because of you we are put to death every day; we are like sheep ready for destruction.
[BBE | EN | NT | Romans | Chapter 8 | Verse 37] But we are able to overcome all these things and more through his love.
[BBE | EN | NT | Romans | Chapter 8 | Verse 38] For I am certain that not death, or life, or angels, or rulers, or things present, or things to come, or powers,
[BBE | EN | NT | Romans | Chapter 8 | Verse 39] Or things on high, or things under the earth, or anything which is made, will be able to come between us and the love of God which is in Christ Jesus our Lord.
