[BBE | EN | NT | Romans | Chapter 9 | Verse 1] I say what is true in Christ, and not what is false, my mind giving witness with me in the Holy Spirit,
[BBE | EN | NT | Romans | Chapter 9 | Verse 2] That I am full of sorrow and pain without end.
[BBE | EN | NT | Romans | Chapter 9 | Verse 3] For I have a desire to take on myself the curse for my brothers, my family in the flesh:
[BBE | EN | NT | Romans | Chapter 9 | Verse 4] Who are Israelites: who have the place of sons, and the glory, and the agreements with God, and the giving of the law, and the worship, and the hope offered by God:
[BBE | EN | NT | Romans | Chapter 9 | Verse 5] Whose are the fathers, and of whom came Christ in the flesh, who is over all, God, to whom be blessing for ever. So be it.
[BBE | EN | NT | Romans | Chapter 9 | Verse 6] But it is not as if the word of God was without effect. For they are not all Israel, who are of Israel:
[BBE | EN | NT | Romans | Chapter 9 | Verse 7] And they are not all children because they are the seed of Abraham; but, In Isaac will your seed be named.
[BBE | EN | NT | Romans | Chapter 9 | Verse 8] That is, it is not the children of the flesh, but the children of God's undertaking, who are named as the seed.
[BBE | EN | NT | Romans | Chapter 9 | Verse 9] For this is the word of God's undertaking, At this time will I come, and Sarah will have a son.
[BBE | EN | NT | Romans | Chapter 9 | Verse 10] And not only so, but Rebecca being about to have a child by our father Isaac —
[BBE | EN | NT | Romans | Chapter 9 | Verse 11] Before the children had come into existence, or had done anything good or bad, in order that God's purpose and his selection might be effected, not by works, but by him whose purpose it is,
[BBE | EN | NT | Romans | Chapter 9 | Verse 12] It was said to her, The older will be the servant of the younger.
[BBE | EN | NT | Romans | Chapter 9 | Verse 13] Even as it is said, I had love for Jacob, but for Esau I had hate.
[BBE | EN | NT | Romans | Chapter 9 | Verse 14] What may we say then? is God not upright? let it not be said.
[BBE | EN | NT | Romans | Chapter 9 | Verse 15] For he says to Moses, I will have mercy on whom I will have mercy, and pity on whom I will have pity.
[BBE | EN | NT | Romans | Chapter 9 | Verse 16] So then, it is not by the desire or by the attempt of man, but by the mercy of God.
[BBE | EN | NT | Romans | Chapter 9 | Verse 17] For the holy Writings say to Pharaoh, For this same purpose did I put you on high, so that I might make my power seen in you, and that there might be knowledge of my name through all the earth.
[BBE | EN | NT | Romans | Chapter 9 | Verse 18] So then, at his pleasure he has mercy on a man, and at his pleasure he makes the heart hard.
[BBE | EN | NT | Romans | Chapter 9 | Verse 19] But you will say to me, Why does he still make us responsible? who is able to go against his purpose?
[BBE | EN | NT | Romans | Chapter 9 | Verse 20] But, O man, who are you, to make answer against God? May the thing which is made say to him who made it, Why did you make me so?
[BBE | EN | NT | Romans | Chapter 9 | Verse 21] Or has not the potter the right to make out of one part of his earth a vessel for honour, and out of another a vessel for shame?
[BBE | EN | NT | Romans | Chapter 9 | Verse 22] What if God, desiring to let his wrath and his power be seen, for a long time put up with the vessels of wrath which were ready for destruction:
[BBE | EN | NT | Romans | Chapter 9 | Verse 23] And to make clear the wealth of his glory to vessels of mercy, which he had before made ready for glory,
[BBE | EN | NT | Romans | Chapter 9 | Verse 24] Even us, who were marked out by him, not only from the Jews, but from the Gentiles?
[BBE | EN | NT | Romans | Chapter 9 | Verse 25] As he says in Hosea, They will be named my people who were not my people, and she will be loved who was not loved.
[BBE | EN | NT | Romans | Chapter 9 | Verse 26] And in the place where it was said to them, You are not my people, there they will be named the sons of the living God.
[BBE | EN | NT | Romans | Chapter 9 | Verse 27] And Isaiah says about Israel, Even if the number of the children of Israel is as the sand of the sea, only a small part will get salvation:
[BBE | EN | NT | Romans | Chapter 9 | Verse 28] For the Lord will give effect to his word on the earth, putting an end to it and cutting it short.
[BBE | EN | NT | Romans | Chapter 9 | Verse 29] And, as Isaiah had said before, If the Lord of armies had not given us a seed, we would have been like Sodom and Gomorrah.
[BBE | EN | NT | Romans | Chapter 9 | Verse 30] What then may we say? That the nations who did not go after righteousness have got righteousness, even the righteousness which is of faith:
[BBE | EN | NT | Romans | Chapter 9 | Verse 31] But Israel, going after a law of righteousness, did not get it.
[BBE | EN | NT | Romans | Chapter 9 | Verse 32] Why? Because they were not searching for it by faith, but by works. They came up against the stone which was in the way;
[BBE | EN | NT | Romans | Chapter 9 | Verse 33] As it is said, See, I am putting in Zion a stone causing a fall, and a rock in the way: but he who has faith in him will not be put to shame.
