[WEB | EN | OT | Hosea | Chapter 12 | Verse 1] Ephraim feeds on wind, and chases the east wind. He continually multiplies lies and desolation. They make a covenant with Assyria, and oil is carried into Egypt.
[WEB | EN | OT | Hosea | Chapter 12 | Verse 2] The LORD also has a controversy with Judah, and will punish Jacob according to his ways; according to his deeds he will repay him.
[WEB | EN | OT | Hosea | Chapter 12 | Verse 3] In the womb he took his brother by the heel, and in his manhood he contended with God.
[WEB | EN | OT | Hosea | Chapter 12 | Verse 4] Indeed, he struggled with the angel, and prevailed; he wept, and made supplication to him. He found him at Bethel, and there he spoke with us—
[WEB | EN | OT | Hosea | Chapter 12 | Verse 5] even the LORD, the God of Armies. The LORD is his name of renown!
[WEB | EN | OT | Hosea | Chapter 12 | Verse 6] Therefore turn to your God. Keep kindness and justice, and wait continually for your God.
[WEB | EN | OT | Hosea | Chapter 12 | Verse 7] A merchant has dishonest scales in his hand. He loves to defraud.
[WEB | EN | OT | Hosea | Chapter 12 | Verse 8] Ephraim said, “Surely I have become rich. I have found myself wealth. In all my wealth they won’t find in me any iniquity that is sin.”
[WEB | EN | OT | Hosea | Chapter 12 | Verse 9] “But I am the LORD your God from the land of Egypt. I will yet again make you dwell in tents, as in the days of the solemn feast.
[WEB | EN | OT | Hosea | Chapter 12 | Verse 10] I have also spoken to the prophets, and I have multiplied visions; and by the ministry of the prophets I have used parables.
[WEB | EN | OT | Hosea | Chapter 12 | Verse 11] If Gilead is wicked, surely they are worthless. In Gilgal they sacrifice bulls. Indeed, their altars are like heaps in the furrows of the field.
[WEB | EN | OT | Hosea | Chapter 12 | Verse 12] Jacob fled into the country of Aram. Israel served to get a wife. For a wife he tended flocks and herds.
[WEB | EN | OT | Hosea | Chapter 12 | Verse 13] By a prophet the LORD brought Israel up out of Egypt, and by a prophet he was preserved.
[WEB | EN | OT | Hosea | Chapter 12 | Verse 14] Ephraim has bitterly provoked anger. Therefore his blood will be left on him, and his Lord will repay his contempt.
