[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 1] وَأَنَا أَيُّهَا ٱلْإِخْوَةُ لَمْ أَسْتَطِعْ أَنْ أُكَلِّمَكُمْ كَرُوحِيِّينَ، بَلْ كَجَسَدِيِّينَ كَأَطْفَالٍ فِي ٱلْمَسِيحِ،
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 2] سَقَيْتُكُمْ لَبَنًا لَا طَعَامًا، لِأَنَّكُمْ لَمْ تَكُونُوا بَعْدُ تَسْتَطِيعُونَ، بَلِ ٱلْآنَ أَيْضًا لَا تَسْتَطِيعُونَ،
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 3] لِأَنَّكُمْ بَعْدُ جَسَدِيُّونَ. فَإِنَّهُ إِذْ فِيكُمْ حَسَدٌ وَخِصَامٌ وَٱنْشِقَاقٌ، أَلَسْتُمْ جَسَدِيِّينَ وَتَسْلُكُونَ بِحَسَبِ ٱلْبَشَرِ؟
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 4] لِأَنَّهُ مَتَى قَالَ وَاحِدٌ: «أَنَا لِبُولُسَ» وَآخَرُ: «أَنَا لِأَبُلُّوسَ» أَفَلَسْتُمْ جَسَدِيِّينَ؟
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 5] فَمَنْ هُوَ بُولُسُ؟ وَمَنْ هُوَ أَبُلُّوسُ؟ بَلْ خَادِمَانِ آمَنْتُمْ بِوَاسِطَتِهِمَا، وَكَمَا أَعْطَى ٱلرَّبُّ لِكُلِّ وَاحِدٍ:
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 6] أَنَا غَرَسْتُ وَأَبُلُّوسُ سَقَى، لَكِنَّ ٱللهَ كَانَ يُنْمِي.
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 7] إِذًا لَيْسَ ٱلْغَارِسُ شَيْئًا وَلَا ٱلسَّاقِي، بَلِ ٱللهُ ٱلَّذِي يُنْمِي.
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 8] وَٱلْغَارِسُ وَٱلسَّاقِي هُمَا وَاحِدٌ، وَلَكِنَّ كُلَّ وَاحِدٍ سَيَأْخُذُ أُجْرَتَهُ بِحَسَبِ تَعَبِهِ.
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 9] فَإِنَّنَا نَحْنُ عَامِلَانِ مَعَ ٱللهِ، وَأَنْتُمْ فَلَاحَةُ ٱللهِ، بِنَاءُ ٱللهِ.
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 10] حَسَبَ نِعْمَةِ ٱللهِ ٱلْمُعْطَاةِ لِي كَبَنَّاءٍ حَكِيمٍ قَدْ وَضَعْتُ أَسَاسًا، وَآخَرُ يَبْنِي عَلَيْهِ. وَلَكِنْ فَلْيَنْظُرْ كُلُّ وَاحِدٍ كَيْفَ يَبْنِي عَلَيْهِ.
[VANDYKE | AR | NT | 1 Corinthians | Chapter 3 | Verse 11] فَإِنَّهُ لَا يَسْتَطِيعُ أَحَدٌ أَنْ يَضَعَ أَسَاسًا آخَرَ غَيْرَ ٱلَّذِي وُضِعَ، ٱلَّذِي هُوَ يَسُوعُ ٱلْمَسِيحُ.
