[KJV | EN | NT | Acts | Chapter 27 | Verse 1] And when it was determined that we should sail into Italy, they delivered Paul and certain other prisoners unto one named Julius, a centurion of Augustus’ band.
[KJV | EN | NT | Acts | Chapter 27 | Verse 2] And entering into a ship of Adramyttium, we launched, meaning to sail by the coasts of Asia; one Aristarchus, a Macedonian of Thessalonica, being with us.
[KJV | EN | NT | Acts | Chapter 27 | Verse 3] And the next day we touched at Sidon. And Julius courteously entreated Paul, and gave him liberty to go unto his friends to refresh himself.
[KJV | EN | NT | Acts | Chapter 27 | Verse 4] And when we had launched from thence, we sailed under Cyprus, because the winds were contrary.
[KJV | EN | NT | Acts | Chapter 27 | Verse 5] And when we had sailed over the sea of Cilicia and Pamphylia, we came to Myra, a city of Lycia.
[KJV | EN | NT | Acts | Chapter 27 | Verse 6] And there the centurion found a ship of Alexandria sailing into Italy; and he put us therein.
[KJV | EN | NT | Acts | Chapter 27 | Verse 7] And when we had sailed slowly many days, and scarce were come over against Cnidus, the wind not suffering us, we sailed under Crete, over against Salmone;
[KJV | EN | NT | Acts | Chapter 27 | Verse 8] and, hardly passing it, came unto a place which is called The fair havens; nigh whereunto was the city of Lasea.
[KJV | EN | NT | Acts | Chapter 27 | Verse 9] Now when much time was spent, and when sailing was now dangerous, because the fast was now already past, Paul admonished them,
[KJV | EN | NT | Acts | Chapter 27 | Verse 10] and said unto them, Sirs, I perceive that this voyage will be with hurt and much damage, not only of the lading and ship, but also of our lives.
[KJV | EN | NT | Acts | Chapter 27 | Verse 11] Nevertheless the centurion believed the master and the owner of the ship, more than those things which were spoken by Paul.
[KJV | EN | NT | Acts | Chapter 27 | Verse 12] And because the haven was not commodious to winter in, the more part advised to depart thence also, if by any means they might attain to Phenice, and there to winter; which is a haven of Crete, and lieth toward the south west and north west.
[KJV | EN | NT | Acts | Chapter 27 | Verse 13] And when the south wind blew softly, supposing that they had obtained their purpose, loosing thence, they sailed close by Crete.
[KJV | EN | NT | Acts | Chapter 27 | Verse 14] But not long after there arose against it a tempestuous wind, called Euroclydon.
[KJV | EN | NT | Acts | Chapter 27 | Verse 15] And when the ship was caught, and could not bear up into the wind, we let her drive.
[KJV | EN | NT | Acts | Chapter 27 | Verse 16] And running under a certain island which is called Clauda, we had much work to come by the boat:
