[KJV | EN | NT | Acts | Chapter 2 | Verse 1] And when the day of Pentecost was fully come, they were all with one accord in one place.
[KJV | EN | NT | Acts | Chapter 2 | Verse 2] And suddenly there came a sound from heaven as of a rushing mighty wind, and it filled all the house where they were sitting.
[KJV | EN | NT | Acts | Chapter 2 | Verse 3] And there appeared unto them cloven tongues like as of fire, and it sat upon each of them.
[KJV | EN | NT | Acts | Chapter 2 | Verse 4] And they were all filled with the Holy Ghost, and began to speak with other tongues, as the Spirit gave them utterance.
[KJV | EN | NT | Acts | Chapter 2 | Verse 5] And there were dwelling at Jerusalem Jews, devout men, out of every nation under heaven.
[KJV | EN | NT | Acts | Chapter 2 | Verse 6] Now when this was noised abroad, the multitude came together, and were confounded, because that every man heard them speak in his own language.
[KJV | EN | NT | Acts | Chapter 2 | Verse 7] And they were all amazed and marvelled, saying one to another, Behold, are not all these which speak Galileans?
[KJV | EN | NT | Acts | Chapter 2 | Verse 8] And how hear we every man in our own tongue, wherein we were born?
[KJV | EN | NT | Acts | Chapter 2 | Verse 9] Parthians, and Medes, and Elamites, and the dwellers in Mesopotamia, and in Judea, and Cappadocia, in Pontus, and Asia,
[KJV | EN | NT | Acts | Chapter 2 | Verse 10] Phrygia, and Pamphylia, in Egypt, and in the parts of Libya about Cyrene, and strangers of Rome, Jews and proselytes,
[KJV | EN | NT | Acts | Chapter 2 | Verse 11] Cretes and Arabians, we do hear them speak in our tongues the wonderful works of God.
[KJV | EN | NT | Acts | Chapter 2 | Verse 12] And they were all amazed, and were in doubt, saying one to another, What meaneth this?
[KJV | EN | NT | Acts | Chapter 2 | Verse 13] Others mocking said, These men are full of new wine.
[KJV | EN | NT | Acts | Chapter 2 | Verse 14] But Peter, standing up with the eleven, lift up his voice, and said unto them, Ye men of Judea, and all ye that dwell at Jerusalem, be this known unto you, and hearken to my words:
[KJV | EN | NT | Acts | Chapter 2 | Verse 15] for these are not drunken, as ye suppose, seeing it is but the third hour of the day.
[KJV | EN | NT | Acts | Chapter 2 | Verse 16] But this is that which was spoken by the prophet Joel;
[KJV | EN | NT | Acts | Chapter 2 | Verse 17] And it shall come to pass in the last days, saith God, I will pour out of my Spirit upon all flesh: and your sons and your daughters shall prophesy, and your young men shall see visions, and your old men shall dream dreams:
[KJV | EN | NT | Acts | Chapter 2 | Verse 18] and on my servants and on my handmaidens I will pour out in those days of my Spirit; and they shall prophesy:
[KJV | EN | NT | Acts | Chapter 2 | Verse 19] and I will shew wonders in heaven above, and signs in the earth beneath; blood, and fire, and vapour of smoke:
[KJV | EN | NT | Acts | Chapter 2 | Verse 20] the sun shall be turned into darkness, and the moon into blood, before that great and notable day of the Lord come:
[KJV | EN | NT | Acts | Chapter 2 | Verse 21] and it shall come to pass, that whosoever shall call on the name of the Lord shall be saved.
[KJV | EN | NT | Acts | Chapter 2 | Verse 22] Ye men of Israel, hear these words; Jesus of Nazareth, a man approved of God among you by miracles and wonders and signs, which God did by him in the midst of you, as ye yourselves also know:
[KJV | EN | NT | Acts | Chapter 2 | Verse 23] him, being delivered by the determinate counsel and foreknowledge of God, ye have taken, and by wicked hands have crucified and slain:
[KJV | EN | NT | Acts | Chapter 2 | Verse 24] whom God hath raised up, having loosed the pains of death: because it was not possible that he should be holden of it.
[KJV | EN | NT | Acts | Chapter 2 | Verse 25] For David speaketh concerning him, I foresaw the Lord always before my face, for he is on my right hand, that I should not be moved:
