[KJV | EN | NT | Acts | Chapter 15 | Verse 1] And certain men which came down from Judea taught the brethren, and said, Except ye be circumcised after the manner of Moses, ye cannot be saved.
[KJV | EN | NT | Acts | Chapter 15 | Verse 2] When therefore Paul and Barnabas had no small dissension and disputation with them, they determined that Paul and Barnabas, and certain other of them, should go up to Jerusalem unto the apostles and elders about this question.
[KJV | EN | NT | Acts | Chapter 15 | Verse 3] And being brought on their way by the church, they passed through Phenice and Samaria, declaring the conversion of the Gentiles: and they caused great joy unto all the brethren.
[KJV | EN | NT | Acts | Chapter 15 | Verse 4] And when they were come to Jerusalem, they were received of the church, and of the apostles and elders, and they declared all things that God had done with them.
[KJV | EN | NT | Acts | Chapter 15 | Verse 5] But there rose up certain of the sect of the Pharisees which believed, saying, That it was needful to circumcise them, and to command them to keep the law of Moses.
[KJV | EN | NT | Acts | Chapter 15 | Verse 6] And the apostles and elders came together for to consider of this matter.
[KJV | EN | NT | Acts | Chapter 15 | Verse 7] And when there had been much disputing, Peter rose up, and said unto them, Men and brethren, ye know how that a good while ago God made choice among us, that the Gentiles by my mouth should hear the word of the gospel, and believe.
[KJV | EN | NT | Acts | Chapter 15 | Verse 8] And God, which knoweth the hearts, bare them witness, giving them the Holy Ghost, even as he did unto us;
[KJV | EN | NT | Acts | Chapter 15 | Verse 9] and put no difference between us and them, purifying their hearts by faith.
[KJV | EN | NT | Acts | Chapter 15 | Verse 10] Now therefore why tempt ye God, to put a yoke upon the neck of the disciples, which neither our fathers nor we were able to bear?
[KJV | EN | NT | Acts | Chapter 15 | Verse 11] But we believe that through the grace of the Lord Jesus Christ we shall be saved, even as they.
[KJV | EN | NT | Acts | Chapter 15 | Verse 12] Then all the multitude kept silence, and gave audience to Barnabas and Paul, declaring what miracles and wonders God had wrought among the Gentiles by them.
[KJV | EN | NT | Acts | Chapter 15 | Verse 13] And after they had held their peace, James answered, saying, Men and brethren, hearken unto me:
[KJV | EN | NT | Acts | Chapter 15 | Verse 14] Simeon hath declared how God at the first did visit the Gentiles, to take out of them a people for his name.
[KJV | EN | NT | Acts | Chapter 15 | Verse 15] And to this agree the words of the prophets; as it is written,
[KJV | EN | NT | Acts | Chapter 15 | Verse 16] After this I will return, and will build again the tabernacle of David, which is fallen down; and I will build again the ruins thereof, and I will set it up:
[KJV | EN | NT | Acts | Chapter 15 | Verse 17] that the residue of men might seek after the Lord, and all the Gentiles, upon whom my name is called, saith the Lord, who doeth all these things.
[KJV | EN | NT | Acts | Chapter 15 | Verse 18] Known unto God are all his works from the beginning of the world.
[KJV | EN | NT | Acts | Chapter 15 | Verse 19] Wherefore my sentence is, that we trouble not them, which from among the Gentiles are turned to God:
[KJV | EN | NT | Acts | Chapter 15 | Verse 20] but that we write unto them, that they abstain from pollutions of idols, and from fornication, and from things strangled, and from blood.
[KJV | EN | NT | Acts | Chapter 15 | Verse 21] For Moses of old time hath in every city them that preach him, being read in the synagogues every sabbath day.
[KJV | EN | NT | Acts | Chapter 15 | Verse 22] Then pleased it the apostles and elders, with the whole church, to send chosen men of their own company to Antioch with Paul and Barnabas; namely, Judas surnamed Barsabas, and Silas, chief men among the brethren:
[KJV | EN | NT | Acts | Chapter 15 | Verse 23] and they wrote letters by them after this manner; The apostles and elders and brethren send greeting unto the brethren which are of the Gentiles in Antioch and Syria and Cilicia:
[KJV | EN | NT | Acts | Chapter 15 | Verse 24] Forasmuch as we have heard, that certain which went out from us have troubled you with words, subverting your souls, saying, Ye must be circumcised, and keep the law: to whom we gave no such commandment:
[KJV | EN | NT | Acts | Chapter 15 | Verse 25] it seemed good unto us, being assembled with one accord, to send chosen men unto you with our beloved Barnabas and Paul,
[KJV | EN | NT | Acts | Chapter 15 | Verse 26] men that have hazarded their lives for the name of our Lord Jesus Christ.
[KJV | EN | NT | Acts | Chapter 15 | Verse 27] We have sent therefore Judas and Silas, who shall also tell you the same things by mouth.
[KJV | EN | NT | Acts | Chapter 15 | Verse 28] For it seemed good to the Holy Ghost, and to us, to lay upon you no greater burden than these necessary things;
[KJV | EN | NT | Acts | Chapter 15 | Verse 29] that ye abstain from meats offered to idols, and from blood, and from things strangled, and from fornication: from which if ye keep yourselves, ye shall do well. Fare ye well.
[KJV | EN | NT | Acts | Chapter 15 | Verse 30] So when they were dismissed, they came to Antioch: and when they had gathered the multitude together, they delivered the epistle:
[KJV | EN | NT | Acts | Chapter 15 | Verse 31] which when they had read, they rejoiced for the consolation.
[KJV | EN | NT | Acts | Chapter 15 | Verse 32] And Judas and Silas, being prophets also themselves, exhorted the brethren with many words, and confirmed them.
