[JPS | EN | OT | Proverbs | Chapter 19 | Verse 1] Better is the poor that walketh in his integrity than he that is perverse in his lips and a fool at the same time.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 2] Also, that the soul be without knowledge is not good; and he that hasteth with his feet sinneth.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 3] The foolishness of man perverteth his way; and his heart fretteth against the LORD.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 4] Wealth addeth many friends; but as for the poor, his friend separateth himself from him.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 5] A false witness shall not be unpunished; and he that breatheth forth lies shall not escape.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 6] Many will entreat the favour of the liberal man; and every man is a friend to him that giveth gifts.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 7] All the brethren of the poor do hate him; how much more do his friends go far from him! He that pursueth words, they turn against him.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 8] He that getteth wisdom loveth his own soul; he that keepeth understanding shall find good.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 9] A false witness shall not be unpunished; and he that breatheth forth lies shall perish.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 10] Luxury is not seemly for a fool; much less for a servant to have rule over princes.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 11] It is the discretion of a man to be slow to anger, and it is his glory to pass over a transgression.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 12] The king's wrath is as the roaring of a lion; but his favour is as dew upon the grass.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 13] A foolish son is the calamity of his father; and the contentions of a wife are a continual dropping.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 14] House and riches are the inheritance of fathers; but a prudent wife is from the LORD.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 15] Slothfulness casteth into a deep sleep; and the idle soul shall suffer hunger.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 16] He that keepeth the commandment keepeth his soul; but he that despiseth His ways shall die.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 17] He that is gracious unto the poor lendeth unto the LORD; and his good deed will He repay unto him.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 18] Chasten thy son, for there is hope; but set not thy heart on his destruction.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 19] A man of great wrath shall suffer punishment; for if thou interpose, thou wilt add thereto.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 20] Hear counsel, and receive instruction, that thou mayest be wise in thy latter end.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 21] There are many devices in a man's heart; but the counsel of the LORD, that shall stand.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 22] The lust of a man is his shame; and a poor man is better than a liar.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 23] The fear of the LORD tendeth to life; and he that hath it shall abide satisfied, he shall not be visited with evil.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 24] The sluggard burieth his hand in the dish, and will not so much as bring it back to his mouth.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 25] When thou smitest a scorner, the simple will become prudent; and when one that hath understanding is reproved, he will understand knowledge.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 26] A son that dealeth shamefully and reproachfully will despoil his father, and chase away his mother.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 27] Cease, my son, to hear the instruction that causeth to err from the words of knowledge.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 28] An ungodly witness mocketh at right; and the mouth of the wicked devoureth iniquity.
[JPS | EN | OT | Proverbs | Chapter 19 | Verse 29] Judgments are prepared for scorners, and stripes for the back of fools.
