[JPS | EN | OT | Proverbs | Chapter 8 | Verse 1] Doth not wisdom call, and understanding put forth her voice?
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 2] In the top of high places by the way, where the paths meet, she standeth;
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 3] Beside the gates, at the entry of the city, at the coming in at the doors, she crieth aloud:
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 4] 'Unto you, O men, I call, and my voice is to the sons of men.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 5] O ye thoughtless, understand prudence, and, ye fools, be ye of an understanding heart.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 6] Hear, for I will speak excellent things, and the opening of my lips shall be right things.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 7] For my mouth shall utter truth, and wickedness is an abomination to my lips.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 8] All the words of my mouth are in righteousness, there is nothing perverse or crooked in them.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 9] They are all plain to him that understandeth, and right to them that find knowledge.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 10] Receive my instruction, and not silver, and knowledge rather than choice gold.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 11] For wisdom is better than rubies, and all things desirable are not to be compared unto her.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 12] I wisdom dwell with prudence, and find out knowledge of devices.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 13] The fear of the LORD is to hate evil; pride, and arrogancy, and the evil way, and the froward mouth, do I hate.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 14] Counsel is mine, and sound wisdom; I am understanding, power is mine.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 15] By me kings reign, and princes decree justice.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 16] By me princes rule, and nobles, even all the judges of the earth.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 17] I love them that love me, and those that seek me earnestly shall find me.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 18] Riches and honour are with me; yea, enduring riches and righteousness.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 19] My fruit is better than gold, yea, than fine gold; and my produce than choice silver.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 20] I walk in the way of righteousness, in the midst of the paths of justice;
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 21] That I may cause those that love me to inherit substance, and that I may fill their treasuries.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 22] The LORD made me as the beginning of His way, the first of His works of old.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 23] I was set up from everlasting, from the beginning, or ever the earth was.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 24] When there were no depths, I was brought forth; when there were no fountains abounding with water.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 25] Before the mountains were settled, before the hills was I brought forth;
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 26] While as yet He had not made the earth, nor the fields, nor the beginning of the dust of the world.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 27] When He established the heavens, I was there; when He set a circle upon the face of the deep,
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 28] When He made firm the skies above, when the fountains of the deep showed their might,
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 29] When He gave to the sea His decree, that the waters should not transgress His commandment, when He appointed the foundations of the earth;
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 30] Then I was by Him, as a nursling; and I was daily all delight, playing always before Him,
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 31] Playing in His habitable earth, and my delights are with the sons of men.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 32] Now therefore, ye children, hearken unto me; for happy are they that keep my ways.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 33] Hear instruction, and be wise, and refuse it not.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 34] Happy is the man that hearkeneth to me, watching daily at my gates, waiting at the posts of my doors.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 35] For whoso findeth me findeth life, and obtaineth favour of the LORD.
[JPS | EN | OT | Proverbs | Chapter 8 | Verse 36] But he that misseth me wrongeth his own soul; all they that hate me love death.'
