[JPS | EN | OT | Proverbs | Chapter 23 | Verse 1] When thou sittest to eat with a ruler, consider well him that is before thee;
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 2] And put a knife to thy throat, if thou be a man given to appetite.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 3] Be not desirous of his dainties; seeing they are deceitful food.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 4] Weary not thyself to be rich; cease from thine own wisdom.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 5] Wilt thou set thine eyes upon it? it is gone; for riches certainly make themselves wings, like an eagle that flieth toward heaven.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 6] Eat thou not the bread of him that hath an evil eye, neither desire thou his dainties;
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 7] For as one that hath reckoned within himself, so is he: 'Eat and drink', saith he to thee; but his heart is not with thee.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 8] The morsel which thou hast eaten shalt thou vomit up, and lose thy sweet words.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 9] Speak not in the ears of a fool; for he will despise the wisdom of thy words.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 10] Remove not the ancient landmark; and enter not into the fields of the fatherless;
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 11] For their Redeemer is strong; He will plead their cause with thee.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 12] Apply thy heart unto instruction, and thine ears to the words of knowledge.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 13] Withhold not correction from the child; for though thou beat him with the rod, he will not die.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 14] Thou beatest him with the rod, and wilt deliver his soul from the nether-world.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 15] My son, if thy heart be wise, my heart will be glad, even mine;
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 16] Yea, my reins will rejoice, when thy lips speak right things.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 17] Let not thy heart envy sinners, but be in the fear of the LORD all the day;
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 18] For surely there is a future; and thy hope shall not be cut off.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 19] Hear thou, my son, and be wise, and guide thy heart in the way.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 20] Be not among winebibbers; among gluttonous eaters of flesh;
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 21] For the drunkard and the glutton shall come to poverty; and drowsiness shall clothe a man with rags.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 22] Hearken unto thy father that begot thee, and despise not thy mother when she is old.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 23] Buy the truth, and sell it not; also wisdom, and instruction, and understanding.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 24] The father of the righteous will greatly rejoice; and he that begetteth a wise child will have joy of him.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 25] Let thy father and thy mother be glad, and let her that bore thee rejoice.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 26] My son, give me thy heart, and let thine eyes observe my ways.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 27] For a harlot is a deep ditch; and an alien woman is a narrow pit.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 28] She also lieth in wait as a robber, and increaseth the faithless among men.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 29] Who crieth: 'Woe'? who: 'Alas'? who hath contentions? who hath raving? who hath wounds without cause? who hath redness of eyes?
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 30] They that tarry long at the wine; they that go to try mixed wine.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 31] Look not thou upon the wine when it is red, when it giveth its colour in the cup, when it glideth down smoothly;
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 32] At the last it biteth like a serpent, and stingeth like a basilisk.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 33] Thine eyes shall behold strange things, and thy heart shall utter confused things.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 34] Yea, thou shalt be as he that lieth down in the midst of the sea, or as he that lieth upon the top of a mast.
[JPS | EN | OT | Proverbs | Chapter 23 | Verse 35] 'They have struck me, and I felt it not, they have beaten me, and I knew it not; when shall I awake? I will seek it yet again.'
