[JPS | EN | OT | Proverbs | Chapter 9 | Verse 1] Wisdom hath builded her house, she hath hewn out her seven pillars;
[JPS | EN | OT | Proverbs | Chapter 9 | Verse 2] She hath prepared her meat, she hath mingled her wine; she hath also furnished her table.
[JPS | EN | OT | Proverbs | Chapter 9 | Verse 3] She hath sent forth her maidens, she calleth, upon the highest places of the city:
[JPS | EN | OT | Proverbs | Chapter 9 | Verse 4] 'Whoso is thoughtless, let him turn in hither'; as for him that lacketh understanding, she saith to him:
[JPS | EN | OT | Proverbs | Chapter 9 | Verse 5] 'Come, eat of my bread, and drink of the wine which I have mingled.
[JPS | EN | OT | Proverbs | Chapter 9 | Verse 6] Forsake all thoughtlessness, and live; and walk in the way of understanding.
[JPS | EN | OT | Proverbs | Chapter 9 | Verse 7] He that correcteth a scorner getteth to himself shame, and he that reproveth a wicked man, it becometh unto him a blot.
[JPS | EN | OT | Proverbs | Chapter 9 | Verse 8] Reprove not a scorner, lest he hate thee; reprove a wise man, and he will love thee.
[JPS | EN | OT | Proverbs | Chapter 9 | Verse 9] Give to a wise man, and he will be yet wiser; teach a righteous man, and he will increase in learning.
[JPS | EN | OT | Proverbs | Chapter 9 | Verse 10] The fear of the LORD is the beginning of wisdom, and the knowledge of the All-holy is understanding.
[JPS | EN | OT | Proverbs | Chapter 9 | Verse 11] For by me thy days shall be multiplied, and the years of thy life shall be increased.
[JPS | EN | OT | Proverbs | Chapter 9 | Verse 12] If thou art wise, thou art wise for thyself; and if thou scornest, thou alone shalt bear it.'
[JPS | EN | OT | Proverbs | Chapter 9 | Verse 13] The woman Folly is riotous; she is thoughtless, and knoweth nothing.
[JPS | EN | OT | Proverbs | Chapter 9 | Verse 14] And she sitteth at the door of her house, on a seat in the high places of the city,
[JPS | EN | OT | Proverbs | Chapter 9 | Verse 15] To call to them that pass by, who go right on their ways:
[JPS | EN | OT | Proverbs | Chapter 9 | Verse 16] 'Whoso is thoughtless, let him turn in hither'; and as for him that lacketh understanding, she saith to him:
[JPS | EN | OT | Proverbs | Chapter 9 | Verse 17] 'Stolen waters are sweet, and bread eaten in secret is pleasant.'
[JPS | EN | OT | Proverbs | Chapter 9 | Verse 18] But he knoweth not that the shades are there; that her guests are in the depths of the nether-world.
