[JPS | EN | OT | Proverbs | Chapter 10 | Verse 1] The proverbs of Solomon. A wise son maketh a glad father; but a foolish son is the grief of his mother.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 2] Treasures of wickedness profit nothing; but righteousness delivereth from death.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 3] The LORD will not suffer the soul of the righteous to famish; but He thrusteth away the desire of the wicked.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 4] He becometh poor that dealeth with a slack hand; but the hand of the diligent maketh rich.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 5] A wise son gathereth in summer; but a son that doeth shamefully sleepeth in harvest.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 6] Blessings are upon the head of the righteous; but the mouth of the wicked concealeth violence.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 7] The memory of the righteous shall be for a blessing; but the name of the wicked shall rot.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 8] The wise in heart will receive commandments; but a prating fool shall fall.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 9] He that walketh uprightly walketh securely; but he that perverteth his ways shall be found out.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 10] He that winketh with the eye causeth sorrow; and a prating fool shall fall.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 11] The mouth of the righteous is a fountain of life; but the mouth of the wicked concealeth violence.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 12] Hatred stirreth up strifes; but love covereth all transgressions.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 13] In the lips of him that hath discernment wisdom is found; but a rod is for the back of him that is void of understanding.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 14] Wise men lay up knowledge; but the mouth of the foolish is an imminent ruin.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 15] The rich man's wealth is his strong city; the ruin of the poor is their poverty.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 16] The wages of the righteous is life; the increase of the wicked is sin.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 17] He is in the way of life that heedeth instruction; but he that forsaketh reproof erreth.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 18] He that hideth hatred is of lying lips; and he that uttereth a slander is a fool.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 19] In the multitude of words there wanteth not transgression; but he that refraineth his lips is wise.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 20] The tongue of the righteous is as choice silver; the heart of the wicked is little worth.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 21] The lips of the righteous feed many; but the foolish die for want of understanding.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 22] The blessing of the LORD, it maketh rich, and toil addeth nothing thereto.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 23] It is as sport to a fool to do wickedness, and so is wisdom to a man of discernment.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 24] The fear of the wicked, it shall come upon him; and the desire of the righteous shall be granted.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 25] When the whirlwind passeth, the wicked is no more; but the righteous is an everlasting foundation.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 26] As vinegar to the teeth, and as smoke to the eyes, so is the sluggard to them that send him.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 27] The fear of the LORD prolongeth days; but the years of the wicked shall be shortened.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 28] The hope of the righteous is gladness; but the expectation of the wicked shall perish.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 29] The way of the LORD is a stronghold to the upright, but ruin to the workers of iniquity.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 30] The righteous shall never be moved; but the wicked shall not inhabit the land.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 31] The mouth of the righteous buddeth with wisdom; but the froward tongue shall be cut off.
[JPS | EN | OT | Proverbs | Chapter 10 | Verse 32] The lips of the righteous know what is acceptable; but the mouth of the wicked is all frowardness.
