[JPS | EN | OT | Proverbs | Chapter 20 | Verse 1] Wine is a mocker, strong drink is riotous; and whosoever reeleth thereby is not wise.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 2] The terror of a king is as the roaring of a lion: he that provoketh him to anger forfeiteth his life.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 3] It is an honour for a man to keep aloof from strife; but every fool will be snarling.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 4] The sluggard will not plow when winter setteth in; therefore he shall beg in harvest, and have nothing.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 5] Counsel in the heart of man is like deep water; but a man of understanding will draw it out.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 6] Most men will proclaim every one his own goodness; but a faithful man who can find?
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 7] He that walketh in his integrity as a just man, happy are his children after him.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 8] A king that sitteth on the throne of judgment scattereth away all evil with his eyes.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 9] Who can say: 'I have made my heart clean, I am pure from my sin'?
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 10] Divers weights, and divers measures, both of them alike are an abomination to the LORD.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 11] Even a child is known by his doings, whether his work be pure, and whether it be right.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 12] The hearing ear, and the seeing eye, the LORD hath made even both of them.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 13] Love not sleep, lest thou come to poverty; open thine eyes, and thou shalt have bread in plenty.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 14] 'It is bad, it is bad', saith the buyer; but when he is gone his way, then he boasteth.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 15] There is gold, and a multitude of rubies; but the lips of knowledge are a precious jewel.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 16] Take his garment that is surety for a stranger; and hold him in pledge that is surety for an alien woman.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 17] Bread of falsehood is sweet to a man; but afterwards his mouth shall be filled with gravel.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 18] Every purpose is established by counsel; and with good advice carry on war.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 19] He that goeth about as a talebearer revealeth secrets; therefore meddle not with him that openeth wide his lips.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 20] Whoso curseth his father or his mother, his lamp shall be put out in the blackest darkness.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 21] An estate may be gotten hastily at the beginning; but the end thereof shall not be blessed.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 22] Say not thou: 'I will requite evil'; wait for the LORD, and He will save thee.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 23] Divers weights are an abomination to the LORD; and a false balance is not good.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 24] A man's goings are of the LORD; how then can man look to his way?
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 25] It is a snare to a man rashly to say: 'Holy', and after vows to make inquiry.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 26] A wise king sifteth the wicked, and turneth the wheel over them.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 27] The spirit of man is the lamp of the LORD, searching all the inward parts.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 28] Mercy and truth preserve the king; and his throne is upheld by mercy.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 29] The glory of young men is their strength; and the beauty of old men is the hoary head.
[JPS | EN | OT | Proverbs | Chapter 20 | Verse 30] Sharp wounds cleanse away evil; so do stripes that reach the inward parts.
