[JPS | EN | OT | Proverbs | Chapter 11 | Verse 1] A false balance is an abomination to the LORD; but a perfect weight is His delight.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 2] When pride cometh, then cometh shame; but with the lowly is wisdom.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 3] The integrity of the upright shall guide them; but the perverseness of the faithless shall destroy them.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 4] Riches profit not in the day of wrath; but righteousness delivereth from death.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 5] The righteousness of the sincere shall make straight his way; but the wicked shall fall by his own wickedness.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 6] The righteousness of the upright shall deliver them; but the faithless shall be trapped in their own crafty device.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 7] When a wicked man dieth, his expectation shall perish, and the hope of strength perisheth.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 8] The righteous is delivered out of trouble, and the wicked cometh in his stead.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 9] With his mouth the impious man destroyeth his neighbour; but through knowledge shall the righteous be delivered.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 10] When it goeth well with the righteous, the city rejoiceth; and when the wicked perish, there is joy.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 11] By the blessing of the upright a city is exalted; but it is overthrown by the mouth of the wicked.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 12] He that despiseth his neighbour lacketh understanding; but a man of discernment holdeth his peace.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 13] He that goeth about as a talebearer revealeth secrets; but he that is of a faithful spirit concealeth a matter.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 14] Where no wise direction is, a people falleth; but in the multitude of counsellors there is safety.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 15] He that is surety for a stranger shall smart for it; but he that hateth them that strike hands is secure.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 16] A gracious woman obtaineth honour; and strong men obtain riches.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 17] The merciful man doeth good to his own soul; but he that is cruel troubleth his own flesh.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 18] The wicked earneth deceitful wages; but he that soweth righteousness hath a sure reward.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 19] Stedfast righteousness tendeth to life; but he that pursueth evil pursueth it to his own death.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 20] They that are perverse in heart are an abomination to the LORD; but such as are upright in their way are His delight.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 21] My hand upon it! the evil man shall not be unpunished; but the seed of the righteous shall escape.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 22] As a ring of gold in a swine's snout, so is a fair woman that turneth aside from discretion.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 23] The desire of the righteous is only good; but the expectation of the wicked is wrath.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 24] There is that scattereth, and yet increaseth; and there is that withholdeth more than is meet, but it tendeth only to want.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 25] The beneficent soul shall be made rich, and he that satisfieth abundantly shall be satisfied also himself.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 26] He that withholdeth corn, the people shall curse him; but blessing shall be upon the head of him that selleth it.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 27] He that diligently seeketh good seeketh favour; but he that searcheth for evil, it shall come unto him.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 28] He that trusteth in his riches shall fall; but the righteous shall flourish as foliage.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 29] He that troubleth his own house shall inherit the wind; and the foolish shall be servant to the wise of heart.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 30] The fruit of the righteous is a tree of life; and he that is wise winneth souls.
[JPS | EN | OT | Proverbs | Chapter 11 | Verse 31] Behold, the righteous shall be requited in the earth; how much more the wicked and the sinner!
