[JPS | EN | OT | Proverbs | Chapter 3 | Verse 1] My son, forget not my teaching; but let thy heart keep my commandments;
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 2] For length of days, and years of life, and peace, will they add to thee.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 3] Let not kindness and truth forsake thee; bind them about thy neck, write them upon the table of thy heart;
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 4] So shalt thou find grace and good favour in the sight of God and man.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 5] Trust in the LORD with all thy heart, and lean not upon thine own understanding.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 6] In all thy ways acknowledge Him, and He will direct thy paths.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 7] Be not wise in thine own eyes; fear the LORD, and depart from evil;
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 8] It shall be health to thy navel, and marrow to thy bones.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 9] Honour the LORD with thy substance, and with the first-fruits of all thine increase;
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 10] So shall thy barns be filled with plenty, and thy vats shall overflow with new wine.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 11] My son, despise not the chastening of the LORD, neither spurn thou His correction;
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 12] For whom the LORD loveth He correcteth, even as a father the son in whom he delighteth.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 13] Happy is the man that findeth wisdom, and the man that obtaineth understanding.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 14] For the merchandise of it is better than the merchandise of silver, and the gain thereof than fine gold.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 15] She is more precious than rubies; and all the things thou canst desire are not to be compared unto her.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 16] Length of days is in her right hand; in her left hand are riches and honour.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 17] Her ways are ways of pleasantness, and all her paths are peace.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 18] She is a tree of life to them that lay hold upon her, and happy is every one that holdest her fast.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 19] The LORD by wisdom founded the earth; by understanding He established the heavens.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 20] By His knowledge the depths were broken up, and the skies drop down the dew.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 21] My son, let not them depart from thine eyes; keep sound wisdom and discretion;
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 22] So shall they be life unto thy soul, and grace to thy neck.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 23] Then shalt thou walk in thy way securely, and thou shalt not dash thy foot.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 24] When thou liest down, thou shalt not be afraid; yea, thou shalt lie down, and thy sleep shall be sweet.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 25] Be not afraid of sudden terror, neither of the destruction of the wicked, when it cometh;
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 26] For the LORD will be thy confidence, and will keep thy foot from being caught.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 27] Withhold not good from him to whom it is due, when it is in the power of thy hand to do it.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 28] Say not unto thy neighbour: 'Go, and come again, and to-morrow I will give'; when thou hast it by thee.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 29] Devise not evil against thy neighbour, seeing he dwelleth securely by thee.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 30] Strive not with a man without cause, if he have done thee no harm.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 31] Envy thou not the man of violence, and choose none of his ways.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 32] For the perverse is an abomination to the LORD; but His counsel is with the upright.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 33] The curse of the LORD is in the house of the wicked; but He blesseth the habitation of the righteous.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 34] If it concerneth the scorners, He scorneth them, but unto the humble He giveth grace.
[JPS | EN | OT | Proverbs | Chapter 3 | Verse 35] The wise shall inherit honour; but as for the fools, they carry away shame.
