[JPS | EN | OT | Proverbs | Chapter 15 | Verse 1] A soft answer turneth away wrath; but a grievous word stirreth up anger.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 2] The tongue of the wise useth knowledge aright; but the mouth of fools poureth out foolishness.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 3] The eyes of the LORD are in every place, keeping watch upon the evil and the good.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 4] A soothing tongue is a tree of life; but perverseness therein is a wound to the spirit.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 5] A fool despiseth his father's correction; but he that regardeth reproof is prudent.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 6] In the house of the righteous is much treasure; but in the revenues of the wicked is trouble.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 7] The lips of the wise disperse knowledge; but the heart of the foolish is not stedfast.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 8] The sacrifice of the wicked is an abomination to the LORD; but the prayer of the upright is His delight.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 9] The way of the wicked is an abomination to the LORD; but He loveth him that followeth after righteousness.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 10] There is grievous correction for him that forsaketh the way; and he that hateth reproof shall die.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 11] The nether-world and Destruction are before the LORD; how much more then the hearts of the children of men!
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 12] A scorner loveth not to be reproved; he will not go unto the wise.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 13] A merry heart maketh a cheerful countenance; but by sorrow of heart the spirit is broken.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 14] The heart of him that hath discernment seeketh knowledge; but the mouth of fools feedeth on folly.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 15] All the days of the poor are evil; but he that is of a merry heart hath a continual feast.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 16] Better is little with the fear of the LORD, than great treasure and turmoil therewith.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 17] Better is a dinner of herbs where love is, than a stalled ox and hatred therewith.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 18] A wrathful man stirreth up discord; but he that is slow to anger appeaseth strife.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 19] The way of the sluggard is as though hedged by thorns; but the path of the upright is even.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 20] A wise son maketh a glad father; but a foolish man despiseth his mother.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 21] Folly is joy to him that lacketh understanding; but a man of discernment walketh straightforwards.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 22] For want of counsel purposes are frustrated; but in the multitude of counsellors they are established.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 23] A man hath joy in the answer of his mouth; and a word in due season, how good is it!
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 24] The path of life goeth upward for the wise, that he may depart from the nether-world beneath.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 25] The LORD will pluck up the house of the proud; but He will establish the border of the widow.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 26] The thoughts of wickedness are an abomination to the LORD; but words of pleasantness are pure.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 27] He that is greedy of gain troubleth his own house; but he that hateth gifts shall live.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 28] The heart of the righteous studieth to answer; but the mouth of the wicked poureth out evil things.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 29] The LORD is far from the wicked; but He heareth the prayer of the righteous.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 30] The light of the eyes rejoiceth the heart; and a good report maketh the bones fat.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 31] The ear that hearkeneth to the reproof of life abideth among the wise.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 32] He that refuseth correction despiseth his own soul; but he that hearkeneth to reproof getteth understanding.
[JPS | EN | OT | Proverbs | Chapter 15 | Verse 33] The fear of the LORD is the instruction of wisdom; and before honour goeth humility.
